a,b,c,x_dist,x_mu,x_sigma,z_discrete,z_discrete_dist,z_n,e_dist,e_df,e_sigma,n,model,statistics,pvalue,answer
-1.4159436193294823,1.3263965109363198,2.7276376192457974,lognormal,0,0.6,TRUE,discrete_uniform,10,normal,NA,1,300,higher order,1754.8096941461956,2.90992993206507e-203,TRUE
0.0351564553566277,1.213524482678622,2.7148484741337597,neglognormal,0,0.6,TRUE,discrete_uniform,4,normal,NA,0.5,50,higher order,4.746618361345842,0.0029185658804023427,FALSE
-2.051756640896201,-2.8964777989313006,4.340802846709266,normal,0,0.3,TRUE,discrete_uniform,7,normal,NA,2,50,higher order,672.5518937319607,3.773242025668046e-38,TRUE
1.538096065632999,1.4340895819477737,1.915514545980841,neglognormal,0,0.6,TRUE,discrete_uniform,10,normal,NA,1,300,higher order,347.0393551988161,8.525538295115124e-110,TRUE
-2.9920941945165396,1.4115443313494325,4.885380658088252,neglognormal,0,0.6,TRUE,discrete_uniform,4,normal,NA,2,100,higher order,990.5023434419303,2.6894737453652735e-75,TRUE
1.4774862052872777,-0.07733435276895761,3.6379528930410743,neglognormal,0,0.6,TRUE,discrete_uniform,8,normal,NA,0.25,50,higher order,6415.362883141448,4.527726537690364e-59,TRUE
2.6216390412300825,0.39956170739606023,4.401324407663196,normal,0,0.3,TRUE,discrete_uniform,9,normal,NA,0.5,50,higher order,16443.237889042903,7.539856124658144e-68,TRUE
-2.051274999976158,-0.6883163703605533,1.4947547914925963,lognormal,0,0.6,TRUE,discrete_uniform,10,normal,NA,0.5,50,higher order,101.93401291171992,2.3491600322323974e-21,FALSE
0.6149321892298758,-2.583115580957383,2.649868045700714,neglognormal,0,0.6,FALSE,discrete_uniform,3,normal,NA,1,100,higher order,1092.4025977451893,3.1355360480417753e-77,TRUE
2.0883591324090958,-1.7796801826916635,2.157561433268711,uniform,0,0.6,TRUE,discrete_uniform,10,normal,NA,2,50,higher order,6.684198318209133,2.8245728110393197e-4,FALSE
-2.4043509741313756,-0.7941389987245202,1.1629878589883447,normal,0,0.3,FALSE,discrete_uniform,7,normal,NA,0.5,300,higher order,296.00127291851175,1.4293418285954938e-101,TRUE
-2.141958123072982,1.6516094855032861,1.9788157055154443,lognormal,0,0.6,FALSE,discrete_uniform,7,normal,NA,0.5,100,higher order,769.611908828438,2.454851483405027e-70,TRUE
-2.1311287712305784,-2.840867122169584,2.9169158078730106,normal,0,0.3,TRUE,discrete_uniform,4,normal,NA,1,50,higher order,37.8367168074875,1.4594279386284723e-13,TRUE
0.9768459526821971,0.11561601469293237,3.6601084761787206,lognormal,0,0.6,TRUE,discrete_uniform,5,normal,NA,1,50,higher order,2.3166452605606334,0.0724543365412464,FALSE
-1.291772789787501,-0.1772784604690969,3.9715542225167155,uniform,0,0.6,FALSE,discrete_uniform,6,normal,NA,0.5,50,higher order,3171.801117032638,1.6458476599083962e-52,TRUE
-2.5536888842470944,-0.9656040100380778,1.5610498585738242,uniform,0,0.6,TRUE,discrete_uniform,8,normal,NA,0.25,50,higher order,316.731055067322,2.736029029063608e-31,TRUE
-0.10796610591933131,-2.7728201458230615,3.681808520341292,lognormal,0,0.6,FALSE,discrete_uniform,6,normal,NA,0.5,100,higher order,48205.316659714095,2.763780880881164e-153,TRUE
-2.7828281885012984,1.2935643852688372,2.691841246560216,uniform,0,0.6,TRUE,discrete_uniform,10,normal,NA,0.25,50,higher order,2521.3623515116788,2.2429272499187727e-50,TRUE
0.9324075565673411,-1.3144318680278957,4.565799637930468,lognormal,0,0.6,FALSE,discrete_uniform,10,normal,NA,0.25,50,higher order,79188.10132617327,1.603068895537378e-82,TRUE
-1.4444325556978583,-0.8893585586920381,4.12538030417636,normal,0,0.3,TRUE,discrete_uniform,7,normal,NA,2,100,higher order,219.23067383528667,1.927823706611883e-46,TRUE
0.8701639054343104,-0.42880194587633014,0.7770946156233549,neglognormal,0,0.6,FALSE,discrete_uniform,5,normal,NA,0.25,300,higher order,31.82246891626834,5.0460369441644315e-22,TRUE
