a,b,c,x_dist,x_mu,x_sigma,z_discrete,z_discrete_dist,z_n,e_dist,e_df,e_sigma,n,model,statistics,pvalue,effect_size,answer
-1.2905334890820086,-2.564710384234786,0.7735617868602276,normal,0,0.3,TRUE,discrete_uniform,5,normal,NA,0.5,100,higher order,21.229715675598957,1.8386946602948023e-12,5.201530583166612,FALSE
0.3064528643153608,0.26624276395887136,0.615850736387074,lognormal,0,0.6,TRUE,discrete_uniform,3,normal,NA,1,300,higher order,1.9412309831551084,0.12300278110281561,0.008418314237080256,TRUE
0.11421912861987948,0.8267389079555869,0.9199480004608631,lognormal,0,0.6,FALSE,discrete_uniform,6,normal,NA,0.25,100,higher order,8.612684655985376,5.869392478929039e-6,2.684079465482006,FALSE
0.9842449924908578,0.12292616022750735,1.2545168395154178,normal,0,0.3,FALSE,discrete_uniform,6,normal,NA,0.5,300,higher order,69.59923311146203,2.313714345772493e-41,1.0370036752933207,TRUE
-2.844221084844321,2.936813759151846,1.1411106130108237,neglognormal,0,0.6,FALSE,discrete_uniform,6,normal,NA,0.25,300,higher order,2135.8945167437464,2.6286433539613127e-215,58.935086646756275,TRUE
-0.6346103860996664,1.4973541544750333,1.564751227851957,uniform,0,0.6,FALSE,discrete_uniform,5,normal,NA,0.25,50,higher order,114.86808434902281,2.295053316676656e-22,10.15418580132197,TRUE
-0.597687341272831,0.826947954017669,1.2469065277837217,neglognormal,0,0.6,TRUE,discrete_uniform,10,normal,NA,0.25,100,higher order,65.0293697963994,4.0124921396434307e-26,2.3343350578525053,TRUE
-0.7797525473870337,-1.4046566267497838,0.7619490660727024,uniform,0,0.6,FALSE,discrete_uniform,3,normal,NA,1,50,higher order,6.1860715903675105,5.045501651581528e-4,0.9196844789162962,FALSE
0.44283804623410106,-2.8370013856329024,0.7601064178161323,neglognormal,0,0.6,TRUE,discrete_uniform,3,normal,NA,0.25,300,higher order,343.9972463524389,8.255843810825613e-96,15.92267006228397,TRUE
0.2772726025432348,-1.2521330653689802,0.6788938539102674,neglognormal,0,0.6,FALSE,discrete_uniform,10,normal,NA,0.25,300,higher order,69.6454269665904,2.2074166210800414e-41,4.410567233484044,TRUE
-2.365802464541048,0.5176800889894366,0.911126415245235,neglognormal,0,0.6,TRUE,discrete_uniform,6,normal,NA,0.5,300,higher order,56.52066377927145,2.6642717975802293e-35,20.438463360507317,TRUE
0.6638115802779794,2.0778705161064863,0.44405889930203557,uniform,0,0.6,FALSE,discrete_uniform,5,normal,NA,0.25,300,higher order,1751.8411301793626,3.6919490933115455e-203,25.54695007213197,TRUE
-2.350663390941918,0.8014599429443479,1.1654097349382937,normal,0,0.3,FALSE,discrete_uniform,5,normal,NA,2,300,higher order,19.252339171428456,4.478454625364283e-14,0.4105634399251073,TRUE
1.4203055086545646,1.6828125533647835,1.6209839056245983,uniform,0,0.6,TRUE,discrete_uniform,9,normal,NA,2,300,higher order,68.75949847611757,5.454465424173598e-41,0.8306608078068562,TRUE
-1.846359179355204,-2.4144569132477045,1.0315020377747715,lognormal,0,0.6,FALSE,discrete_uniform,8,normal,NA,0.5,300,higher order,140.0485918333507,9.664901251409237e-67,4.524759766323957,TRUE
0.6779407393187284,-0.8206579880788922,1.9629261693917215,neglognormal,0,0.6,FALSE,discrete_uniform,8,normal,NA,0.25,50,higher order,408.1998558690758,1.3810180321256772e-33,4.444774526871862,TRUE
2.674236926715821,2.584975174628198,0.013162881135940552,lognormal,0,0.6,TRUE,discrete_uniform,10,normal,NA,0.5,50,higher order,39.313142278758704,7.728427085257584e-14,14.556541572539228,TRUE
2.2814732124097645,-0.45800154749304056,1.9182685581035912,normal,0,0.3,TRUE,discrete_uniform,9,normal,NA,1,300,higher order,598.1117938188416,1.45932039646979e-139,3.654484232818599,TRUE
-2.3486979003064334,2.111511450726539,1.9211340984329581,uniform,0,0.6,FALSE,discrete_uniform,4,normal,NA,2,100,higher order,54.48335959951802,1.417933721476966e-23,0.9948840520577803,TRUE
