a,b,n,x_dist,rep,lineup_id
-1,0.25,100,uniform,2,48
0,0.25,100,uniform,2,239
1,0.25,100,uniform,2,275
-1,1,100,uniform,2,530
0,1,100,uniform,2,345
1,1,100,uniform,2,470
-1,4,100,uniform,2,543
0,4,100,uniform,2,336
1,4,100,uniform,2,116
-1,16,100,uniform,2,288
0,16,100,uniform,2,206
1,16,100,uniform,2,60
-1,64,100,uniform,2,155
0,64,100,uniform,2,430
1,64,100,uniform,2,540
0,0,300,uniform,2,147
-1,0.25,300,uniform,2,127
0,0.25,300,uniform,2,194
1,0.25,300,uniform,2,150
-1,1,300,uniform,2,74
0,1,300,uniform,2,317
1,1,300,uniform,2,326
-1,4,300,uniform,2,62
0,4,300,uniform,2,452
1,4,300,uniform,2,246
-1,16,300,uniform,2,508
0,16,300,uniform,2,553
1,16,300,uniform,2,72
-1,64,300,uniform,2,255
0,64,300,uniform,2,32
1,64,300,uniform,2,500
0,0,50,normal,2,390
-1,0.25,50,normal,2,491
0,0.25,50,normal,2,535
1,0.25,50,normal,2,42
-1,1,50,normal,2,144
0,1,50,normal,2,256
1,1,50,normal,2,191
-1,4,50,normal,2,413
0,4,50,normal,2,329
1,4,50,normal,2,422
-1,16,50,normal,2,24
0,16,50,normal,2,355
1,16,50,normal,2,501
-1,64,50,normal,2,510
0,64,50,normal,2,439
1,64,50,normal,2,260
0,0,100,normal,2,11
-1,0.25,100,normal,2,461
0,0.25,100,normal,2,398
1,0.25,100,normal,2,157
-1,1,100,normal,2,380
0,1,100,normal,2,383
1,1,100,normal,2,291
-1,4,100,normal,2,319
0,4,100,normal,2,488
1,4,100,normal,2,203
-1,16,100,normal,2,34
0,16,100,normal,2,95
1,16,100,normal,2,531
-1,64,100,normal,2,437
0,64,100,normal,2,65
1,64,100,normal,2,235
0,0,300,normal,2,170
-1,0.25,300,normal,2,238
0,0.25,300,normal,2,534
1,0.25,300,normal,2,219
-1,1,300,normal,2,103
0,1,300,normal,2,20
1,1,300,normal,2,358
-1,4,300,normal,2,112
0,4,300,normal,2,568
1,4,300,normal,2,92
-1,16,300,normal,2,201
0,16,300,normal,2,384
1,16,300,normal,2,539
-1,64,300,normal,2,522
0,64,300,normal,2,64
1,64,300,normal,2,374
0,0,50,lognormal,2,183
-1,0.25,50,lognormal,2,472
0,0.25,50,lognormal,2,441
1,0.25,50,lognormal,2,73
-1,1,50,lognormal,2,210
0,1,50,lognormal,2,236
1,1,50,lognormal,2,39
-1,4,50,lognormal,2,342
0,4,50,lognormal,2,276
1,4,50,lognormal,2,15
-1,16,50,lognormal,2,141
0,16,50,lognormal,2,263
1,16,50,lognormal,2,294
-1,64,50,lognormal,2,337
0,64,50,lognormal,2,16
1,64,50,lognormal,2,307
0,0,100,lognormal,2,237
-1,0.25,100,lognormal,2,38
0,0.25,100,lognormal,2,566
1,0.25,100,lognormal,2,125
-1,1,100,lognormal,2,117
0,1,100,lognormal,2,213
1,1,100,lognormal,2,493
-1,4,100,lognormal,2,18
0,4,100,lognormal,2,477
1,4,100,lognormal,2,187
-1,16,100,lognormal,2,259
0,16,100,lognormal,2,362
1,16,100,lognormal,2,109
-1,64,100,lognormal,2,146
