real_lineup_id,a,b,n,x_dist,shape,e_sigma,limit_num
heter_51,-1,16,50,uniform,"NA",1,6
heter_512,1,0.25,50,uniform,"NA",1,6
heter_52,-1,4,50,uniform,"NA",1,6
heter_520,0,4,100,uniform,"NA",1,6
heter_523,-1,64,300,uniform,"NA",1,6
heter_524,0,16,300,uniform,"NA",1,6
heter_526,0,0,300,lognormal,"NA",1,15
heter_527,0,4,100,uniform,"NA",1,6
heter_530,-1,1,100,uniform,"NA",1,6
heter_537,0,16,50,uniform,"NA",1,6
heter_54,1,1,300,uniform,"NA",1,6
heter_540,1,64,100,uniform,"NA",1,6
heter_543,-1,4,100,uniform,"NA",1,6
heter_544,0,1,50,uniform,"NA",1,6
heter_545,0,1,100,uniform,"NA",1,6
heter_549,0,0,300,uniform,"NA",1,15
heter_552,1,0.25,100,uniform,"NA",1,6
heter_553,0,16,300,uniform,"NA",1,6
heter_557,1,0.25,300,uniform,"NA",1,6
heter_561,1,16,100,uniform,"NA",1,6
heter_564,1,64,50,uniform,"NA",1,6
heter_571,0,0,300,even_discrete,"NA",1,15
heter_573,0,1,50,uniform,"NA",1,6
heter_575,0,16,300,uniform,"NA",1,6
heter_576,0,4,300,uniform,"NA",1,6
heter_60,1,16,100,uniform,"NA",1,6
heter_61,0,1,300,uniform,"NA",1,6
heter_62,-1,4,300,uniform,"NA",1,6
heter_63,1,64,300,uniform,"NA",1,6
heter_67,1,1,100,uniform,"NA",1,6
heter_69,0,0,300,even_discrete,"NA",1,15
heter_72,1,16,300,uniform,"NA",1,6
heter_74,-1,1,300,uniform,"NA",1,6
heter_76,0,1,100,uniform,"NA",1,6
heter_83,1,1,50,uniform,"NA",1,6
heter_84,-1,0.25,50,uniform,"NA",1,6
heter_86,0,0.25,50,uniform,"NA",1,6
heter_99,-1,1,300,uniform,"NA",1,6
poly_106,"NA","NA",50,uniform,1,2,6
poly_108,"NA","NA",50,uniform,2,4,6
poly_110,"NA","NA",300,uniform,2,0.5,6
poly_113,"NA","NA",50,uniform,3,2,6
poly_119,"NA","NA",50,uniform,1,4,6
poly_120,"NA","NA",300,uniform,1,0.5,6
poly_131,"NA","NA",300,uniform,3,2,6
poly_132,"NA","NA",100,uniform,4,4,6
poly_14,"NA","NA",300,uniform,2,2,6
poly_141,"NA","NA",300,uniform,3,2,6
