subject,unique_lineup_id,order,a,b,n,x_dist,shape,e_sigma,limit_num
113,heter_288,13,-1,16,100,uniform,"NA",1,6
114,poly_447,13,"NA","NA",100,uniform,1,0.5,6
115,heter_119,11,0,0,50,even_discrete,"NA",1,15
116,poly_39,8,"NA","NA",100,uniform,3,2,6
117,poly_309,17,"NA","NA",300,uniform,3,4,6
118,poly_513,5,"NA","NA",300,uniform,3,4,6
119,poly_495,13,"NA","NA",50,uniform,2,2,6
120,poly_247,12,"NA","NA",50,uniform,1,4,6
121,poly_318,12,"NA","NA",50,uniform,3,1,6
122,heter_336,3,0,4,100,uniform,"NA",1,6
123,poly_455,19,"NA","NA",50,uniform,1,1,6
1,poly_506,5,"NA","NA",100,uniform,3,0.5,6
2,poly_370,9,"NA","NA",50,uniform,1,0.5,6
3,heter_262,15,0,0,300,lognormal,"NA",1,15
4,poly_73,3,"NA","NA",50,uniform,4,2,6
5,poly_83,6,"NA","NA",100,uniform,3,0.5,6
6,poly_392,15,"NA","NA",300,uniform,4,2,6
7,poly_78,5,"NA","NA",100,uniform,3,2,6
8,poly_276,3,"NA","NA",300,uniform,1,2,6
9,poly_231,20,"NA","NA",300,uniform,1,4,6
10,poly_295,7,"NA","NA",50,uniform,1,4,6
11,heter_61,18,0,1,300,uniform,"NA",1,6
12,poly_421,9,"NA","NA",50,uniform,2,0.5,6
13,poly_285,16,"NA","NA",300,uniform,2,0.5,6
14,poly_432,12,"NA","NA",300,uniform,2,4,6
15,poly_163,12,"NA","NA",100,uniform,2,2,6
16,heter_296,9,1,16,50,uniform,"NA",1,6
17,poly_120,16,"NA","NA",300,uniform,1,0.5,6
18,poly_78,9,"NA","NA",100,uniform,3,2,6
19,poly_499,18,"NA","NA",300,uniform,2,4,6
20,poly_199,7,"NA","NA",50,uniform,2,0.5,6
21,poly_236,12,"NA","NA",100,uniform,2,2,6
22,poly_301,20,"NA","NA",100,uniform,3,4,6
23,heter_239,19,0,0.25,100,uniform,"NA",1,6
24,poly_108,12,"NA","NA",50,uniform,2,4,6
25,poly_51,20,"NA","NA",300,uniform,3,0.5,6
26,poly_98,6,"NA","NA",50,uniform,4,4,6
27,poly_285,10,"NA","NA",300,uniform,2,0.5,6
28,poly_253,9,"NA","NA",50,uniform,2,4,6
29,poly_341,18,"NA","NA",300,uniform,1,2,6
30,poly_211,5,"NA","NA",50,uniform,1,0.5,6
31,poly_108,15,"NA","NA",50,uniform,2,4,6
32,poly_28,16,"NA","NA",100,uniform,4,2,6
33,poly_231,3,"NA","NA",300,uniform,1,4,6
34,heter_152,16,0,0,100,even_discrete,"NA",1,15
35,poly_379,6,"NA","NA",300,uniform,1,0.5,6
36,poly_159,8,"NA","NA",300,uniform,1,4,6
37,poly_85,4,"NA","NA",300,uniform,1,2,6
38,heter_343,8,-1,16,50,uniform,"NA",1,6
39,poly_295,16,"NA","NA",50,uniform,1,4,6
40,heter_32,14,0,64,300,uniform,"NA",1,6
41,poly_41,14,"NA","NA",100,uniform,4,0.5,6
42,poly_509,12,"NA","NA",300,uniform,2,4,6
43,poly_106,7,"NA","NA",50,uniform,1,2,6
44,poly_343,19,"NA","NA",300,uniform,3,0.5,6
45,poly_166,20,"NA","NA",50,uniform,2,2,6
46,heter_526,16,0,0,300,lognormal,"NA",1,15
47,poly_360,4,"NA","NA",100,uniform,3,0.5,6
48,heter_430,16,0,64,100,uniform,"NA",1,6
49,poly_537,14,"NA","NA",300,uniform,4,0.5,6
50,poly_196,14,"NA","NA",300,uniform,4,0.5,6
51,poly_455,16,"NA","NA",50,uniform,1,1,6
52,poly_167,20,"NA","NA",50,uniform,4,2,6
53,poly_191,11,"NA","NA",100,uniform,3,1,6
54,poly_354,6,"NA","NA",300,uniform,3,4,6
55,poly_428,4,"NA","NA",50,uniform,4,4,6
56,heter_527,13,0,4,100,uniform,"NA",1,6
57,poly_195,9,"NA","NA",300,uniform,3,2,6
58,poly_295,16,"NA","NA",50,uniform,1,4,6
59,poly_472,7,"NA","NA",50,uniform,2,2,6
60,poly_512,9,"NA","NA",50,uniform,4,0.5,6
61,heter_434,3,0,64,100,uniform,"NA",1,6
62,poly_113,3,"NA","NA",50,uniform,3,2,6
63,poly_5,10,"NA","NA",100,uniform,1,0.5,6
64,poly_512,5,"NA","NA",50,uniform,4,0.5,6
65,poly_263,1,"NA","NA",300,uniform,4,2,6
66,heter_322,11,0,0.25,50,uniform,"NA",1,6
67,poly_421,5,"NA","NA",50,uniform,2,0.5,6
68,poly_14,14,"NA","NA",300,uniform,2,2,6
69,poly_309,20,"NA","NA",300,uniform,3,4,6
70,poly_5,20,"NA","NA",100,uniform,1,0.5,6
71,heter_575,14,0,16,300,uniform,"NA",1,6
72,poly_232,17,"NA","NA",50,uniform,4,0.5,6
73,poly_120,18,"NA","NA",300,uniform,1,0.5,6
74,poly_528,1,"NA","NA",300,uniform,4,4,6
75,poly_342,1,"NA","NA",100,uniform,4,2,6
76,poly_231,6,"NA","NA",300,uniform,1,4,6
77,poly_441,1,"NA","NA",50,uniform,3,2,6
78,heter_434,7,0,64,100,uniform,"NA",1,6
79,poly_529,11,"NA","NA",300,uniform,4,1,6
80,heter_229,18,-1,64,50,uniform,"NA",1,6
81,poly_537,17,"NA","NA",300,uniform,4,0.5,6
82,heter_447,20,-1,1,50,uniform,"NA",1,6
83,poly_263,9,"NA","NA",300,uniform,4,2,6
84,poly_360,11,"NA","NA",100,uniform,3,0.5,6
85,poly_502,4,"NA","NA",100,uniform,3,4,6
86,heter_494,7,-1,0.25,100,uniform,"NA",1,6
87,poly_512,15,"NA","NA",50,uniform,4,0.5,6
88,poly_276,13,"NA","NA",300,uniform,1,2,6
89,heter_152,11,0,0,100,even_discrete,"NA",1,15
