subject,unique_lineup_id,order,a,b,n,x_dist,shape,e_sigma,limit_num
119,poly_354,17,"NA","NA",300,uniform,3,4,6
120,poly_441,7,"NA","NA",50,uniform,3,2,6
121,poly_14,7,"NA","NA",300,uniform,2,2,6
122,poly_52,15,"NA","NA",100,uniform,4,0.5,6
123,poly_158,7,"NA","NA",100,uniform,4,4,6
1,poly_6,14,"NA","NA",100,uniform,1,1,6
2,heter_500,13,1,64,300,uniform,"NA",1,6
3,heter_137,13,1,4,100,uniform,"NA",1,6
4,heter_408,1,-1,0.25,300,uniform,"NA",1,6
5,heter_311,12,0,16,100,uniform,"NA",1,6
6,heter_526,18,0,0,300,lognormal,"NA",1,15
7,poly_392,20,"NA","NA",300,uniform,4,2,6
8,heter_571,9,0,0,300,even_discrete,"NA",1,15
9,heter_199,6,-1,0.25,50,uniform,"NA",1,6
10,heter_296,13,1,16,50,uniform,"NA",1,6
11,poly_322,11,"NA","NA",50,uniform,3,0.5,6
12,heter_189,3,0,0.25,300,uniform,"NA",1,6
13,poly_318,9,"NA","NA",50,uniform,3,1,6
14,heter_249,9,0,0,300,lognormal,"NA",1,15
15,poly_506,13,"NA","NA",100,uniform,3,0.5,6
16,heter_76,7,0,1,100,uniform,"NA",1,6
17,heter_116,3,1,4,100,uniform,"NA",1,6
18,heter_336,13,0,4,100,uniform,"NA",1,6
19,heter_101,14,1,16,300,uniform,"NA",1,6
20,heter_389,19,1,64,300,uniform,"NA",1,6
21,poly_483,15,"NA","NA",50,uniform,1,2,6
22,heter_573,2,0,1,50,uniform,"NA",1,6
23,poly_455,2,"NA","NA",50,uniform,1,1,6
24,heter_350,17,0,4,50,uniform,"NA",1,6
25,heter_400,8,1,1,300,uniform,"NA",1,6
26,heter_69,14,0,0,300,even_discrete,"NA",1,15
27,heter_110,13,1,4,50,uniform,"NA",1,6
28,heter_51,5,-1,16,50,uniform,"NA",1,6
29,poly_200,7,"NA","NA",50,uniform,1,0.5,6
30,poly_450,9,"NA","NA",50,uniform,3,4,6
31,heter_452,2,0,4,300,uniform,"NA",1,6
32,heter_471,3,-1,4,300,uniform,"NA",1,6
33,heter_389,4,1,64,300,uniform,"NA",1,6
34,heter_323,14,-1,64,50,uniform,"NA",1,6
35,heter_63,1,1,64,300,uniform,"NA",1,6
36,poly_502,12,"NA","NA",100,uniform,3,4,6
37,heter_576,16,0,4,300,uniform,"NA",1,6
38,heter_571,19,0,0,300,even_discrete,"NA",1,15
39,heter_378,14,-1,16,300,uniform,"NA",1,6
40,poly_483,16,"NA","NA",50,uniform,1,2,6
41,poly_361,12,"NA","NA",100,uniform,2,4,6
42,heter_218,20,0,64,100,uniform,"NA",1,6
43,heter_5,18,-1,1,50,uniform,"NA",1,6
44,heter_508,9,-1,16,300,uniform,"NA",1,6
45,poly_556,11,"NA","NA",300,uniform,4,1,6
46,poly_528,1,"NA","NA",300,uniform,4,4,6
47,heter_470,20,1,1,100,uniform,"NA",1,6
48,poly_86,10,"NA","NA",50,uniform,3,0.5,6
49,heter_264,17,0,0,100,lognormal,"NA",1,15
50,heter_99,10,-1,1,300,uniform,"NA",1,6
51,heter_402,5,0,1,300,uniform,"NA",1,6
52,poly_256,11,"NA","NA",100,uniform,2,1,6
53,heter_549,6,0,0,300,uniform,"NA",1,15
54,heter_45,2,-1,16,300,uniform,"NA",1,6
55,heter_414,16,-1,64,300,uniform,"NA",1,6
56,poly_285,16,"NA","NA",300,uniform,2,0.5,6
57,heter_375,4,-1,1,300,uniform,"NA",1,6
58,heter_110,20,1,4,50,uniform,"NA",1,6
59,heter_229,18,-1,64,50,uniform,"NA",1,6
60,heter_296,15,1,16,50,uniform,"NA",1,6
61,poly_574,20,"NA","NA",300,uniform,1,1,6
62,heter_72,1,1,16,300,uniform,"NA",1,6
63,poly_86,7,"NA","NA",50,uniform,3,0.5,6
64,poly_413,4,"NA","NA",100,uniform,4,1,6
65,heter_375,15,-1,1,300,uniform,"NA",1,6
66,poly_463,3,"NA","NA",100,uniform,4,1,6
67,heter_512,16,1,0.25,50,uniform,"NA",1,6
68,poly_73,4,"NA","NA",50,uniform,4,2,6
69,poly_198,13,"NA","NA",50,uniform,4,4,6
70,heter_211,11,0,0,50,uniform,"NA",1,15
71,poly_4,16,"NA","NA",100,uniform,4,0.5,6
72,poly_535,2,"NA","NA",50,uniform,3,1,6
73,heter_389,8,1,64,300,uniform,"NA",1,6
74,poly_387,6,"NA","NA",100,uniform,2,0.5,6
75,heter_530,3,-1,1,100,uniform,"NA",1,6
76,heter_494,7,-1,0.25,100,uniform,"NA",1,6
77,poly_390,11,"NA","NA",50,uniform,1,1,6
78,heter_127,11,-1,0.25,300,uniform,"NA",1,6
79,heter_4,18,-1,4,50,uniform,"NA",1,6
80,heter_114,12,0,0,100,even_discrete,"NA",1,15
81,heter_389,13,1,64,300,uniform,"NA",1,6
82,heter_178,8,1,4,300,uniform,"NA",1,6
83,poly_447,12,"NA","NA",100,uniform,1,0.5,6
84,heter_172,16,0,0,100,uniform,"NA",1,15
85,heter_561,9,1,16,100,uniform,"NA",1,6
86,heter_455,11,0,0,50,normal,"NA",1,15
87,poly_432,6,"NA","NA",300,uniform,2,4,6
88,poly_88,7,"NA","NA",100,uniform,3,2,6
89,poly_491,13,"NA","NA",50,uniform,2,1,6
90,heter_105,2,1,0.25,100,uniform,"NA",1,6
91,heter_576,7,0,4,300,uniform,"NA",1,6
92,poly_309,12,"NA","NA",300,uniform,3,4,6
93,heter_72,10,1,16,300,uniform,"NA",1,6
94,poly_574,6,"NA","NA",300,uniform,1,1,6
95,heter_288,6,-1,16,100,uniform,"NA",1,6
96,heter_5,6,-1,1,50,uniform,"NA",1,6
97,poly_216,11,"NA","NA",300,uniform,3,1,6
98,heter_350,4,0,4,50,uniform,"NA",1,6
99,poly_108,2,"NA","NA",50,uniform,2,4,6
100,heter_41,20,-1,4,50,uniform,"NA",1,6
101,poly_108,2,"NA","NA",50,uniform,2,4,6
102,heter_512,11,1,0.25,50,uniform,"NA",1,6
103,heter_48,6,-1,0.25,100,uniform,"NA",1,6
104,heter_564,5,1,64,50,uniform,"NA",1,6
105,poly_268,1,"NA","NA",100,uniform,1,4,6
106,heter_339,8,-1,16,50,uniform,"NA",1,6
107,heter_211,17,0,0,50,uniform,"NA",1,15
108,heter_345,15,0,1,100,uniform,"NA",1,6
109,poly_119,7,"NA","NA",50,uniform,1,4,6
110,heter_127,20,-1,0.25,300,uniform,"NA",1,6
111,heter_60,18,1,16,100,uniform,"NA",1,6
112,heter_252,20,-1,64,100,uniform,"NA",1,6
113,heter_194,1,0,0.25,300,uniform,"NA",1,6
114,poly_322,6,"NA","NA",50,uniform,3,0.5,6
115,heter_99,10,-1,1,300,uniform,"NA",1,6
116,heter_287,7,1,64,100,uniform,"NA",1,6
117,heter_386,18,0,0,100,uniform,"NA",1,15
118,heter_336,3,0,4,100,uniform,"NA",1,6
119,heter_471,15,-1,4,300,uniform,"NA",1,6
120,poly_361,4,"NA","NA",100,uniform,2,4,6
121,heter_430,3,0,64,100,uniform,"NA",1,6
122,heter_72,19,1,16,300,uniform,"NA",1,6
123,heter_418,16,-1,1,100,uniform,"NA",1,6
1,poly_158,19,"NA","NA",100,uniform,4,4,6
2,poly_565,17,"NA","NA",50,uniform,2,1,6
3,poly_412,14,"NA","NA",50,uniform,3,2,6
4,poly_236,13,"NA","NA",100,uniform,2,2,6
5,heter_549,8,0,0,300,uniform,"NA",1,15
6,heter_232,10,1,0.25,50,uniform,"NA",1,6
7,heter_288,16,-1,16,100,uniform,"NA",1,6
8,heter_218,14,0,64,100,uniform,"NA",1,6
9,heter_523,10,-1,64,300,uniform,"NA",1,6
10,heter_137,8,1,4,100,uniform,"NA",1,6
11,poly_191,5,"NA","NA",100,uniform,3,1,6
12,poly_502,7,"NA","NA",100,uniform,3,4,6
13,poly_330,4,"NA","NA",100,uniform,1,0.5,6
14,poly_463,20,"NA","NA",100,uniform,4,1,6
15,poly_167,7,"NA","NA",50,uniform,4,2,6
16,heter_523,8,-1,64,300,uniform,"NA",1,6
17,heter_449,1,0,64,300,uniform,"NA",1,6
18,heter_449,17,0,64,300,uniform,"NA",1,6
19,heter_239,11,0,0.25,100,uniform,"NA",1,6
20,poly_318,20,"NA","NA",50,uniform,3,1,6
21,poly_221,17,"NA","NA",100,uniform,3,1,6
22,poly_483,1,"NA","NA",50,uniform,1,2,6
23,poly_216,11,"NA","NA",300,uniform,3,1,6
24,heter_23,18,1,1,100,uniform,"NA",1,6
25,heter_51,16,-1,16,50,uniform,"NA",1,6
26,poly_270,5,"NA","NA",50,uniform,3,0.5,6
27,heter_170,19,0,0,300,normal,"NA",1,15
28,heter_425,15,-1,16,100,uniform,"NA",1,6
29,heter_455,20,0,0,50,normal,"NA",1,15
30,heter_116,1,1,4,100,uniform,"NA",1,6
31,poly_301,4,"NA","NA",100,uniform,3,4,6
32,poly_185,19,"NA","NA",100,uniform,1,4,6
33,heter_285,17,1,4,50,uniform,"NA",1,6
34,heter_400,1,1,1,300,uniform,"NA",1,6
35,poly_360,19,"NA","NA",100,uniform,3,0.5,6
36,poly_370,15,"NA","NA",50,uniform,1,0.5,6
37,poly_132,6,"NA","NA",100,uniform,4,4,6
38,heter_347,15,1,4,100,uniform,"NA",1,6
39,heter_397,13,1,64,50,uniform,"NA",1,6
40,poly_505,12,"NA","NA",300,uniform,2,0.5,6
41,heter_83,8,1,1,50,uniform,"NA",1,6
42,poly_379,3,"NA","NA",300,uniform,1,0.5,6
43,poly_232,3,"NA","NA",50,uniform,4,0.5,6
44,heter_505,16,1,4,50,uniform,"NA",1,6
45,poly_512,13,"NA","NA",50,uniform,4,0.5,6
46,heter_105,19,1,0.25,100,uniform,"NA",1,6
47,heter_484,19,1,16,50,uniform,"NA",1,6
48,poly_357,14,"NA","NA",100,uniform,3,4,6
49,poly_198,6,"NA","NA",50,uniform,4,4,6
50,heter_23,7,1,1,100,uniform,"NA",1,6
51,heter_434,19,0,64,100,uniform,"NA",1,6
52,heter_211,6,0,0,50,uniform,"NA",1,15
53,heter_390,4,0,0,50,normal,"NA",1,15
54,heter_445,16,1,64,50,uniform,"NA",1,6
55,poly_390,9,"NA","NA",50,uniform,1,1,6
56,poly_183,20,"NA","NA",50,uniform,1,2,6
57,heter_229,6,-1,64,50,uniform,"NA",1,6
58,heter_375,7,-1,1,300,uniform,"NA",1,6
59,poly_232,2,"NA","NA",50,uniform,4,0.5,6
60,heter_11,6,0,0,100,normal,"NA",1,15
61,poly_321,16,"NA","NA",100,uniform,1,2,6
62,poly_453,5,"NA","NA",300,uniform,4,2,6
63,poly_505,11,"NA","NA",300,uniform,2,0.5,6
64,poly_350,18,"NA","NA",300,uniform,1,0.5,6
65,poly_339,16,"NA","NA",300,uniform,3,0.5,6
66,poly_355,2,"NA","NA",300,uniform,4,1,6
67,poly_453,11,"NA","NA",300,uniform,4,2,6
68,heter_378,18,-1,16,300,uniform,"NA",1,6
69,heter_414,3,-1,64,300,uniform,"NA",1,6
70,heter_520,16,0,4,100,uniform,"NA",1,6
71,heter_180,3,-1,1,100,uniform,"NA",1,6
72,heter_359,5,0,0,300,even_discrete,"NA",1,15
73,poly_86,10,"NA","NA",50,uniform,3,0.5,6
74,heter_402,10,0,1,300,uniform,"NA",1,6
75,poly_355,15,"NA","NA",300,uniform,4,1,6
76,poly_167,10,"NA","NA",50,uniform,4,2,6
77,poly_343,16,"NA","NA",300,uniform,3,0.5,6
78,heter_83,14,1,1,50,uniform,"NA",1,6
79,heter_479,3,0,0,100,normal,"NA",1,15
80,poly_247,15,"NA","NA",50,uniform,1,4,6
81,heter_295,6,0,0,50,even_discrete,"NA",1,15
82,poly_211,6,"NA","NA",50,uniform,1,0.5,6
83,heter_571,3,0,0,300,even_discrete,"NA",1,15
84,poly_365,10,"NA","NA",300,uniform,4,0.5,6
85,heter_99,15,-1,1,300,uniform,"NA",1,6
86,poly_163,8,"NA","NA",100,uniform,2,2,6
87,poly_29,16,"NA","NA",50,uniform,3,4,6
88,heter_237,20,0,0,100,lognormal,"NA",1,15
89,heter_414,9,-1,64,300,uniform,"NA",1,6
90,poly_365,11,"NA","NA",300,uniform,4,0.5,6
91,heter_545,16,0,1,100,uniform,"NA",1,6
92,poly_387,14,"NA","NA",100,uniform,2,0.5,6
93,poly_506,3,"NA","NA",100,uniform,3,0.5,6
94,heter_530,5,-1,1,100,uniform,"NA",1,6
95,heter_128,12,0,0,300,uniform,"NA",1,15
96,poly_465,12,"NA","NA",100,uniform,2,4,6
97,heter_229,15,-1,64,50,uniform,"NA",1,6
98,heter_389,18,1,64,300,uniform,"NA",1,6
99,heter_48,17,-1,0.25,100,uniform,"NA",1,6
100,poly_163,14,"NA","NA",100,uniform,2,2,6
101,heter_299,20,-1,64,100,uniform,"NA",1,6
102,poly_202,13,"NA","NA",300,uniform,4,4,6
103,poly_513,17,"NA","NA",300,uniform,3,4,6
104,poly_339,10,"NA","NA",300,uniform,3,0.5,6
105,poly_329,16,"NA","NA",300,uniform,1,1,6
106,heter_114,11,0,0,100,even_discrete,"NA",1,15
107,poly_301,7,"NA","NA",100,uniform,3,4,6
108,heter_339,12,-1,16,50,uniform,"NA",1,6
109,heter_549,6,0,0,300,uniform,"NA",1,15
110,heter_370,8,0,0,50,uniform,"NA",1,15
111,poly_513,13,"NA","NA",300,uniform,3,4,6
112,poly_166,16,"NA","NA",50,uniform,2,2,6
113,poly_469,9,"NA","NA",50,uniform,2,1,6
114,heter_399,17,1,64,100,uniform,"NA",1,6
115,poly_113,19,"NA","NA",50,uniform,3,2,6
116,heter_83,20,1,1,50,uniform,"NA",1,6
117,poly_217,5,"NA","NA",300,uniform,2,1,6
118,heter_524,8,0,16,300,uniform,"NA",1,6
119,poly_198,14,"NA","NA",50,uniform,4,4,6
120,heter_45,11,-1,16,300,uniform,"NA",1,6
121,heter_526,11,0,0,300,lognormal,"NA",1,15
122,poly_343,4,"NA","NA",300,uniform,3,0.5,6
123,heter_524,18,0,16,300,uniform,"NA",1,6
1,poly_42,11,"NA","NA",50,uniform,4,1,6
2,poly_365,1,"NA","NA",300,uniform,4,0.5,6
3,poly_85,7,"NA","NA",300,uniform,1,2,6
4,poly_360,9,"NA","NA",100,uniform,3,0.5,6
5,heter_564,2,1,64,50,uniform,"NA",1,6
6,poly_499,11,"NA","NA",300,uniform,2,4,6
7,poly_354,9,"NA","NA",300,uniform,3,4,6
8,heter_454,5,-1,0.25,100,uniform,"NA",1,6
9,heter_218,17,0,64,100,uniform,"NA",1,6
10,poly_441,6,"NA","NA",50,uniform,3,2,6
11,poly_110,3,"NA","NA",300,uniform,2,0.5,6
12,poly_474,4,"NA","NA",50,uniform,1,1,6
13,heter_575,20,0,16,300,uniform,"NA",1,6
14,poly_247,13,"NA","NA",50,uniform,1,4,6
15,poly_518,10,"NA","NA",50,uniform,3,4,6
16,poly_544,2,"NA","NA",100,uniform,2,0.5,6
17,heter_326,19,1,1,300,uniform,"NA",1,6
18,heter_127,10,-1,0.25,300,uniform,"NA",1,6
19,poly_339,13,"NA","NA",300,uniform,3,0.5,6
20,poly_242,3,"NA","NA",100,uniform,4,2,6
21,poly_491,18,"NA","NA",50,uniform,2,1,6
22,poly_163,8,"NA","NA",100,uniform,2,2,6
23,poly_167,3,"NA","NA",50,uniform,4,2,6
24,poly_512,20,"NA","NA",50,uniform,4,0.5,6
25,poly_85,6,"NA","NA",300,uniform,1,2,6
26,poly_390,3,"NA","NA",50,uniform,1,1,6
27,poly_159,3,"NA","NA",300,uniform,1,4,6
28,heter_557,17,1,0.25,300,uniform,"NA",1,6
29,poly_185,16,"NA","NA",100,uniform,1,4,6
30,heter_330,7,-1,1,50,uniform,"NA",1,6
31,poly_573,1,"NA","NA",100,uniform,2,0.5,6
32,heter_552,8,1,0.25,100,uniform,"NA",1,6
33,heter_571,1,0,0,300,even_discrete,"NA",1,15
34,poly_29,9,"NA","NA",50,uniform,3,4,6
35,heter_311,15,0,16,100,uniform,"NA",1,6
36,heter_285,10,1,4,50,uniform,"NA",1,6
37,heter_51,12,-1,16,50,uniform,"NA",1,6
38,poly_202,3,"NA","NA",300,uniform,4,4,6
39,poly_210,18,"NA","NA",100,uniform,1,2,6
40,heter_418,17,-1,1,100,uniform,"NA",1,6
41,poly_110,7,"NA","NA",300,uniform,2,0.5,6
42,poly_392,10,"NA","NA",300,uniform,4,2,6
43,heter_333,17,0,16,100,uniform,"NA",1,6
44,heter_425,12,-1,16,100,uniform,"NA",1,6
45,poly_387,4,"NA","NA",100,uniform,2,0.5,6
46,poly_110,13,"NA","NA",300,uniform,2,0.5,6
47,heter_209,2,0,0,300,normal,"NA",1,15
48,heter_52,2,-1,4,50,uniform,"NA",1,6
49,poly_24,10,"NA","NA",300,uniform,3,1,6
50,heter_252,18,-1,64,100,uniform,"NA",1,6
51,heter_4,1,-1,4,50,uniform,"NA",1,6
52,poly_84,4,"NA","NA",50,uniform,2,0.5,6
53,heter_51,2,-1,16,50,uniform,"NA",1,6
54,heter_540,13,1,64,100,uniform,"NA",1,6
55,poly_185,17,"NA","NA",100,uniform,1,4,6
56,heter_506,3,1,1,50,uniform,"NA",1,6
57,heter_322,7,0,0.25,50,uniform,"NA",1,6
58,poly_512,9,"NA","NA",50,uniform,4,0.5,6
59,heter_124,3,1,0.25,300,uniform,"NA",1,6
60,poly_154,10,"NA","NA",300,uniform,4,4,6
61,heter_52,10,-1,4,50,uniform,"NA",1,6
62,heter_4,8,-1,4,50,uniform,"NA",1,6
63,poly_131,15,"NA","NA",300,uniform,3,2,6
64,heter_106,2,0,0,50,lognormal,"NA",1,15
65,heter_275,9,1,0.25,100,uniform,"NA",1,6
66,poly_113,6,"NA","NA",50,uniform,3,2,6
67,poly_465,8,"NA","NA",100,uniform,2,4,6
68,heter_152,1,0,0,100,even_discrete,"NA",1,15
69,heter_285,5,1,4,50,uniform,"NA",1,6
70,heter_494,2,-1,0.25,100,uniform,"NA",1,6
71,heter_564,9,1,64,50,uniform,"NA",1,6
72,poly_247,13,"NA","NA",50,uniform,1,4,6
73,poly_371,16,"NA","NA",100,uniform,2,2,6
74,poly_141,16,"NA","NA",300,uniform,3,2,6
75,poly_447,4,"NA","NA",100,uniform,1,0.5,6
76,heter_209,14,0,0,300,normal,"NA",1,15
77,heter_105,6,1,0.25,100,uniform,"NA",1,6
78,poly_350,19,"NA","NA",300,uniform,1,0.5,6
79,heter_485,6,1,4,300,uniform,"NA",1,6
80,poly_343,16,"NA","NA",300,uniform,3,0.5,6
81,heter_74,14,-1,1,300,uniform,"NA",1,6
82,heter_206,11,0,16,100,uniform,"NA",1,6
83,heter_323,11,-1,64,50,uniform,"NA",1,6
84,poly_321,8,"NA","NA",100,uniform,1,2,6
85,poly_86,13,"NA","NA",50,uniform,3,0.5,6
86,poly_24,3,"NA","NA",300,uniform,3,1,6
87,heter_447,8,-1,1,50,uniform,"NA",1,6
88,poly_529,16,"NA","NA",300,uniform,4,1,6
89,poly_573,15,"NA","NA",100,uniform,2,0.5,6
90,poly_113,4,"NA","NA",50,uniform,3,2,6
91,heter_331,11,0,64,50,uniform,"NA",1,6
92,heter_183,19,0,0,50,lognormal,"NA",1,15
93,heter_381,12,-1,4,100,uniform,"NA",1,6
94,poly_370,16,"NA","NA",50,uniform,1,0.5,6
95,poly_211,7,"NA","NA",50,uniform,1,0.5,6
96,heter_433,3,1,16,300,uniform,"NA",1,6
97,poly_322,2,"NA","NA",50,uniform,3,0.5,6
98,poly_158,20,"NA","NA",100,uniform,4,4,6
99,heter_505,5,1,4,50,uniform,"NA",1,6
100,heter_124,18,1,0.25,300,uniform,"NA",1,6
101,poly_28,6,"NA","NA",100,uniform,4,2,6
102,heter_288,6,-1,16,100,uniform,"NA",1,6
103,poly_544,7,"NA","NA",100,uniform,2,0.5,6
104,poly_562,13,"NA","NA",100,uniform,1,1,6
105,heter_484,18,1,16,50,uniform,"NA",1,6
106,heter_147,12,0,0,300,uniform,"NA",1,15
107,poly_495,5,"NA","NA",50,uniform,2,2,6
108,heter_74,6,-1,1,300,uniform,"NA",1,6
109,poly_161,11,"NA","NA",100,uniform,4,4,6
110,heter_199,2,-1,0.25,50,uniform,"NA",1,6
111,poly_339,9,"NA","NA",300,uniform,3,0.5,6
112,heter_573,11,0,1,50,uniform,"NA",1,6
113,poly_52,16,"NA","NA",100,uniform,4,0.5,6
114,heter_147,1,0,0,300,uniform,"NA",1,15
115,poly_84,6,"NA","NA",50,uniform,2,0.5,6
116,poly_528,17,"NA","NA",300,uniform,4,4,6
117,poly_350,20,"NA","NA",300,uniform,1,0.5,6
118,heter_573,1,0,1,50,uniform,"NA",1,6
119,heter_83,11,1,1,50,uniform,"NA",1,6
120,poly_491,14,"NA","NA",50,uniform,2,1,6
121,poly_186,8,"NA","NA",50,uniform,2,4,6
122,poly_185,2,"NA","NA",100,uniform,1,4,6
123,heter_434,1,0,64,100,uniform,"NA",1,6
1,poly_166,2,"NA","NA",50,uniform,2,2,6
2,poly_185,6,"NA","NA",100,uniform,1,4,6
3,poly_51,9,"NA","NA",300,uniform,3,0.5,6
4,heter_285,2,1,4,50,uniform,"NA",1,6
5,heter_178,14,1,4,300,uniform,"NA",1,6
6,poly_285,16,"NA","NA",300,uniform,2,0.5,6
7,heter_505,3,1,4,50,uniform,"NA",1,6
8,heter_455,18,0,0,50,normal,"NA",1,15
9,heter_67,15,1,1,100,uniform,"NA",1,6
10,heter_255,18,-1,64,300,uniform,"NA",1,6
11,poly_341,4,"NA","NA",300,uniform,1,2,6
12,poly_447,20,"NA","NA",100,uniform,1,0.5,6
13,poly_106,1,"NA","NA",50,uniform,1,2,6
14,poly_370,19,"NA","NA",50,uniform,1,0.5,6
15,heter_333,18,0,16,100,uniform,"NA",1,6
16,poly_131,6,"NA","NA",300,uniform,3,2,6
17,heter_52,7,-1,4,50,uniform,"NA",1,6
18,heter_379,11,0,4,50,uniform,"NA",1,6
19,poly_161,4,"NA","NA",100,uniform,4,4,6
20,poly_350,11,"NA","NA",300,uniform,1,0.5,6
21,poly_509,9,"NA","NA",300,uniform,2,4,6
22,heter_561,3,1,16,100,uniform,"NA",1,6
23,poly_83,20,"NA","NA",100,uniform,3,0.5,6
24,poly_161,14,"NA","NA",100,uniform,4,4,6
25,poly_78,7,"NA","NA",100,uniform,3,2,6
26,poly_357,13,"NA","NA",100,uniform,3,4,6
27,poly_166,7,"NA","NA",50,uniform,2,2,6
28,heter_172,14,0,0,100,uniform,"NA",1,15
29,poly_509,4,"NA","NA",300,uniform,2,4,6
30,poly_51,14,"NA","NA",300,uniform,3,0.5,6
31,heter_229,8,-1,64,50,uniform,"NA",1,6
32,poly_186,14,"NA","NA",50,uniform,2,4,6
33,heter_333,20,0,16,100,uniform,"NA",1,6
34,poly_360,11,"NA","NA",100,uniform,3,0.5,6
35,poly_309,3,"NA","NA",300,uniform,3,4,6
36,poly_195,3,"NA","NA",300,uniform,3,2,6
37,poly_509,11,"NA","NA",300,uniform,2,4,6
38,poly_51,12,"NA","NA",300,uniform,3,0.5,6
39,heter_526,10,0,0,300,lognormal,"NA",1,15
40,heter_257,10,1,16,50,uniform,"NA",1,6
41,heter_252,15,-1,64,100,uniform,"NA",1,6
42,poly_88,5,"NA","NA",100,uniform,3,2,6
43,poly_354,5,"NA","NA",300,uniform,3,4,6
44,heter_543,2,-1,4,100,uniform,"NA",1,6
45,poly_195,18,"NA","NA",300,uniform,3,2,6
46,poly_469,3,"NA","NA",50,uniform,2,1,6
47,heter_430,6,0,64,100,uniform,"NA",1,6
48,poly_159,11,"NA","NA",300,uniform,1,4,6
49,poly_370,7,"NA","NA",50,uniform,1,0.5,6
50,heter_365,20,0,16,50,uniform,"NA",1,6
51,heter_445,4,1,64,50,uniform,"NA",1,6
52,poly_230,13,"NA","NA",100,uniform,1,4,6
53,heter_265,8,0,0,100,uniform,"NA",1,15
54,heter_196,9,0,16,50,uniform,"NA",1,6
55,poly_371,20,"NA","NA",100,uniform,2,2,6
56,heter_255,10,-1,64,300,uniform,"NA",1,6
57,heter_107,15,0,0,300,normal,"NA",1,15
58,poly_78,8,"NA","NA",100,uniform,3,2,6
59,poly_544,4,"NA","NA",100,uniform,2,0.5,6
60,poly_450,2,"NA","NA",50,uniform,3,4,6
61,poly_525,13,"NA","NA",100,uniform,2,4,6
62,poly_231,2,"NA","NA",300,uniform,1,4,6
63,poly_191,2,"NA","NA",100,uniform,3,1,6
64,poly_499,19,"NA","NA",300,uniform,2,4,6
65,poly_513,20,"NA","NA",300,uniform,3,4,6
66,poly_421,5,"NA","NA",50,uniform,2,0.5,6
67,heter_442,6,-1,16,100,uniform,"NA",1,6
68,poly_370,16,"NA","NA",50,uniform,1,0.5,6
69,poly_525,19,"NA","NA",100,uniform,2,4,6
70,heter_63,14,1,64,300,uniform,"NA",1,6
71,poly_276,18,"NA","NA",300,uniform,1,2,6
72,poly_341,14,"NA","NA",300,uniform,1,2,6
73,heter_442,1,-1,16,100,uniform,"NA",1,6
74,heter_421,11,-1,0.25,50,uniform,"NA",1,6
75,poly_106,6,"NA","NA",50,uniform,1,2,6
76,poly_14,1,"NA","NA",300,uniform,2,2,6
77,poly_202,20,"NA","NA",300,uniform,4,4,6
78,poly_276,8,"NA","NA",300,uniform,1,2,6
79,heter_530,7,-1,1,100,uniform,"NA",1,6
80,poly_412,6,"NA","NA",50,uniform,3,2,6
81,heter_336,10,0,4,100,uniform,"NA",1,6
82,poly_245,5,"NA","NA",100,uniform,1,2,6
83,poly_285,10,"NA","NA",300,uniform,2,0.5,6
84,heter_169,14,-1,64,50,uniform,"NA",1,6
85,poly_387,3,"NA","NA",100,uniform,2,0.5,6
86,poly_573,13,"NA","NA",100,uniform,2,0.5,6
87,poly_371,11,"NA","NA",100,uniform,2,2,6
88,poly_270,2,"NA","NA",50,uniform,3,0.5,6
89,poly_161,18,"NA","NA",100,uniform,4,4,6
90,poly_329,14,"NA","NA",300,uniform,1,1,6
91,heter_414,14,-1,64,300,uniform,"NA",1,6
92,heter_500,15,1,64,300,uniform,"NA",1,6
93,poly_421,5,"NA","NA",50,uniform,2,0.5,6
94,poly_483,4,"NA","NA",50,uniform,1,2,6
95,poly_166,2,"NA","NA",50,uniform,2,2,6
96,poly_29,11,"NA","NA",50,uniform,3,4,6
97,poly_357,3,"NA","NA",100,uniform,3,4,6
98,poly_441,13,"NA","NA",50,uniform,3,2,6
99,poly_200,10,"NA","NA",50,uniform,1,0.5,6
100,poly_158,8,"NA","NA",100,uniform,4,4,6
101,heter_150,11,1,0.25,300,uniform,"NA",1,6
102,poly_52,1,"NA","NA",100,uniform,4,0.5,6
103,poly_379,16,"NA","NA",300,uniform,1,0.5,6
104,poly_199,15,"NA","NA",50,uniform,2,0.5,6
105,poly_360,12,"NA","NA",100,uniform,3,0.5,6
106,heter_506,5,1,1,50,uniform,"NA",1,6
107,heter_63,9,1,64,300,uniform,"NA",1,6
108,heter_489,10,0,4,300,uniform,"NA",1,6
109,heter_543,3,-1,4,100,uniform,"NA",1,6
110,heter_275,13,1,0.25,100,uniform,"NA",1,6
111,heter_5,19,-1,1,50,uniform,"NA",1,6
112,poly_202,8,"NA","NA",300,uniform,4,4,6
113,poly_242,6,"NA","NA",100,uniform,4,2,6
114,poly_253,20,"NA","NA",50,uniform,2,4,6
115,heter_540,15,1,64,100,uniform,"NA",1,6
116,heter_226,18,-1,4,100,uniform,"NA",1,6
117,poly_186,10,"NA","NA",50,uniform,2,4,6
118,heter_418,17,-1,1,100,uniform,"NA",1,6
119,poly_4,4,"NA","NA",100,uniform,4,0.5,6
120,poly_453,13,"NA","NA",300,uniform,4,2,6
121,heter_506,1,1,1,50,uniform,"NA",1,6
