page,response_time,set,num,selection,num_selection,reason,confidence,prolific_id,age_group,education,pronoun,previous_experience,lineup_id,type,formula,a,b,x_dist,e_dist,e_sigma,name,k,n,effect_size,answer,detect,conventional_p_value,p_value,weigthed_detect,prop_detect
7,112268,12,3,4_10,2,Cluster(s),Slightly,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,238,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,0.25,normal,normal,1,heter_238,20,300,4.7363448910410995,12,FALSE,0.46370562637904283,0.21867999999999999,0,0.25
8,40932,12,4,5_10_12,3,Shape,Moderately,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,175,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,16,even_discrete,normal,1,heter_175,20,300,262.02825689136534,10,TRUE,4.120532844382074e-12,0.15054,0.3333333333333333,0.3333333333333333
9,80894,12,5,6_17,2,Cluster(s),Moderately,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,431,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,64,lognormal,normal,1,heter_431,20,100,82.50042268602527,17,TRUE,5.203722504445382e-6,0.03317999999999999,0.5,0.35
10,30498,12,6,5_9_20,3,Outlier(s),Moderately,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,214,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,16,normal,normal,1,heter_214,20,100,34.665505769993544,5,TRUE,8.887172183511522e-7,0.15054,0.3333333333333333,0.3333333333333333
11,23068,12,7,12_9,2,Outlier(s),Slightly,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,51,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,16,uniform,normal,1,heter_51,20,50,42.85166613090986,17,FALSE,0.0010740421432632156,0.14088,0,0.5
12,31161,12,8,5,1,Outlier(s),Slightly,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,69,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0,even_discrete,normal,1,heter_69,20,300,0,17,FALSE,0.8914305647313405,1,0,0
13,35932,12,9,5,1,Outlier(s),Slightly,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,555,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,64,lognormal,normal,1,heter_555,20,50,73.7700366866928,3,FALSE,0.01829015473945117,0.18291999999999997,0,0.16666666666666666
14,36964.99999999988,12,10,17_5,2,Outlier(s),Slightly,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,527,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,4,uniform,normal,1,heter_527,20,100,27.397075045595017,12,FALSE,0.0019772985327799844,0.14088,0,0.5
15,38429,12,11,1_16,2,Outlier(s),Slightly,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,144,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,1,normal,normal,1,heter_144,20,50,7.480162468769423,4,FALSE,0.009475630710941657,1,0,0
16,25102,12,12,1,1,Shape,Slightly,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,373,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,1,even_discrete,normal,1,heter_373,20,100,15.845195581233327,3,FALSE,0.037983576126379086,1,0,0
17,46875,12,13,15_12,2,Cluster(s),Slightly,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,61,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,1,uniform,normal,1,heter_61,20,300,17.730868472620585,2,FALSE,0.004024011098331037,0.14088,0,0.5
18,47699.99999999988,12,14,14,1,Shape,Very,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,63,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,64,uniform,normal,1,heter_63,20,300,406.9534498602344,14,TRUE,1.3626142706665672e-11,0.0034399999999999986,1,1
19,72783,12,15,7_11,2,Shape,Moderately,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,98,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,0.25,even_discrete,normal,1,heter_98,20,50,1.7368429075008365,1,FALSE,0.4908418013950341,1,0,0
20,25877,12,16,6_3,2,Shape,Slightly,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,161,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,4,even_discrete,normal,1,heter_161,20,50,19.638993304415337,7,FALSE,5.272072339691205e-4,1,0,0
21,33169.00000000012,12,17,20_2,2,Outlier(s),Slightly,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,17,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0.25,lognormal,normal,1,heter_17,20,300,2.82520209587247,13,FALSE,0.2123336932264407,1,0,0
22,14126,12,18,2,1,Cluster(s),Very,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,578,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,128,uniform,normal,1,heter_578,20,300,510.0051619821702,2,TRUE,5.657831625073182e-12,0,1,0.9375
23,27835.000000000233,12,19,5,1,Outlier(s),Moderately,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,454,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,0.25,uniform,normal,1,heter_454,20,100,2.206107531659576,5,TRUE,0.4412718328748424,0.012519999999999976,1,0.625
24,34361.00000000023,12,20,5_4,2,Outlier(s),Slightly,613a6fb7dea617114d9e0a0f,18-24,Diploma and Bachelor Degree,She,No,153,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,64,normal,normal,1,heter_153,20,100,168.82415028040242,13,FALSE,0.011312622855689548,0.25851999999999997,0,0.25
5,73788,13,1,17,1,Shape,Slightly,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,510,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,64,normal,normal,1,heter_510,20,50,79.86080834693563,3,FALSE,8.639895545024348e-5,1,0,0
6,33405.5,13,2,3,1,Shape,Very,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,583,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,256,uniform,normal,1,heter_583,20,300,516.1718186809517,3,TRUE,1.1328727272885226e-13,0,1,0.875
7,49800.299999952316,13,3,0,0,NA,NA,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,152,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0,even_discrete,normal,1,heter_152,20,100,-7.105427357601002e-15,2,FALSE,0.7964921896200737,0.5138199999999999,0,0.03125
8,17467.5,13,4,7,1,Shape,Slightly,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,423,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,64,lognormal,normal,1,heter_423,20,300,432.6875201629558,7,TRUE,2.138241663713214e-10,0.010240000000000027,1,0.6666666666666666
9,60655.5,13,5,10,1,Cluster(s),Slightly,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,306,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,1,lognormal,normal,1,heter_306,20,100,1.8712012590037261,5,FALSE,0.19512811977115468,0.07891999999999988,0,0.16666666666666666
10,50713.299999952316,13,6,1,1,Shape,Moderately,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,539,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,16,normal,normal,1,heter_539,20,300,282.92955872083445,1,TRUE,1.3270784517691733e-7,2.4000000000001798e-4,1,1
11,41363.799999952316,13,7,9,1,Cluster(s),Slightly,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,392,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,16,lognormal,normal,1,heter_392,20,50,40.25398814387941,5,FALSE,0.004759341156648453,1,0,0
12,22279.300000190735,13,8,16,1,Outlier(s),Moderately,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,488,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,4,normal,normal,1,heter_488,20,100,14.451527518956716,16,TRUE,4.4242966481015764e-5,0.0010000000000000009,1,0.6666666666666666
13,39573.90000009537,13,9,0,0,NA,NA,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,12,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,4,lognormal,normal,1,heter_12,20,300,249.57297899791365,3,FALSE,0.090811351996142,1,0,0
14,75281.5,13,10,20,1,Outlier(s),Not at all,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,108,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,0.25,even_discrete,normal,1,heter_108,20,50,1.4657057860594662,19,FALSE,0.6591136571019561,0.09526000000000001,0,0.5
15,43020.59999990463,13,11,20,1,Shape,Slightly,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,20,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,1,normal,normal,1,heter_20,20,300,4.81770011245284,8,FALSE,8.044442022816577e-9,1,0,0
16,72464.70000004768,13,12,16,1,_the lines are a little bit shorter and don't completely cross the red line,Slightly,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,432,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,4,even_discrete,normal,1,heter_432,20,50,21.6273347777973,20,FALSE,0.04680501572924474,1,0,0
17,19822.199999809265,13,13,11,1,Outlier(s),Slightly,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,52,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,4,uniform,normal,1,heter_52,20,50,20.994894580480228,1,FALSE,0.0030492646541663807,0.18928,0,0.16666666666666666
18,23875.700000047684,13,14,15,1,Shape,Moderately,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,492,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,64,even_discrete,normal,1,heter_492,20,300,428.0842207039001,15,TRUE,8.317783307243385e-17,2.4000000000001798e-4,1,1
19,43622,13,15,17,1,Outlier(s),Slightly,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,468,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,0.25,lognormal,normal,1,heter_468,20,100,5.1195829681573635,20,FALSE,0.7736466730287189,1,0,0
20,49094.90000009537,13,16,20_7_6,3,Cluster(s),Slightly,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,189,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0.25,uniform,normal,1,heter_189,20,300,2.5408700410115586,15,FALSE,0.03801255378860907,1,0,0
21,16616.299999952316,13,17,11,1,Shape,Very,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,588,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,256,uniform,normal,1,heter_588,20,300,593.468161694829,11,TRUE,1.8215070600580243e-13,0,1,1
22,63900,13,18,20,1,Shape,Slightly,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,33,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,1,even_discrete,normal,1,heter_33,20,300,49.09941278778433,20,TRUE,1.3303948964197456e-8,0.006920000000000037,1,0.5833333333333334
23,18392.39999985695,13,19,15,1,Shape,Slightly,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,287,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,64,uniform,normal,1,heter_287,20,100,143.38114181323826,15,TRUE,1.2167286057139222e-4,0.09784000000000004,1,0.5
24,41627.09999990463,13,20,18,1,Shape,Slightly,6163bf6b81dfc6704be633b6,18-24,Diploma and Bachelor Degree,She,Yes,459,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,16,even_discrete,normal,1,heter_459,20,100,81.68689780194649,18,TRUE,1.0722780623732272e-5,0.05025999999999997,1,1
5,35981,14,1,5,1,Outlier(s),Moderately,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,82,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,0.25,normal,normal,1,heter_82,20,300,5.741352276826916,14,FALSE,0.03982933717422011,1,0,0
6,30506,14,2,0,0,NA,NA,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,100,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,4,normal,normal,1,heter_100,20,300,22.643153349985667,1,FALSE,4.819129311630957e-9,0.009780000000000011,0,0.6666666666666666
7,50551,14,3,20,1,Cluster(s),Slightly,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,481,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,16,even_discrete,normal,1,heter_481,20,50,42.9900821162981,14,FALSE,0.03944699095256945,1,0,0
8,15190,14,4,0,0,NA,NA,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,126,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0.25,uniform,normal,1,heter_126,20,100,0.7179225904804412,12,FALSE,0.17929932130410875,1,0,0
9,20243,14,5,20_5,2,Outlier(s),Moderately,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,41,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,4,uniform,normal,1,heter_41,20,50,16.96723477600765,20,TRUE,0.0022027697444891446,0.009199999999999986,0.5,0.3333333333333333
10,28031,14,6,6_7,2,Cluster(s),Slightly,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,53,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,4,even_discrete,normal,1,heter_53,20,100,33.49104110930664,8,FALSE,2.483439774787187e-5,0.015859999999999985,0,0.6666666666666666
11,42982,14,7,1_20,2,Cluster(s),Moderately,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,29,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0.25,even_discrete,normal,1,heter_29,20,50,0.7713571818378533,1,TRUE,0.2947665955059863,0.12559999999999993,0.5,0.175
12,81818,14,8,10_12,2,Shape,Slightly,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,181,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,16,normal,normal,1,heter_181,20,100,35.11242209572481,18,FALSE,0.04265925827474669,0.43923999999999996,0,0.041666666666666664
13,164530,14,9,14,1,Outlier(s),Moderately,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,162,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,0.25,lognormal,normal,1,heter_162,20,300,12.80093969297856,12,FALSE,0.2384699403342547,1,0,0
14,29796,14,10,18_10_3,3,Outlier(s),Moderately,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,215,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,64,even_discrete,normal,1,heter_215,20,100,157.8781358304527,3,TRUE,3.4929466828634764e-4,0.005280000000000062,0.3333333333333333,0.41666666666666663
15,34042,14,11,16,1,Shape,Slightly,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,470,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,1,uniform,normal,1,heter_470,20,100,13.183453778404811,16,TRUE,0.013326024083908004,0.09526000000000001,1,0.5
16,9263,14,12,10,1,Cluster(s),Very,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,584,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,256,uniform,normal,1,heter_584,20,300,591.8897696271714,10,TRUE,7.435431009796723e-10,0,1,0.9166666666666666
17,57556,14,13,0,0,NA,NA,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,260,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,64,normal,normal,1,heter_260,20,50,67.19196055217367,19,FALSE,3.0317668147319347e-4,0.21867999999999999,0,0.25
18,15548,14,14,11,1,Shape,Extremely,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,305,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,64,uniform,normal,1,heter_305,20,300,342.9682762650295,11,TRUE,3.031473962830072e-14,0,1,1
19,39715,14,15,16,1,Outlier(s),Slightly,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,340,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,16,lognormal,normal,1,heter_340,20,100,16.15181738274644,16,TRUE,3.0562434449528258e-6,0.05025999999999997,1,1
20,8243,14,16,19,1,Shape,Extremely,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,577,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,128,uniform,normal,1,heter_577,20,300,429.7930957097183,19,TRUE,4.862204092790415e-13,0,1,0.8166666666666667
21,12877,14,17,9_10_1,3,Outlier(s),Slightly,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,183,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0,lognormal,normal,1,heter_183,20,50,0,4,FALSE,0.3304058093521648,1,0,0
22,43743,14,18,0,0,NA,NA,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,233,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,1,even_discrete,normal,1,heter_233,20,300,29.596302860250518,20,FALSE,7.814083716184372e-5,1,0,0.016666666666666666
23,14594,14,19,16_20_1,3,Outlier(s),Slightly,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,148,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,4,lognormal,normal,1,heter_148,20,100,81.41100328559492,6,FALSE,0.24243488948239517,1,0,0
24,184310,14,20,1_14,2,Outlier(s),Slightly,5ec5a561c1172f5f55cfb425,18-24,High School or below,He,No,245,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,1,lognormal,normal,1,heter_245,20,50,2.0589645228864093,14,TRUE,0.0011448147706093548,0.25851999999999997,0.5,0.125
5,104475,16,1,15,1,Cluster(s),Very,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,352,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,64,even_discrete,normal,1,heter_352,20,300,399.8478979959183,15,TRUE,3.932888722658708e-14,9.000000000000119e-4,1,0.75
6,77578,16,2,0,0,NA,NA,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,58,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,16,even_discrete,normal,1,heter_58,20,100,92.54342100450745,3,FALSE,8.044385991340361e-4,0.33743999999999996,0,0.125
7,55241,16,3,11_6_1_7,4,Cluster(s),Slightly,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,158,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,4,even_discrete,normal,1,heter_158,20,50,24.452759761639985,14,FALSE,0.02609312377351775,1,0,0
8,79843,16,4,8_5,2,Shape,Slightly,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,306,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,1,lognormal,normal,1,heter_306,20,100,1.8712012590037261,5,TRUE,0.19512811977115468,0.07891999999999988,0.5,0.16666666666666666
9,21018,16,5,18,1,Shape,Moderately,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,384,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,16,normal,normal,1,heter_384,20,300,89.19974047998322,18,TRUE,4.8102342948625534e-14,0.14088,1,0.5
10,56655,16,6,5_15,2,Shape,Slightly,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,331,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,64,uniform,normal,1,heter_331,20,50,57.30477897425107,17,FALSE,0.05564182201930081,0.18291999999999997,0,0.3333333333333333
11,30775,16,7,2,1,Cluster(s),Slightly,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,244,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,1,even_discrete,normal,1,heter_244,20,300,31.108112537255565,20,FALSE,5.9262568406276314e-5,1,0,0
12,18430,16,8,5,1,Shape,Moderately,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,464,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,64,normal,normal,1,heter_464,20,100,151.2253624286227,11,FALSE,0.002588157872514607,0.09526000000000001,0,0.5
13,27840,16,9,11,1,Shape,Very,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,588,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,256,uniform,normal,1,heter_588,20,300,593.468161694829,11,TRUE,1.8215070600580243e-13,0,1,1
14,47635,16,10,17_8_1_2_11,5,Cluster(s),Slightly,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,506,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,1,uniform,normal,1,heter_506,20,50,7.243209426629178,6,FALSE,0.007504006728705635,1,0,0
15,15845,16,11,16,1,Shape,Very,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,45,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,16,uniform,normal,1,heter_45,20,300,252.08238751932356,16,TRUE,3.1904629412641126e-12,0.0034399999999999986,1,1
16,18668,16,12,13,1,Shape,Extremely,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,585,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,128,uniform,normal,1,heter_585,20,300,419.3691395529138,13,TRUE,1.0871527441098461e-13,0,1,0.9242424242424242
17,32585,16,13,0,0,NA,NA,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,411,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,0.25,lognormal,normal,1,heter_411,20,300,0.6982567576206975,12,FALSE,0.13056284321762127,1,0,0
18,48040,16,14,15,1,Cluster(s),Moderately,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,535,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0.25,normal,normal,1,heter_535,20,50,0.27932481441825274,17,FALSE,0.4278945955175205,1,0,0
19,35896,16,15,12,1,Cluster(s),Slightly,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,543,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,4,uniform,normal,1,heter_543,20,100,36.581567918394924,12,TRUE,1.996956914598933e-4,0.024980000000000002,1,0.5
20,41849,16,16,8_13,2,Outlier(s),Slightly,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,275,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,0.25,uniform,normal,1,heter_275,20,100,2.6536888002590118,9,FALSE,0.7604374414827928,1,0,0
21,22775,16,17,18,1,Outlier(s),Slightly,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,536,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,16,lognormal,normal,1,heter_536,20,50,49.99351479198924,18,TRUE,0.13543160002435112,1.2000000000000899e-4,1,0.7857142857142857
22,40528,16,18,7,1,Shape,Moderately,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,135,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,1,normal,normal,1,heter_135,20,100,2.7768579371633066,17,FALSE,0.5598733068254327,1,0,0
23,23486,16,19,17_16,2,Outlier(s),Moderately,60b2f2171cddbd5fdace9ce7,25-39,Diploma and Bachelor Degree,They,No,284,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,4,normal,normal,1,heter_284,20,300,132.21255916124306,17,TRUE,4.656069817730737e-9,0.034580000000000055,0.5,0.3333333333333333
