a,b,c,x_dist,x_mu,x_sigma,z_discrete,z_discrete_dist,z_n,e_dist,e_df,e_sigma,n,model,statistics,pvalue,answer
-1.1075998647138476,-2.743318629451096,4.628957692766562,uniform,0,0.6,FALSE,discrete_uniform,8,normal,NA,0.25,50,higher order,238666.86358990113,8.025914691576775e-93,TRUE
0.2286699414253235,-2.251836752984673,2.313550407998264,uniform,0,0.6,TRUE,discrete_uniform,5,normal,NA,0.25,100,higher order,6629.735401992454,2.777168813234216e-113,TRUE
0.27430579578503966,-2.4171009860001504,0.2960591611918062,lognormal,0,0.6,FALSE,discrete_uniform,5,normal,NA,0.25,300,higher order,73.05824422263206,7.1215286007817216e-43,FALSE
2.054497611243278,2.0954817426390946,3.5341993090696633,uniform,0,0.6,TRUE,discrete_uniform,3,normal,NA,1,50,higher order,254.0281855160611,8.60795362264508e-28,TRUE
-0.4006452430039644,-0.642071112524718,2.53541492507793,lognormal,0,0.6,FALSE,discrete_uniform,5,normal,NA,1,50,higher order,52.15628989916112,5.999496626796986e-16,TRUE
-2.023113545961678,2.377731079235673,1.0706203361041844,normal,0,0.3,FALSE,discrete_uniform,6,normal,NA,0.5,300,higher order,237.11695977714814,1.5393851957687588e-90,TRUE
-2.02553388196975,-0.15150401880964637,1.45898457034491,uniform,0,0.6,FALSE,discrete_uniform,8,normal,NA,0.25,100,higher order,771.9041997559876,2.1466456783940618e-70,TRUE
-2.521854902151972,1.7351575721986592,3.9675850979983807,neglognormal,0,0.6,TRUE,discrete_uniform,4,normal,NA,1,50,higher order,8033.948606320395,3.61784012816368e-61,TRUE
-1.4005837845616043,-2.3206460075452924,1.6092597716487944,lognormal,0,0.6,TRUE,discrete_uniform,5,normal,NA,1,300,higher order,134.2264740857578,5.490918623906607e-65,TRUE
2.0361610972322524,-1.4346676203422248,3.986138249747455,uniform,0,0.6,FALSE,discrete_uniform,9,normal,NA,0.5,300,higher order,94121.50403990908,0,TRUE
-2.8782787397503853,1.115439856890589,3.1558852968737483,uniform,0,0.6,FALSE,discrete_uniform,10,normal,NA,1,50,higher order,659.8146349152101,5.653095036052424e-38,TRUE
1.3636027160100639,-2.5357164116576314,3.733800631016493,lognormal,0,0.6,TRUE,discrete_uniform,7,normal,NA,0.5,50,higher order,4785.918671668671,2.4340497481706884e-56,TRUE
-0.9582867468707263,0.3361266804859042,2.424065835075453,lognormal,0,0.6,TRUE,discrete_uniform,6,normal,NA,0.25,100,higher order,1098.9984040533727,2.3840987169273124e-77,TRUE
0.0013955994509160519,-2.4240037542767823,0.7227345055434853,normal,0,0.3,TRUE,discrete_uniform,3,normal,NA,2,300,higher order,2.3131458178335462,0.07614424722762547,FALSE
1.9184036306105554,-0.9811806245706975,4.802706157788634,lognormal,0,0.6,FALSE,discrete_uniform,7,normal,NA,2,300,higher order,8408.763780701664,6.8276122556949795e-301,TRUE
1.661779660731554,0.24130731169134378,3.744713815394789,lognormal,0,0.6,TRUE,discrete_uniform,5,normal,NA,0.5,50,higher order,3224.171319370366,1.1588126146811938e-52,TRUE
-0.18379659578204155,0.08793807215988636,3.476101257838309,uniform,0,0.6,TRUE,discrete_uniform,7,normal,NA,0.5,100,higher order,3.0671867147200995,0.02018501558073589,FALSE
-2.862033479847014,0.0635158340446651,1.3560659310314804,normal,0,0.3,FALSE,discrete_uniform,5,normal,NA,1,50,higher order,28.711215348457692,1.1990804895960917e-11,TRUE
2.7361879027448595,-0.00464517530053854,4.49604366440326,uniform,0,0.6,FALSE,discrete_uniform,7,normal,NA,2,300,higher order,5781.376664474013,2.6244922912724903e-277,TRUE
-2.1918740859255195,-1.202339478302747,2.4339363363105804,lognormal,0,0.6,FALSE,discrete_uniform,10,normal,NA,1,50,higher order,253.2743352955752,2.785384238466267e-29,TRUE
-0.963745464105159,-0.22972013801336288,0.7861493621021509,uniform,0,0.6,FALSE,discrete_uniform,7,normal,NA,1,100,higher order,2.984975828657686,0.022877858887465678,TRUE
1.4922360177151859,-2.047252713236958,3.9773447811603546,uniform,0,0.6,FALSE,discrete_uniform,7,normal,NA,1,50,higher order,4679.142237451199,3.949213876665131e-56,TRUE
-1.3916822061873972,-0.5695249596610665,2.1147196332458407,neglognormal,0,0.6,FALSE,discrete_uniform,4,normal,NA,0.25,50,higher order,1098.7889851971165,1.1294313879822879e-42,TRUE
1.1186821376904845,-0.9158479040488601,0.3194459015503526,uniform,0,0.6,TRUE,discrete_uniform,8,normal,NA,2,100,higher order,1.6695719594557705,0.1636611048096483,FALSE
2.9937413125298917,2.9597863317467272,0.30027718283236027,uniform,0,0.6,TRUE,discrete_uniform,8,normal,NA,0.5,300,higher order,310.9273292642578,4.345412786618051e-104,TRUE
-0.5733550325967371,-2.8816213700920343,4.52228517155163,lognormal,0,0.6,TRUE,discrete_uniform,10,normal,NA,1,300,higher order,78817.5141757874,0,TRUE
-0.8619504016824067,-0.5375043000094593,4.103595142951235,neglognormal,0,0.6,FALSE,discrete_uniform,8,normal,NA,0.5,300,higher order,14892.975848185011,0,TRUE
-2.8426132262684405,-1.7840966815128922,3.188871219754219,neglognormal,0,0.6,TRUE,discrete_uniform,4,normal,NA,2,100,higher order,2353.09030699729,1.7038443049187382e-92,TRUE
2.038898858707398,-0.9999320190399885,4.681417590472847,normal,0,0.3,TRUE,discrete_uniform,9,normal,NA,0.5,300,higher order,156897.19729844606,0,TRUE
-0.12017011642456055,-0.1351718888618052,2.0326168148312718,uniform,0,0.6,TRUE,discrete_uniform,8,normal,NA,1,100,higher order,1.4026566757196424,0.23921318606123848,FALSE
1.7466069012880325,-2.925285249017179,4.213251464534551,lognormal,0,0.6,TRUE,discrete_uniform,9,normal,NA,0.25,50,higher order,332915.23032615485,6.2657898364641915e-96,TRUE
-1.9859373536892235,-0.025630169548094273,4.883708198321983,normal,0,0.3,FALSE,discrete_uniform,9,normal,NA,0.25,50,higher order,29282.01761640042,3.1042982608899595e-73,FALSE
0.03504454996436834,-2.574642973020673,2.4200274934992194,neglognormal,0,0.6,TRUE,discrete_uniform,10,normal,NA,1,300,higher order,196.32657321549948,1.3538452908204952e-81,TRUE
1.275059888139367,1.5377476075664163,4.489881378831342,uniform,0,0.6,FALSE,discrete_uniform,5,normal,NA,0.5,50,higher order,18362.939588105266,7.030716200808373e-69,TRUE
0.2568834666162729,0.8586188508197665,1.7819031432736665,neglognormal,0,0.6,TRUE,discrete_uniform,10,normal,NA,1,300,higher order,108.94687635289606,9.386698301378785e-57,TRUE
-0.44892294192686677,-2.9726286437362432,2.5080645619891584,uniform,0,0.6,FALSE,discrete_uniform,3,normal,NA,0.25,100,higher order,15498.481229408455,2.167736170580804e-130,TRUE
1.8356646141037345,1.95876288972795,4.200275448383763,neglognormal,0,0.6,FALSE,discrete_uniform,3,normal,NA,0.25,300,higher order,654282.458674878,0,TRUE
0.8287127134390175,2.390126016922295,4.222743698628619,uniform,0,0.6,TRUE,discrete_uniform,6,normal,NA,0.25,300,higher order,510634.1546794125,0,TRUE
0.17623867141082883,1.400419217068702,3.749252132838592,neglognormal,0,0.6,FALSE,discrete_uniform,8,normal,NA,0.5,300,higher order,31513.250380794954,0,TRUE
-2.023106088861823,2.582944808062166,0.3614919469691813,lognormal,0,0.6,FALSE,discrete_uniform,10,normal,NA,0.25,100,higher order,28.230200471720952,2.3476304303013758e-15,TRUE
2.514253091532737,2.2352081313729286,2.478245284873992,uniform,0,0.6,FALSE,discrete_uniform,8,normal,NA,1,50,higher order,533.2818620736925,5.0496663152423496e-36,TRUE
-2.47947004577145,2.834760397206992,2.606887217843905,normal,0,0.3,TRUE,discrete_uniform,8,normal,NA,2,50,higher order,94.77848999600941,9.56179159474476e-21,TRUE
-2.7576688695698977,-1.2255284171551466,0.20858678501099348,neglognormal,0,0.6,TRUE,discrete_uniform,3,normal,NA,0.5,300,higher order,76.28903617943955,1.5966912105741702e-36,TRUE
2.72198756178841,-2.2701378813944757,2.6754176896065474,uniform,0,0.6,FALSE,discrete_uniform,4,normal,NA,0.25,50,higher order,10143.195626653975,2.423126036911572e-63,TRUE
-2.242683248128742,1.4361439025960863,3.1060137797612697,lognormal,0,0.6,TRUE,discrete_uniform,6,normal,NA,1,100,higher order,401.58604202248677,9.53135025262292e-58,TRUE
-1.7754429350607097,-2.6338349310681224,2.883016074774787,neglognormal,0,0.6,FALSE,discrete_uniform,3,normal,NA,0.5,300,higher order,28632.17196932569,0,TRUE
2.458941427990794,-0.042358062230050564,3.2189573149662465,uniform,0,0.6,TRUE,discrete_uniform,4,normal,NA,0.25,300,higher order,16906.323289240994,0,TRUE
-1.1053910907357931,-2.7559391213580966,2.1877070132177323,neglognormal,0,0.6,TRUE,discrete_uniform,8,normal,NA,0.25,300,higher order,6796.572353623315,1.7618506663380392e-287,TRUE
1.8476084740832448,-0.5641750423237681,4.465812458656728,uniform,0,0.6,TRUE,discrete_uniform,6,normal,NA,0.25,300,higher order,468.62446190131465,6.086095878333579e-126,TRUE
-1.3745107976719737,-2.0749412239529192,2.087413292611018,lognormal,0,0.6,FALSE,discrete_uniform,7,normal,NA,0.5,50,higher order,637.9462812337042,1.1525029840786782e-37,TRUE
1.6821214486844838,2.3174924477934837,1.5185057558119297,normal,0,0.3,FALSE,discrete_uniform,4,normal,NA,0.5,300,higher order,664.3641866176844,1.5171356254883617e-145,TRUE
0.11209822911769152,-2.6801900574937463,4.60309490095824,lognormal,0,0.6,FALSE,discrete_uniform,5,normal,NA,0.5,300,higher order,431173.0004469216,0,TRUE
1.931881008669734,-1.3016690723598003,4.346463612746447,neglognormal,0,0.6,FALSE,discrete_uniform,3,normal,NA,1,50,higher order,5983.3208555144965,2.021619139662387e-58,TRUE
1.7813059757463634,2.3888316806405783,2.1179596753790975,lognormal,0,0.6,TRUE,discrete_uniform,9,normal,NA,0.5,100,higher order,256.6279907245237,2.480145704195618e-49,TRUE
-0.45669409073889256,2.812799101229757,1.5435550617985427,neglognormal,0,0.6,TRUE,discrete_uniform,9,normal,NA,2,300,higher order,33.08438066530665,9.012215282110268e-23,TRUE
-2.35308989463374,-0.09910009056329727,4.521408613072708,neglognormal,0,0.6,FALSE,discrete_uniform,5,normal,NA,1,100,higher order,6183.375677851048,7.0142674939641175e-112,TRUE
-1.5783780324272811,-1.6229271939955652,4.710072468733415,uniform,0,0.6,TRUE,discrete_uniform,3,normal,NA,0.25,50,higher order,1250.0261359804206,1.393660105398644e-42,TRUE
-2.537307443562895,1.6927041364833713,1.3530423678457737,uniform,0,0.6,TRUE,discrete_uniform,7,normal,NA,2,50,higher order,15.251611228139687,7.703187897851111e-8,FALSE
0.4789689858444035,-1.83041480043903,4.2877228173892945,neglognormal,0,0.6,TRUE,discrete_uniform,9,normal,NA,1,50,higher order,1417.1249827772867,4.994475615172043e-45,TRUE
0.29523991607129574,-1.3541645002551377,2.287375582382083,normal,0,0.3,TRUE,discrete_uniform,5,normal,NA,1,300,higher order,307.5904285639518,1.5566247569004383e-103,TRUE
-1.3129917830228806,1.1044630114920437,4.377456160727888,neglognormal,0,0.6,TRUE,discrete_uniform,7,normal,NA,1,100,higher order,3179.969094333732,1.5939887177569495e-98,TRUE
1.5913040433079004,-1.3363542188890278,1.4800812944304198,normal,0,0.3,FALSE,discrete_uniform,4,normal,NA,0.25,100,higher order,488.6338821133212,1.6562863043611786e-61,TRUE
1.941353080328554,1.743954579345882,0.3575216722674668,normal,0,0.3,TRUE,discrete_uniform,6,normal,NA,2,300,higher order,1.7907478305566156,0.13065128487197206,FALSE
2.2633316963911057,2.02451191842556,4.408081077272072,normal,0,0.3,FALSE,discrete_uniform,9,normal,NA,1,300,higher order,65815.93784364288,0,TRUE
0.5670515466481447,0.7467010575346649,4.925384543603286,lognormal,0,0.6,TRUE,discrete_uniform,9,normal,NA,0.5,50,higher order,14794.079290306643,7.302807886988968e-67,TRUE
2.2559456387534738,-2.0614888966083527,2.8614351921714842,neglognormal,0,0.6,FALSE,discrete_uniform,4,normal,NA,1,50,higher order,609.9495997880588,2.9734834955536213e-37,TRUE
2.2519576814956963,-0.8554972275160253,4.647413392085582,lognormal,0,0.6,TRUE,discrete_uniform,10,normal,NA,2,300,higher order,1177.7823582668059,3.865874130957276e-179,TRUE
-0.02830361109226942,2.7877368768677115,2.3447159968782216,normal,0,0.3,TRUE,discrete_uniform,3,normal,NA,1,50,higher order,1.57341230770445,0.20929018371475963,FALSE
-2.585935655515641,-2.6883608107455075,0.16771792899817228,lognormal,0,0.6,FALSE,discrete_uniform,3,normal,NA,2,100,higher order,0.7099489547582587,0.5871562115785155,FALSE
0.8918569358065724,2.690399409737438,0.7159479556139559,normal,0,0.3,FALSE,discrete_uniform,5,normal,NA,1,300,higher order,3.6372964206981746,0.006545130171236896,FALSE
-0.23330071242526174,2.676159918308258,0.3543047874700278,neglognormal,0,0.6,FALSE,discrete_uniform,7,normal,NA,0.25,100,higher order,23.55293423366019,1.8128744143600272e-13,TRUE
1.7975673959590495,1.2551378533244133,1.9691374152898788,uniform,0,0.6,TRUE,discrete_uniform,8,normal,NA,1,50,higher order,6.50194036457668,3.4869727171567337e-4,FALSE
0.9927893914282322,-2.4110394143499434,2.818071311339736,uniform,0,0.6,TRUE,discrete_uniform,7,normal,NA,2,300,higher order,892.5906386817643,1.0976048738822598e-162,TRUE
-2.924246756359935,2.137919037602842,4.111498309066519,normal,0,0.3,TRUE,discrete_uniform,9,normal,NA,2,300,higher order,13106.260273885018,0,TRUE
-2.1161283971741796,0.7970265517942607,3.2334396929945797,neglognormal,0,0.6,FALSE,discrete_uniform,6,normal,NA,2,300,higher order,969.8069298231501,1.4111897211280841e-167,TRUE
1.9565170886926353,-1.1492218715138733,1.8037406052462757,lognormal,0,0.6,TRUE,discrete_uniform,4,normal,NA,2,100,higher order,3.311459461487654,0.013908633708688951,FALSE
0.38878712290897965,1.4522519283927977,0.7881916756741703,neglognormal,0,0.6,TRUE,discrete_uniform,3,normal,NA,0.5,300,higher order,20.325244704964124,5.363665167484623e-12,FALSE
1.4113835664466023,2.32464711740613,3.619317361153662,lognormal,0,0.6,TRUE,discrete_uniform,7,normal,NA,0.25,50,higher order,68444.08265136655,3.683077806270004e-81,TRUE
1.794986603781581,2.6011232142336667,4.918767916969955,neglognormal,0,0.6,TRUE,discrete_uniform,9,normal,NA,1,100,higher order,33051.290759235584,1.1444567848477351e-145,TRUE
-0.9734116564504802,-2.513940179720521,1.5087992593180388,uniform,0,0.6,FALSE,discrete_uniform,9,normal,NA,2,100,higher order,21.470765948344468,1.4381679819775917e-12,TRUE
1.0076682390645146,-2.6792759438976645,4.239122327417135,lognormal,0,0.6,TRUE,discrete_uniform,5,normal,NA,2,50,higher order,599.6495898947344,4.259785057666916e-37,TRUE
-2.1045476691797376,2.1287153670564294,3.157762591727078,lognormal,0,0.6,FALSE,discrete_uniform,4,normal,NA,0.25,50,higher order,25300.280416751146,7.180041536621134e-72,TRUE
0.036905257031321526,-2.04423572961241,3.127586415503174,uniform,0,0.6,FALSE,discrete_uniform,3,normal,NA,0.5,50,higher order,2895.816060829016,1.156785037153392e-51,TRUE
0.2091122497804463,-2.6898109931498766,1.8286129785701632,normal,0,0.3,FALSE,discrete_uniform,7,normal,NA,1,50,higher order,112.78915393057356,3.280678139119536e-22,TRUE
1.7662478014826775,2.3628911641426384,2.2301095176953822,uniform,0,0.6,TRUE,discrete_uniform,8,normal,NA,1,300,higher order,2706.3395920885896,6.433122415644375e-230,TRUE
-2.0667181592434645,-0.53504235483706,2.5848210020922124,normal,0,0.3,TRUE,discrete_uniform,4,normal,NA,2,100,higher order,4.839445137803042,0.0013683591536968588,FALSE
-0.779527461156249,-1.3430780516937375,2.3087032977491617,lognormal,0,0.6,FALSE,discrete_uniform,4,normal,NA,1,50,higher order,116.49327937326017,1.7428447901200764e-22,TRUE
2.3886128389276564,1.759397083427757,0.4801471473183483,neglognormal,0,0.6,TRUE,discrete_uniform,9,normal,NA,2,100,higher order,1.4163981353313841,0.23465634288392523,FALSE
-0.16189163038507104,1.6975282989442348,2.6367302902508527,neglognormal,0,0.6,FALSE,discrete_uniform,5,normal,NA,0.5,100,higher order,2471.8514974603595,1.7651401203262309e-93,TRUE
0.44806492142379284,-1.580313753336668,0.9879154921509326,neglognormal,0,0.6,FALSE,discrete_uniform,4,normal,NA,1,50,higher order,4.639049623994562,0.0033434879727091233,FALSE
-0.9340555826202035,1.1076821135357022,4.295920121949166,lognormal,0,0.6,FALSE,discrete_uniform,9,normal,NA,1,100,higher order,6352.53050029334,2.0091246275614394e-112,TRUE
-0.30267620785161853,2.0134225669316947,2.0419576729182154,uniform,0,0.6,TRUE,discrete_uniform,4,normal,NA,2,100,higher order,45.65470862133615,3.653047329686106e-21,TRUE
-1.6858547804877162,1.4649079581722617,1.0524737753439695,uniform,0,0.6,TRUE,discrete_uniform,7,normal,NA,0.25,50,higher order,145.219111970469,2.2261083193776183e-24,TRUE
-2.618886718992144,-1.0790971121750772,4.177354786079377,uniform,0,0.6,TRUE,discrete_uniform,7,normal,NA,0.25,50,higher order,1668.8660958814546,1.5232973280165416e-46,TRUE
1.6981758303008974,-1.5520196026191115,4.069996074540541,uniform,0,0.6,FALSE,discrete_uniform,8,normal,NA,1,100,higher order,7728.672983873133,2.2727136187250178e-116,TRUE
0.11690258095040917,0.40752763766795397,0.8672184299211949,normal,0,0.3,FALSE,discrete_uniform,10,normal,NA,0.5,50,higher order,0.33942733992298907,0.8498462930766506,FALSE
0.6785615324042737,2.334285488817841,1.221213525859639,neglognormal,0,0.6,FALSE,discrete_uniform,10,normal,NA,1,100,higher order,10.46522459331791,4.821962519820553e-7,TRUE
0.9521940490230918,2.619866539724171,0.1499163603875786,normal,0,0.3,TRUE,discrete_uniform,8,normal,NA,1,100,higher order,2.2976252060505105,0.06476837884264258,FALSE
-1.0979154221713543,2.8878683927468956,0.6330176838673651,neglognormal,0,0.6,FALSE,discrete_uniform,5,normal,NA,1,50,higher order,2.617502011430919,0.048087655508427536,FALSE
2.9374399934895337,-1.2697765761986375,3.7813890213146806,uniform,0,0.6,FALSE,discrete_uniform,3,normal,NA,0.5,300,higher order,99232.5919395269,0,TRUE
-1.2125518675893545,-0.12809000629931688,2.0835912751499563,lognormal,0,0.6,FALSE,discrete_uniform,3,normal,NA,1,100,higher order,56.403097590273646,4.6056388532880015e-24,TRUE
-1.0634492598474026,2.6253695036284626,0.7454159192275256,lognormal,0,0.6,TRUE,discrete_uniform,8,normal,NA,2,300,higher order,4.3628244265018825,0.0019253331968860983,FALSE
-1.2842663638293743,-2.7057422627694905,1.3648717140313238,lognormal,0,0.6,FALSE,discrete_uniform,7,normal,NA,2,100,higher order,13.454159514503441,1.0858281513371453e-8,TRUE
0.2644592123106122,-2.075743560679257,3.9977453846950084,normal,0,0.3,TRUE,discrete_uniform,6,normal,NA,1,50,higher order,5679.95739943645,6.174550526611553e-58,TRUE
-2.8079338842071593,0.5142800761386752,4.333693911321461,uniform,0,0.6,TRUE,discrete_uniform,7,normal,NA,0.5,50,higher order,1940.4157182144788,6.079217403778683e-48,TRUE
-2.4641925506293774,0.21171312499791384,0.6293968751560897,uniform,0,0.6,FALSE,discrete_uniform,10,normal,NA,0.5,50,higher order,23.872054853887413,1.8989851879599096e-10,TRUE
