subject,lineup_id,order,shape,n,x_dist,e_sigma,rep
89,65,10,3,100,lognormal,1,2
90,304,6,4,300,lognormal,4,3
91,153,6,4,100,lognormal,1,1
92,292,6,2,300,normal,4,2
93,537,11,4,300,uniform,0.5,3
94,490,4,4,100,even_discrete,2,1
95,278,2,3,100,uniform,1,3
96,388,20,4,50,normal,2,3
97,139,2,2,300,normal,1,1
98,171,11,4,50,even_discrete,2,2
99,172,6,1,100,normal,0.5,3
100,491,5,2,50,uniform,1,2
101,144,1,1,100,uniform,1,2
102,202,8,4,300,uniform,4,3
103,110,17,2,300,uniform,0.5,1
104,479,15,1,100,normal,1,3
105,337,7,2,50,normal,2,2
106,271,20,3,50,even_discrete,4,3
107,60,18,1,100,lognormal,0.5,2
108,305,20,3,300,even_discrete,0.5,3
109,39,1,3,100,uniform,2,2
110,436,6,1,50,lognormal,2,1
111,529,10,4,300,uniform,1,1
112,466,7,1,50,normal,2,1
113,460,18,3,300,even_discrete,4,3
114,108,3,2,50,uniform,4,3
115,451,15,2,100,normal,2,1
116,342,4,4,100,uniform,2,2
117,361,3,2,100,uniform,4,2
118,351,19,3,50,lognormal,4,1
119,387,16,2,100,uniform,0.5,3
120,442,3,3,50,lognormal,0.5,3
121,467,3,2,100,even_discrete,4,2
122,67,20,3,300,normal,0.5,3
123,135,7,2,300,normal,1,3
124,423,3,3,300,even_discrete,2,2
125,34,10,3,50,lognormal,1,2
126,348,17,2,50,normal,1,1
127,197,14,4,100,lognormal,4,1
128,44,8,1,300,even_discrete,4,1
129,208,1,4,100,even_discrete,2,3
130,181,3,4,50,lognormal,1,1
131,325,7,2,100,normal,1,3
132,408,15,2,300,lognormal,0.5,3
133,367,5,2,50,normal,2,1
134,359,3,1,300,lognormal,4,1
135,392,7,4,300,uniform,2,3
136,485,16,2,100,even_discrete,0.5,3
137,57,20,4,50,lognormal,4,1
138,572,4,2,100,normal,4,1
139,190,5,4,300,lognormal,2,1
140,270,7,3,50,uniform,0.5,1
141,445,19,4,50,normal,0.5,3
142,171,11,4,50,even_discrete,2,2
143,47,11,4,100,lognormal,2,1
144,89,4,2,100,normal,4,2
145,71,9,4,100,even_discrete,4,3
146,94,7,3,300,even_discrete,4,2
147,29,9,3,50,uniform,4,3
148,56,1,1,50,lognormal,4,2
149,224,7,3,300,lognormal,2,1
150,215,1,2,100,lognormal,4,1
151,28,19,4,100,uniform,2,3
152,328,5,3,300,lognormal,4,1
153,8,2,2,50,lognormal,4,2
154,457,7,1,100,lognormal,0.5,3
155,252,18,2,100,lognormal,0.5,1
156,328,9,3,300,lognormal,4,1
157,385,20,3,100,normal,4,3
158,223,18,3,300,even_discrete,1,3
159,465,9,2,100,uniform,4,3
160,571,9,1,300,lognormal,4,3
1,229,17,2,50,normal,0.5,3
2,492,10,2,300,even_discrete,4,3
3,218,16,3,100,lognormal,0.5,1
4,205,14,1,100,even_discrete,4,3
5,269,10,4,50,uniform,1,1
6,215,8,2,100,lognormal,4,1
7,115,5,3,300,lognormal,1,1
8,380,7,1,300,normal,1,2
9,87,4,2,300,lognormal,2,3
10,379,20,1,300,uniform,0.5,2
11,46,7,2,100,even_discrete,4,3
12,158,8,4,100,uniform,4,2
13,364,1,3,100,normal,1,3
14,325,17,2,100,normal,1,3
15,523,11,2,300,even_discrete,0.5,1
16,2,20,3,50,even_discrete,1,1
17,442,17,3,50,lognormal,0.5,3
18,269,1,4,50,uniform,1,1
19,348,11,2,50,normal,1,1
20,15,18,2,300,uniform,2,2
21,536,16,1,50,normal,2,3
22,326,5,3,50,even_discrete,0.5,2
23,222,19,4,50,even_discrete,1,1
24,231,15,1,300,uniform,4,2
25,47,20,4,100,lognormal,2,1
26,187,1,2,50,lognormal,2,2
27,454,4,2,100,normal,0.5,3
28,42,19,4,50,uniform,1,2
29,43,17,3,50,normal,4,3
30,4,1,4,100,uniform,0.5,3
31,176,19,2,100,normal,1,1
32,526,15,1,300,lognormal,2,2
33,273,6,3,100,lognormal,2,1
34,486,15,3,50,normal,4,1
35,502,13,3,100,uniform,4,2
36,526,12,1,300,lognormal,2,2
37,410,8,1,300,even_discrete,2,3
38,448,3,3,300,even_discrete,2,1
39,478,3,1,100,normal,4,2
40,458,16,1,300,normal,4,2
41,32,13,3,300,even_discrete,0.5,2
42,249,19,1,300,lognormal,2,1
43,280,19,2,50,lognormal,4,3
44,74,14,1,50,even_discrete,0.5,2
45,10,6,4,300,even_discrete,1,1
46,266,7,4,300,even_discrete,4,3
47,46,19,2,100,even_discrete,4,3
48,519,6,3,100,even_discrete,4,2
49,205,4,1,100,even_discrete,4,3
50,17,16,3,300,lognormal,2,2
51,72,9,1,300,even_discrete,0.5,2
52,264,20,1,100,normal,2,1
53,545,6,2,300,normal,0.5,3
54,260,7,4,50,normal,1,2
55,473,2,4,300,normal,4,3
56,405,6,2,50,even_discrete,2,1
57,311,16,4,50,lognormal,0.5,3
58,443,5,3,50,normal,2,3
59,519,11,3,100,even_discrete,4,2
60,161,18,4,100,uniform,4,3
61,521,16,4,300,normal,2,3
62,389,2,4,300,even_discrete,0.5,3
63,18,11,4,300,normal,2,2
64,143,18,3,300,normal,2,3
65,178,3,2,100,even_discrete,0.5,1
66,563,16,4,100,normal,4,2
67,444,3,2,100,lognormal,2,1
68,160,5,3,300,even_discrete,1,1
69,197,10,4,100,lognormal,4,1
70,131,10,3,300,uniform,2,3
71,273,15,3,100,lognormal,2,1
72,246,10,2,100,even_discrete,0.5,2
73,468,16,4,100,normal,2,3
74,270,14,3,50,uniform,0.5,1
75,452,3,1,100,even_discrete,0.5,2
76,22,15,4,100,even_discrete,4,2
77,132,6,4,100,uniform,4,1
78,54,6,3,50,even_discrete,0.5,3
79,445,3,4,50,normal,0.5,3
80,199,10,2,50,uniform,0.5,1
81,251,15,4,50,uniform,0.5,1
82,59,8,2,50,even_discrete,4,1
83,303,16,1,50,even_discrete,4,1
84,84,20,2,50,uniform,0.5,3
85,305,9,3,300,even_discrete,0.5,3
86,123,11,1,100,normal,2,3
87,393,16,2,300,lognormal,1,3
88,254,14,1,300,normal,2,1
89,25,3,2,300,normal,2,1
90,404,5,2,300,uniform,1,3
91,234,12,4,300,even_discrete,2,2
92,203,12,2,50,lognormal,1,2
93,507,15,3,300,normal,4,3
94,525,18,2,100,uniform,4,1
95,259,17,3,50,lognormal,2,2
96,151,14,4,100,even_discrete,1,3
97,551,20,3,100,lognormal,2,3
98,540,13,4,100,lognormal,0.5,2
99,228,17,4,300,even_discrete,4,2
100,394,10,3,100,even_discrete,4,1
101,519,16,3,100,even_discrete,4,2
102,169,11,2,50,normal,0.5,2
103,102,7,2,100,even_discrete,1,3
104,575,12,4,100,even_discrete,0.5,1
105,446,6,4,50,even_discrete,4,3
106,370,8,1,50,uniform,0.5,1
107,320,13,2,100,normal,2,3
108,426,16,3,50,lognormal,2,3
109,416,9,4,50,lognormal,4,2
110,465,17,2,100,uniform,4,3
111,25,19,2,300,normal,2,1
112,509,20,2,300,uniform,4,1
113,288,5,3,50,lognormal,0.5,2
114,311,8,4,50,lognormal,0.5,3
115,269,14,4,50,uniform,1,1
116,467,11,2,100,even_discrete,4,2
117,126,11,3,100,normal,0.5,3
118,182,4,2,50,even_discrete,2,3
119,95,18,4,50,lognormal,1,2
120,205,16,1,100,even_discrete,4,3
121,37,9,3,100,normal,0.5,1
122,492,16,2,300,even_discrete,4,3
123,528,11,4,300,uniform,4,2
124,422,4,2,300,uniform,1,2
125,482,3,4,100,lognormal,2,2
126,83,18,3,100,uniform,0.5,2
127,221,8,3,100,uniform,1,1
128,439,6,3,50,normal,1,2
129,226,6,4,300,normal,0.5,3
130,331,14,3,50,normal,0.5,3
131,71,19,4,100,even_discrete,4,3
132,327,5,4,300,normal,1,1
133,375,17,1,50,even_discrete,0.5,1
134,11,20,1,100,normal,1,2
135,549,18,1,300,lognormal,0.5,1
136,555,15,3,50,normal,2,1
137,549,13,1,300,lognormal,0.5,1
138,321,2,1,100,uniform,2,3
139,320,2,2,100,normal,2,3
140,332,6,1,50,normal,1,3
141,526,20,1,300,lognormal,2,2
142,556,17,4,300,uniform,1,3
143,293,9,3,300,normal,1,1
144,336,20,1,50,lognormal,0.5,2
145,103,20,1,50,even_discrete,1,2
146,190,14,4,300,lognormal,2,1
147,470,10,3,300,normal,0.5,2
148,397,10,4,50,normal,0.5,2
149,535,15,3,50,uniform,1,2
150,88,12,3,100,uniform,2,3
151,432,20,2,300,uniform,4,3
152,478,7,1,100,normal,4,2
153,180,7,1,300,normal,0.5,3
154,384,9,4,100,even_discrete,1,2
155,16,6,3,50,normal,2,2
156,440,15,4,300,even_discrete,2,1
157,574,7,1,300,uniform,1,1
158,385,8,3,100,normal,4,3
159,322,16,3,50,uniform,0.5,3
160,141,1,3,300,uniform,2,2
1,64,5,3,300,even_discrete,1,2
2,521,11,4,300,normal,2,3
3,371,9,2,100,uniform,2,1
4,142,5,4,100,uniform,1,3
5,33,17,3,50,even_discrete,4,2
6,100,6,1,100,even_discrete,1,3
7,244,3,2,50,even_discrete,4,3
8,444,4,2,100,lognormal,2,1
9,507,20,3,300,normal,4,3
10,160,13,3,300,even_discrete,1,1
11,471,10,4,50,even_discrete,0.5,3
12,56,2,1,50,lognormal,4,2
13,156,19,4,100,even_discrete,2,2
14,224,10,3,300,lognormal,2,1
15,103,13,1,50,even_discrete,1,2
16,125,3,4,100,normal,2,2
17,117,18,1,300,normal,2,2
18,558,8,1,300,even_discrete,1,1
19,483,3,1,50,uniform,2,3
20,89,20,2,100,normal,4,2
21,411,6,2,300,lognormal,2,1
22,260,3,4,50,normal,1,2
23,484,3,1,50,normal,0.5,1
24,9,17,1,50,even_discrete,1,1
25,77,16,3,100,even_discrete,1,3
26,387,7,2,100,uniform,0.5,3
27,138,1,3,300,lognormal,4,2
28,331,8,3,50,normal,0.5,3
29,255,1,2,300,even_discrete,0.5,2
30,438,9,2,50,lognormal,4,1
31,561,15,1,100,lognormal,0.5,1
32,226,10,4,300,normal,0.5,3
33,571,12,1,300,lognormal,4,3
34,117,3,1,300,normal,2,2
35,64,18,3,300,even_discrete,1,2
36,113,17,3,50,uniform,2,3
37,509,7,2,300,uniform,4,1
38,349,10,4,300,normal,4,1
39,163,17,2,100,uniform,2,3
40,423,12,3,300,even_discrete,2,2
41,209,4,1,300,lognormal,1,1
42,244,13,2,50,even_discrete,4,3
43,484,2,1,50,normal,0.5,1
44,369,2,2,300,lognormal,4,2
45,429,10,3,300,normal,4,1
46,135,18,2,300,normal,1,3
47,239,1,3,100,normal,0.5,2
48,28,4,4,100,uniform,2,3
49,76,2,2,300,normal,0.5,1
50,337,13,2,50,normal,2,2
51,264,17,1,100,normal,2,1
52,23,3,3,300,normal,0.5,1
53,427,7,1,50,even_discrete,2,3
54,442,9,3,50,lognormal,0.5,3
55,417,3,2,50,lognormal,2,1
56,488,10,1,50,lognormal,1,2
57,291,10,3,300,normal,1,2
58,457,8,1,100,lognormal,0.5,3
59,537,15,4,300,uniform,0.5,3
60,69,2,1,300,lognormal,4,2
61,280,9,2,50,lognormal,4,3
62,407,6,3,300,lognormal,2,3
63,356,8,3,50,lognormal,1,1
64,494,1,2,100,normal,0.5,1
65,184,5,3,100,lognormal,4,3
66,134,2,2,300,even_discrete,2,2
67,310,9,3,100,even_discrete,4,3
68,427,13,1,50,even_discrete,2,3
69,374,16,4,300,even_discrete,1,2
70,347,16,2,50,lognormal,0.5,3
71,456,4,1,100,even_discrete,1,1
72,94,14,3,300,even_discrete,4,2
73,450,6,3,50,uniform,4,2
74,532,19,1,300,even_discrete,2,2
75,247,6,1,50,uniform,4,1
76,36,16,1,100,lognormal,2,1
77,539,14,1,300,even_discrete,1,2
78,139,11,2,300,normal,1,1
79,424,11,3,300,even_discrete,4,1
80,568,8,1,100,even_discrete,1,2
81,46,13,2,100,even_discrete,4,3
82,111,3,1,100,lognormal,1,1
83,113,8,3,50,uniform,2,3
84,72,16,1,300,even_discrete,0.5,2
85,323,15,2,50,normal,0.5,1
86,71,4,4,100,even_discrete,4,3
87,41,11,4,100,uniform,0.5,2
88,437,19,2,100,lognormal,1,2
89,177,12,2,100,even_discrete,4,1
90,43,16,3,50,normal,4,3
91,145,7,1,100,even_discrete,4,2
92,343,3,3,300,uniform,0.5,2
93,87,2,2,300,lognormal,2,3
94,126,20,3,100,normal,0.5,3
95,564,5,4,50,normal,0.5,1
96,58,18,1,100,lognormal,4,2
97,22,6,4,100,even_discrete,4,2
98,568,6,1,100,even_discrete,1,2
99,149,7,3,100,even_discrete,2,3
100,296,13,1,50,normal,0.5,2
101,383,18,2,300,normal,1,2
102,426,12,3,50,lognormal,2,3
103,105,5,4,100,normal,0.5,3
104,347,6,2,50,lognormal,0.5,3
105,535,11,3,50,uniform,1,2
106,49,2,1,300,normal,4,3
107,19,9,3,300,lognormal,4,3
108,446,11,4,50,even_discrete,4,3
109,102,16,2,100,even_discrete,1,3
110,323,1,2,50,normal,0.5,1
111,83,6,3,100,uniform,0.5,2
112,512,17,4,50,uniform,0.5,3
113,295,20,1,50,uniform,4,2
114,458,1,1,300,normal,4,2
115,400,11,3,50,even_discrete,0.5,1
116,390,14,1,50,uniform,1,2
117,220,8,3,300,lognormal,1,3
118,209,2,1,300,lognormal,1,1
119,435,1,3,100,lognormal,4,1
120,567,14,4,50,uniform,1,3
121,276,7,1,300,uniform,2,2
122,553,1,4,100,even_discrete,0.5,2
123,257,20,1,50,normal,0.5,3
124,287,1,4,100,lognormal,0.5,3
125,199,13,2,50,uniform,0.5,1
126,171,9,4,50,even_discrete,2,2
127,348,3,2,50,normal,1,1
128,35,11,4,300,lognormal,1,3
129,329,13,1,300,uniform,1,2
130,295,16,1,50,uniform,4,2
131,507,17,3,300,normal,4,3
132,30,18,1,50,even_discrete,4,2
133,478,4,1,100,normal,4,2
134,573,16,2,100,uniform,0.5,2
135,326,9,3,50,even_discrete,0.5,2
136,152,11,1,100,normal,4,1
137,348,1,2,50,normal,1,1
138,497,9,1,50,even_discrete,4,3
139,22,17,4,100,even_discrete,4,2
140,50,9,2,100,lognormal,1,3
141,186,15,2,50,uniform,4,1
142,305,3,3,300,even_discrete,0.5,3
143,44,17,1,300,even_discrete,4,1
144,142,14,4,100,uniform,1,3
145,273,1,3,100,lognormal,2,1
146,152,1,1,100,normal,4,1
147,222,1,4,50,even_discrete,1,1
148,565,4,2,50,uniform,1,3
149,530,17,1,300,normal,0.5,2
150,410,5,1,300,even_discrete,2,3
151,114,13,1,100,normal,4,3
152,47,16,4,100,lognormal,2,1
153,103,6,1,50,even_discrete,1,2
154,459,11,3,50,lognormal,4,3
155,455,4,1,50,uniform,1,1
156,110,8,2,300,uniform,0.5,1
157,414,12,2,300,even_discrete,0.5,3
158,128,20,1,300,lognormal,0.5,3
159,53,5,1,50,lognormal,4,1
160,289,10,2,300,even_discrete,1,3
1,113,3,3,50,uniform,2,3
2,347,16,2,50,lognormal,0.5,3
3,98,3,4,50,uniform,4,2
4,293,18,3,300,normal,1,1
5,407,15,3,300,lognormal,2,3
6,227,18,2,300,normal,2,3
7,322,4,3,50,uniform,0.5,3
8,401,20,4,300,even_discrete,1,3
9,333,1,4,50,lognormal,0.5,1
10,366,19,1,100,normal,1,1
11,518,18,3,50,uniform,4,1
12,397,6,4,50,normal,0.5,2
13,30,7,1,50,even_discrete,4,2
14,329,11,1,300,uniform,1,2
15,397,4,4,50,normal,0.5,2
16,547,11,2,50,normal,4,3
17,303,9,1,50,even_discrete,4,1
18,367,3,2,50,normal,2,1
19,391,20,4,50,even_discrete,4,1
20,378,14,3,100,even_discrete,0.5,3
21,44,7,1,300,even_discrete,4,1
22,109,13,1,100,lognormal,2,2
23,417,7,2,50,lognormal,2,1
24,124,14,4,300,lognormal,0.5,3
25,134,4,2,300,even_discrete,2,2
26,81,14,4,50,even_discrete,1,3
27,569,8,4,300,normal,2,1
28,568,14,1,100,even_discrete,1,2
29,281,20,3,50,even_discrete,2,1
30,265,11,1,100,normal,0.5,2
31,558,3,1,300,even_discrete,1,1
32,161,3,4,100,uniform,4,3
33,389,11,4,300,even_discrete,0.5,3
34,217,12,2,300,uniform,1,1
35,267,10,4,300,normal,4,2
36,317,10,2,50,even_discrete,0.5,2
37,165,15,4,300,normal,1,3
38,419,5,4,100,normal,1,1
39,379,5,1,300,uniform,0.5,2
40,248,2,2,50,even_discrete,1,3
41,453,18,4,300,uniform,2,1
42,374,3,4,300,even_discrete,1,2
43,365,6,4,300,uniform,0.5,2
44,423,11,3,300,even_discrete,2,2
45,451,7,2,100,normal,2,1
46,502,20,3,100,uniform,4,2
47,346,4,4,50,normal,2,1
48,288,13,3,50,lognormal,0.5,2
49,566,8,3,100,normal,2,2
50,314,9,1,300,normal,4,1
51,14,20,2,300,uniform,2,1
52,464,10,2,100,lognormal,1,1
53,359,15,1,300,lognormal,4,1
54,461,8,2,100,normal,1,2
55,168,4,2,300,even_discrete,1,1
56,384,2,4,100,even_discrete,1,2
57,225,13,2,300,lognormal,4,1
58,214,2,4,50,lognormal,1,3
59,395,2,2,100,uniform,1,3
60,172,19,1,100,normal,0.5,3
61,393,20,2,300,lognormal,1,3
62,292,5,2,300,normal,4,2
63,427,6,1,50,even_discrete,2,3
64,528,16,4,300,uniform,4,2
65,264,19,1,100,normal,2,1
66,464,14,2,100,lognormal,1,1
67,442,18,3,50,lognormal,0.5,3
68,331,14,3,50,normal,0.5,3
69,395,1,2,100,uniform,1,3
70,265,11,1,100,normal,0.5,2
71,216,6,3,300,uniform,1,3
72,482,1,4,100,lognormal,2,2
73,201,20,3,100,even_discrete,1,2
74,81,8,4,50,even_discrete,1,3
75,229,7,2,50,normal,0.5,3
76,239,6,3,100,normal,0.5,2
77,349,10,4,300,normal,4,1
78,354,5,3,300,uniform,4,3
79,113,10,3,50,uniform,2,3
80,314,14,1,300,normal,4,1
81,439,3,3,50,normal,1,2
82,169,13,2,50,normal,0.5,2
83,173,11,1,100,lognormal,2,3
84,528,2,4,300,uniform,4,2
85,14,18,2,300,uniform,2,1
86,344,14,1,50,even_discrete,1,3
87,266,14,4,300,even_discrete,4,3
88,189,15,3,300,lognormal,0.5,3
89,275,5,4,100,normal,0.5,2
90,338,4,3,300,even_discrete,2,3
91,217,2,2,300,uniform,1,1
92,476,11,3,50,even_discrete,2,3
93,484,3,1,50,normal,0.5,1
94,150,13,4,300,lognormal,0.5,2
95,299,10,2,100,lognormal,0.5,3
96,371,8,2,100,uniform,2,1
97,99,11,1,50,even_discrete,0.5,3
98,89,1,2,100,normal,4,2
99,313,16,4,100,lognormal,1,3
100,52,15,4,100,uniform,0.5,1
101,272,12,4,100,normal,2,1
102,68,5,3,300,normal,1,3
103,458,9,1,300,normal,4,2
104,236,10,2,100,uniform,2,2
105,85,3,1,300,uniform,2,1
106,372,13,2,50,lognormal,1,1
107,161,19,4,100,uniform,4,3
108,93,8,2,300,normal,4,1
109,331,6,3,50,normal,0.5,3
110,27,20,3,50,even_discrete,4,1
111,478,15,1,100,normal,4,2
112,101,18,1,300,even_discrete,0.5,1
113,422,10,2,300,uniform,1,2
114,82,17,2,300,lognormal,1,1
115,19,4,3,300,lognormal,4,3
116,326,13,3,50,even_discrete,0.5,2
117,134,1,2,300,even_discrete,2,2
118,484,14,1,50,normal,0.5,1
119,183,13,1,50,uniform,2,2
120,120,20,1,300,uniform,0.5,1
121,531,2,1,100,lognormal,1,2
122,146,14,2,100,lognormal,2,2
123,441,19,3,50,uniform,2,2
124,178,17,2,100,even_discrete,0.5,1
125,185,16,1,100,uniform,4,3
126,145,20,1,100,even_discrete,4,2
127,251,7,4,50,uniform,0.5,1
128,108,2,2,50,uniform,4,3
129,58,9,1,100,lognormal,4,2
130,125,4,4,100,normal,2,2
131,447,15,1,100,uniform,0.5,1
132,334,12,4,50,lognormal,2,3
133,273,20,3,100,lognormal,2,1
134,538,17,2,300,even_discrete,2,1
135,522,12,2,300,even_discrete,1,2
136,409,6,3,100,lognormal,1,1
137,143,2,3,300,normal,2,3
138,434,10,3,100,lognormal,0.5,3
139,101,8,1,300,even_discrete,0.5,1
140,514,10,3,100,normal,2,1
141,259,12,3,50,lognormal,2,2
142,501,6,1,50,normal,1,2
143,442,8,3,50,lognormal,0.5,3
144,424,9,3,300,even_discrete,4,1
145,167,10,4,50,uniform,2,3
146,236,10,2,100,uniform,2,2
147,336,2,1,50,lognormal,0.5,2
148,146,15,2,100,lognormal,2,2
149,497,3,1,50,even_discrete,4,3
150,110,16,2,300,uniform,0.5,1
151,434,10,3,100,lognormal,0.5,3
152,500,4,4,300,even_discrete,0.5,2
153,307,9,4,50,normal,2,2
154,405,13,2,50,even_discrete,2,1
155,135,2,2,300,normal,1,3
156,7,16,4,50,normal,4,2
157,340,1,3,50,lognormal,2,1
158,509,9,2,300,uniform,4,1
159,297,14,3,100,normal,2,3
160,98,15,4,50,uniform,4,2
1,465,12,2,100,uniform,4,3
2,553,17,4,100,even_discrete,0.5,2
3,312,1,1,50,lognormal,1,1
4,369,13,2,300,lognormal,4,2
5,420,13,2,50,normal,2,3
6,350,1,1,300,uniform,0.5,3
7,362,17,4,50,lognormal,2,2
8,493,12,3,300,normal,2,2
9,113,8,3,50,uniform,2,3
10,280,14,2,50,lognormal,4,3
11,468,1,4,100,normal,2,3
12,451,15,2,100,normal,2,1
13,169,14,2,50,normal,0.5,2
14,353,14,1,100,lognormal,4,3
15,441,19,3,50,uniform,2,2
16,576,14,1,100,even_discrete,0.5,1
17,472,4,2,50,uniform,2,2
18,226,7,4,300,normal,0.5,3
19,172,4,1,100,normal,0.5,3
20,534,11,3,300,lognormal,1,2
21,81,19,4,50,even_discrete,1,3
22,76,2,2,300,normal,0.5,1
23,144,11,1,100,uniform,1,2
24,199,6,2,50,uniform,0.5,1
25,343,13,3,300,uniform,0.5,2
26,250,13,3,100,even_discrete,2,1
27,250,7,3,100,even_discrete,2,1
28,302,2,2,50,even_discrete,2,2
29,325,19,2,100,normal,1,3
30,535,4,3,50,uniform,1,2
31,328,2,3,300,lognormal,4,1
32,38,7,2,100,normal,2,2
33,132,1,4,100,uniform,4,1
34,488,1,1,50,lognormal,1,2
35,38,19,2,100,normal,2,2
36,509,6,2,300,uniform,4,1
37,50,18,2,100,lognormal,1,3
38,371,19,2,100,uniform,2,1
39,323,6,2,50,normal,0.5,1
40,351,11,3,50,lognormal,4,1
41,90,16,3,100,normal,1,1
42,345,14,2,300,normal,0.5,2
43,112,18,4,50,even_discrete,1,2
44,214,3,4,50,lognormal,1,3
45,158,16,4,100,uniform,4,2
46,21,5,3,50,even_discrete,1,3
47,57,8,4,50,lognormal,4,1
48,182,1,2,50,even_discrete,2,3
49,399,10,4,100,lognormal,0.5,1
50,535,14,3,50,uniform,1,2
51,559,8,4,100,even_discrete,1,1
52,363,8,4,300,lognormal,4,2
53,311,16,4,50,lognormal,0.5,3
54,528,1,4,300,uniform,4,2
55,501,6,1,50,normal,1,2
56,124,8,4,300,lognormal,0.5,3
57,303,11,1,50,even_discrete,4,1
58,247,18,1,50,uniform,4,1
59,291,3,3,300,normal,1,2
60,192,6,3,300,normal,2,1
61,449,2,3,300,even_discrete,0.5,1
62,342,18,4,100,uniform,2,2
63,571,14,1,300,lognormal,4,3
64,6,9,1,100,uniform,1,1
65,432,12,2,300,uniform,4,3
66,365,19,4,300,uniform,0.5,2
67,483,11,1,50,uniform,2,3
68,280,10,2,50,lognormal,4,3
69,249,19,1,300,lognormal,2,1
70,92,17,2,100,even_discrete,1,2
71,572,9,2,100,normal,4,1
72,107,17,1,300,lognormal,1,3
73,335,7,2,50,normal,1,3
74,124,3,4,300,lognormal,0.5,3
75,468,17,4,100,normal,2,3
76,344,4,1,50,even_discrete,1,3
77,469,16,2,50,uniform,1,1
78,417,1,2,50,lognormal,2,1
79,20,18,2,50,even_discrete,1,2
80,189,4,3,300,lognormal,0.5,3
81,549,8,1,300,lognormal,0.5,1
82,327,1,4,300,normal,1,1
83,335,2,2,50,normal,1,3
84,346,1,4,50,normal,2,1
85,119,20,1,50,uniform,4,3
86,280,10,2,50,lognormal,4,3
87,541,1,1,100,lognormal,4,1
88,5,7,1,100,uniform,0.5,2
89,571,8,1,300,lognormal,4,3
90,137,12,2,50,lognormal,0.5,1
91,360,11,3,100,uniform,0.5,3
92,539,8,1,300,even_discrete,1,2
93,95,1,4,50,lognormal,1,2
94,44,15,1,300,even_discrete,4,1
95,130,7,4,100,even_discrete,4,1
96,200,16,1,50,uniform,0.5,2
97,14,13,2,300,uniform,2,1
98,469,14,2,50,uniform,1,1
99,341,2,1,300,uniform,2,3
100,319,17,4,300,normal,1,2
101,258,10,4,300,lognormal,4,1
102,549,1,1,300,lognormal,0.5,1
103,338,18,3,300,even_discrete,2,3
104,318,7,3,50,uniform,1,3
105,138,2,3,300,lognormal,4,2
106,556,16,4,300,uniform,1,3
107,319,20,4,300,normal,1,2
108,276,2,1,300,uniform,2,2
109,147,12,1,300,lognormal,0.5,2
110,100,5,1,100,even_discrete,1,3
111,147,13,1,300,lognormal,0.5,2
112,372,19,2,50,lognormal,1,1
113,190,1,4,300,lognormal,2,1
114,32,12,3,300,even_discrete,0.5,2
115,561,3,1,100,lognormal,0.5,1
116,57,20,4,50,lognormal,4,1
117,379,18,1,300,uniform,0.5,2
118,500,6,4,300,even_discrete,0.5,2
119,207,5,2,50,normal,4,1
120,59,13,2,50,even_discrete,4,1
121,383,20,2,300,normal,1,2
122,191,13,3,100,uniform,1,2
123,532,12,1,300,even_discrete,2,2
124,240,19,3,50,normal,0.5,2
125,554,14,1,50,even_discrete,2,2
126,146,2,2,100,lognormal,2,2
127,12,2,2,100,even_discrete,2,3
128,76,19,2,300,normal,0.5,1
129,87,14,2,300,lognormal,2,3
130,396,20,2,100,uniform,1,1
131,453,12,4,300,uniform,2,1
132,514,20,3,100,normal,2,1
133,4,1,4,100,uniform,0.5,3
134,482,10,4,100,lognormal,2,2
135,247,11,1,50,uniform,4,1
136,81,20,4,50,even_discrete,1,3
137,554,17,1,50,even_discrete,2,2
138,324,16,3,50,normal,1,3
139,68,9,3,300,normal,1,3
140,59,14,2,50,even_discrete,4,1
141,24,17,3,300,uniform,1,2
142,93,9,2,300,normal,4,1
143,547,16,2,50,normal,4,3
144,576,18,1,100,even_discrete,0.5,1
145,116,15,2,50,lognormal,0.5,2
146,574,5,1,300,uniform,1,1
147,217,6,2,300,uniform,1,1
148,90,2,3,100,normal,1,1
149,367,4,2,50,normal,2,1
150,479,6,1,100,normal,1,3
151,107,17,1,300,lognormal,1,3
152,329,11,1,300,uniform,1,2
153,115,20,3,300,lognormal,1,1
154,297,20,3,100,normal,2,3
155,234,16,4,300,even_discrete,2,2
156,203,20,2,50,lognormal,1,2
157,313,4,4,100,lognormal,1,3
158,245,12,1,100,uniform,2,1
159,171,10,4,50,even_discrete,2,2
160,99,4,1,50,even_discrete,0.5,3
1,306,7,1,300,normal,2,3
2,40,5,1,50,normal,4,3
3,152,10,1,100,normal,4,1
4,430,20,3,100,lognormal,0.5,2
5,543,2,4,300,normal,0.5,2
6,424,17,3,300,even_discrete,4,1
7,101,15,1,300,even_discrete,0.5,1
8,370,10,1,50,uniform,0.5,1
9,10,18,4,300,even_discrete,1,1
10,387,5,2,100,uniform,0.5,3
11,477,8,1,50,lognormal,2,2
12,65,5,3,100,lognormal,1,2
13,441,8,3,50,uniform,2,2
14,381,1,4,300,normal,0.5,1
15,154,15,4,300,uniform,4,1
16,333,13,4,50,lognormal,0.5,1
17,389,11,4,300,even_discrete,0.5,3
18,224,6,3,300,lognormal,2,1
19,153,17,4,100,lognormal,1,1
20,144,1,1,100,uniform,1,2
21,24,3,3,300,uniform,1,2
22,191,9,3,100,uniform,1,2
23,514,16,3,100,normal,2,1
