subject,lineup_id,order,shape,n,x_dist,e_sigma,rep
9,244,16,2,50,even_discrete,4,3
10,79,12,1,100,even_discrete,4,1
11,5,12,1,100,uniform,0.5,2
12,565,9,2,50,uniform,1,3
13,95,16,4,50,lognormal,1,2
14,83,9,3,100,uniform,0.5,2
15,68,18,3,300,normal,1,3
16,483,7,1,50,uniform,2,3
17,1,12,2,300,lognormal,4,3
18,520,20,1,50,lognormal,0.5,1
19,425,19,3,50,lognormal,0.5,1
20,418,12,1,300,normal,0.5,1
21,250,20,3,100,even_discrete,2,1
22,539,6,1,300,even_discrete,1,2
23,29,10,3,50,uniform,4,3
24,142,9,4,100,uniform,1,3
25,525,18,2,100,uniform,4,1
26,331,5,3,50,normal,0.5,3
27,161,15,4,100,uniform,4,3
28,133,16,1,50,lognormal,4,3
29,71,3,4,100,even_discrete,4,3
30,515,16,4,50,normal,1,1
31,181,6,4,50,lognormal,1,1
32,404,8,2,300,uniform,1,3
33,290,4,2,300,uniform,2,3
34,194,8,3,300,lognormal,0.5,2
35,85,16,1,300,uniform,2,1
36,57,14,4,50,lognormal,4,1
37,367,14,2,50,normal,2,1
38,82,12,2,300,lognormal,1,1
39,16,7,3,50,normal,2,2
40,179,19,2,300,lognormal,0.5,1
41,340,20,3,50,lognormal,2,1
42,354,16,3,300,uniform,4,3
43,107,4,1,300,lognormal,1,3
44,109,16,1,100,lognormal,2,2
45,262,14,1,300,lognormal,2,3
46,317,14,2,50,even_discrete,0.5,2
47,109,16,1,100,lognormal,2,2
48,437,20,2,100,lognormal,1,2
49,262,11,1,300,lognormal,2,3
50,277,6,4,50,lognormal,4,3
51,299,4,2,100,lognormal,0.5,3
52,515,13,4,50,normal,1,1
53,447,9,1,100,uniform,0.5,1
54,170,16,1,300,lognormal,1,2
55,271,7,3,50,even_discrete,4,3
56,462,9,3,100,lognormal,2,2
57,469,3,2,50,uniform,1,1
58,317,3,2,50,even_discrete,0.5,2
59,172,10,1,100,normal,0.5,3
60,63,5,4,300,even_discrete,0.5,1
61,399,1,4,100,lognormal,0.5,1
62,574,11,1,300,uniform,1,1
63,32,5,3,300,even_discrete,0.5,2
64,260,14,4,50,normal,1,2
65,148,20,2,50,lognormal,2,3
66,222,20,4,50,even_discrete,1,1
67,20,14,2,50,even_discrete,1,2
68,42,17,4,50,uniform,1,2
69,382,18,3,50,lognormal,1,3
70,474,1,1,50,uniform,1,3
71,41,1,4,100,uniform,0.5,2
72,537,6,4,300,uniform,0.5,3
73,26,1,1,50,even_discrete,2,1
74,56,7,1,50,lognormal,4,2
75,96,11,3,50,even_discrete,2,2
76,338,18,3,300,even_discrete,2,3
77,398,17,3,100,normal,1,2
78,409,20,3,100,lognormal,1,1
79,208,9,4,100,even_discrete,2,3
80,274,11,2,100,lognormal,4,3
81,313,4,4,100,lognormal,1,3
82,458,7,1,300,normal,4,2
83,311,15,4,50,lognormal,0.5,3
84,399,13,4,100,lognormal,0.5,1
85,46,11,2,100,even_discrete,4,3
86,403,15,3,100,lognormal,1,3
87,496,2,4,50,lognormal,2,1
88,255,8,2,300,even_discrete,0.5,2
89,401,20,4,300,even_discrete,1,3
90,283,18,4,50,uniform,2,1
91,320,1,2,100,normal,2,3
92,247,4,1,50,uniform,4,1
93,108,13,2,50,uniform,4,3
94,141,10,3,300,uniform,2,2
95,123,14,1,100,normal,2,3
96,126,3,3,100,normal,0.5,3
97,346,14,4,50,normal,2,1
98,414,9,2,300,even_discrete,0.5,3
99,189,3,3,300,lognormal,0.5,3
100,542,7,4,50,even_discrete,2,3
101,40,4,1,50,normal,4,3
102,474,3,1,50,uniform,1,3
103,301,8,3,100,uniform,4,1
104,504,4,3,100,lognormal,4,2
105,361,12,2,100,uniform,4,2
106,307,3,4,50,normal,2,2
107,362,10,4,50,lognormal,2,2
108,12,19,2,100,even_discrete,2,3
109,460,20,3,300,even_discrete,4,3
110,434,18,3,100,lognormal,0.5,3
111,445,1,4,50,normal,0.5,3
112,503,4,4,300,lognormal,2,2
113,222,12,4,50,even_discrete,1,1
114,454,20,2,100,normal,0.5,3
115,65,6,3,100,lognormal,1,2
116,513,16,3,300,uniform,4,2
117,412,16,3,50,uniform,2,1
118,493,11,3,300,normal,2,2
119,202,6,4,300,uniform,4,3
120,258,9,4,300,lognormal,4,1
121,223,4,3,300,even_discrete,1,3
122,152,8,1,100,normal,4,1
123,194,3,3,300,lognormal,0.5,2
124,417,11,2,50,lognormal,2,1
125,147,18,1,300,lognormal,0.5,2
126,119,10,1,50,uniform,4,3
127,386,9,1,100,normal,0.5,1
128,102,13,2,100,even_discrete,1,3
129,544,15,2,100,uniform,0.5,1
130,405,11,2,50,even_discrete,2,1
131,13,5,1,300,even_discrete,1,3
132,575,8,4,100,even_discrete,0.5,1
133,85,14,1,300,uniform,2,1
134,372,18,2,50,lognormal,1,1
135,511,2,1,100,even_discrete,2,2
136,336,18,1,50,lognormal,0.5,2
137,431,8,2,100,lognormal,2,3
138,418,15,1,300,normal,0.5,1
