page,response_time,set,num,selection,num_selection,reason,confidence,prolific_id,age_group,education,pronoun,previous_experience,lineup_id,type,formula,a,b,c,x_dist,z_discrete,e_dist,e_sigma,x_mu,x_n,x_sigma,z_discrete_dist,z_n,e_df,name,k,n,effect_size,answer,detect,conventional_p_value,ori_difficulty,exp,exp_lineup_id
16,12865.899999976158,1,12,0,0,NA,NA,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,68,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.12265149783343077,-1.6864048861898482,1.8891631187871099,lognormal,FALSE,normal,2,0,NA,0.6,discrete_uniform,4,NA,high_medium_34,20,300,4.596853592858352,20,FALSE,3.7275314503373396e-33,medium,1,1_68
17,50045.199999928474,1,13,17_13_2_11,4,Outlier(s),Slightly,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,295,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,31.814720958471298,NA,neglognormal,FALSE,NA,NA,0,10,0.6,NA,NA,NA,heter_easy_7,20,50,224.96404931292832,8,FALSE,0.30308855731451984,easy,1,1_295
18,18265.899999976158,1,14,4_18_7,3,Outlier(s),Moderately,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,571,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,0.22601332515478134,NA,normal,FALSE,NA,NA,0,19,0.3,NA,NA,NA,heter_hard_189,20,50,1.59815554855466,12,FALSE,0.03294908877484695,hard,1,1_571
19,10842.700000047684,1,15,2,1,Outlier(s),Very,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,582,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,31.025512721389532,NA,uniform,FALSE,NA,NA,0,20,0.6,NA,NA,NA,heter_extremely_easy_1,20,300,537.3776436432122,2,TRUE,1.9413670036201554e-14,extremely_easy,1,1_582
20,5652.399999976158,1,16,5,1,Shape,Extremely,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,580,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-1.6417699232697487,-0.4536565225571394,0.3632556344382465,uniform,FALSE,normal,0.25,0,NA,0.6,discrete_uniform,8,NA,high_extremely_easy_4,20,300,73.64650103657125,5,TRUE,4.6349019688122777e-213,extremely_easy,1,1_580
21,36850.299999952316,1,17,18,1,Shape,Not at all,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,480,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,0.6706067994236946,NA,normal,FALSE,NA,NA,0,11,0.3,NA,NA,NA,heter_hard_98,20,50,4.741906153823014,20,FALSE,0.11498207452174909,hard,1,1_480
22,41747.10000002384,1,18,0,0,NA,NA,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,502,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,1.2429814785718918,NA,normal,FALSE,NA,NA,0,11,0.3,NA,NA,NA,heter_hard_120,20,50,8.78920632387466,3,FALSE,0.17181669313154252,hard,1,1_502
23,47849.799999952316,1,19,6,1,Cluster(s),Not at all,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,129,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-0.5612494703382254,-2.1135565317235887,1.1776465782895684,lognormal,TRUE,normal,2,0,NA,0.6,discrete_uniform,4,NA,high_hard_35,20,300,0.19051860806437312,6,TRUE,0.11426882723416984,hard,1,1_129
24,15321.5,1,20,2,1,Outlier(s),Slightly,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,190,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.2469263831153512,0.4137652348726988,1.9294198476709425,neglognormal,FALSE,normal,2,0,NA,0.6,discrete_uniform,7,NA,high_hard_96,20,100,0.3957097843065274,15,FALSE,0.4515491709670919,hard,1,1_190
5,20689.300000000745,2,1,14,1,Cluster(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,307,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,28.612286642193794,NA,normal,FALSE,NA,NA,0,20,0.3,NA,NA,NA,heter_easy_19,20,50,202.31941909948506,14,TRUE,0.0036412189943173016,easy,1,1_307
