a,b,c,x_dist,x_mu,x_sigma,z_discrete,z_discrete_dist,z_n,e_dist,e_df,e_sigma,n,type,statistics,pvalue,effect_size,detect,x_n
-1.2905334890820086,-2.564710384234786,0.7735617868602276,normal,0,0.3,TRUE,discrete_uniform,5,normal,NA,0.5,100,cubic,21.229715675598957,1.8386946602948023e-12,5.201530583166612,FALSE,NA
0.3064528643153608,0.26624276395887136,0.615850736387074,lognormal,0,0.6,TRUE,discrete_uniform,3,normal,NA,1,300,cubic,1.9412309831551084,0.12300278110281561,0.008418314237080256,TRUE,NA
0.11421912861987948,0.8267389079555869,0.9199480004608631,lognormal,0,0.6,FALSE,discrete_uniform,6,normal,NA,0.25,100,cubic,8.612684655985376,5.869392478929039e-6,2.684079465482006,FALSE,NA
0.9842449924908578,0.12292616022750735,1.2545168395154178,normal,0,0.3,FALSE,discrete_uniform,6,normal,NA,0.5,300,cubic,69.59923311146203,2.313714345772493e-41,1.0370036752933207,TRUE,NA
-2.844221084844321,2.936813759151846,1.1411106130108237,neglognormal,0,0.6,FALSE,discrete_uniform,6,normal,NA,0.25,300,cubic,2135.8945167437464,2.6286433539613127e-215,58.935086646756275,TRUE,NA
-0.6346103860996664,1.4973541544750333,1.564751227851957,uniform,0,0.6,FALSE,discrete_uniform,5,normal,NA,0.25,50,cubic,114.86808434902281,2.295053316676656e-22,10.15418580132197,TRUE,NA
-0.597687341272831,0.826947954017669,1.2469065277837217,neglognormal,0,0.6,TRUE,discrete_uniform,10,normal,NA,0.25,100,cubic,65.0293697963994,4.0124921396434307e-26,2.3343350578525053,TRUE,NA
-0.7797525473870337,-1.4046566267497838,0.7619490660727024,uniform,0,0.6,FALSE,discrete_uniform,3,normal,NA,1,50,cubic,6.1860715903675105,5.045501651581528e-4,0.9196844789162962,FALSE,NA
0.44283804623410106,-2.8370013856329024,0.7601064178161323,neglognormal,0,0.6,TRUE,discrete_uniform,3,normal,NA,0.25,300,cubic,343.9972463524389,8.255843810825613e-96,15.92267006228397,TRUE,NA
0.2772726025432348,-1.2521330653689802,0.6788938539102674,neglognormal,0,0.6,FALSE,discrete_uniform,10,normal,NA,0.25,300,cubic,69.6454269665904,2.2074166210800414e-41,4.410567233484044,TRUE,NA
-2.365802464541048,0.5176800889894366,0.911126415245235,neglognormal,0,0.6,TRUE,discrete_uniform,6,normal,NA,0.5,300,cubic,56.52066377927145,2.6642717975802293e-35,20.438463360507317,TRUE,NA
0.6638115802779794,2.0778705161064863,0.44405889930203557,uniform,0,0.6,FALSE,discrete_uniform,5,normal,NA,0.25,300,cubic,1751.8411301793626,3.6919490933115455e-203,25.54695007213197,TRUE,NA
-2.350663390941918,0.8014599429443479,1.1654097349382937,normal,0,0.3,FALSE,discrete_uniform,5,normal,NA,2,300,cubic,19.252339171428456,4.478454625364283e-14,0.4105634399251073,TRUE,NA
1.4203055086545646,1.6828125533647835,1.6209839056245983,uniform,0,0.6,TRUE,discrete_uniform,9,normal,NA,2,300,cubic,68.75949847611757,5.454465424173598e-41,0.8306608078068562,TRUE,NA
-1.846359179355204,-2.4144569132477045,1.0315020377747715,lognormal,0,0.6,FALSE,discrete_uniform,8,normal,NA,0.5,300,cubic,140.0485918333507,9.664901251409237e-67,4.524759766323957,TRUE,NA
0.6779407393187284,-0.8206579880788922,1.9629261693917215,neglognormal,0,0.6,FALSE,discrete_uniform,8,normal,NA,0.25,50,cubic,408.1998558690758,1.3810180321256772e-33,4.444774526871862,TRUE,NA
2.674236926715821,2.584975174628198,0.013162881135940552,lognormal,0,0.6,TRUE,discrete_uniform,10,normal,NA,0.5,50,cubic,39.313142278758704,7.728427085257584e-14,14.556541572539228,TRUE,NA
2.2814732124097645,-0.45800154749304056,1.9182685581035912,normal,0,0.3,TRUE,discrete_uniform,9,normal,NA,1,300,cubic,598.1117938188416,1.45932039646979e-139,3.654484232818599,TRUE,NA
-2.3486979003064334,2.111511450726539,1.9211340984329581,uniform,0,0.6,FALSE,discrete_uniform,4,normal,NA,2,100,cubic,54.48335959951802,1.417933721476966e-23,0.9948840520577803,TRUE,NA
2.888980387710035,0.7383459764532745,0.2610794831998646,normal,0,0.3,TRUE,discrete_uniform,8,normal,NA,2,100,cubic,7.519247986994503,2.7125167234510557e-5,0.6526183904447145,TRUE,NA
-1.7049710350111127,-1.141350990626961,0.06187715195119381,uniform,0,0.6,FALSE,discrete_uniform,7,normal,NA,0.5,50,cubic,188.25284091387377,1.1994251351325683e-26,7.687794484672719,TRUE,NA
2.2830132013186812,0.4412701344117522,1.0191249391064048,normal,0,0.3,TRUE,discrete_uniform,5,normal,NA,0.5,50,cubic,16.779517645203025,2.33866861612464e-8,9.880980136542876,TRUE,NA
-0.5581410122103989,-0.050992232747375965,0.2888802927918732,neglognormal,0,0.6,FALSE,discrete_uniform,9,normal,NA,1,50,cubic,1.951214571956464,0.11922640650906358,0.18530462571233752,FALSE,NA
0.22960075875744224,0.6179464277811348,1.4931029649451375,lognormal,0,0.6,FALSE,discrete_uniform,8,normal,NA,0.5,100,cubic,7.790580713457235,1.8481066421192102e-5,0.23947154080862576,TRUE,NA
0.0958155607804656,0.1408223658800125,0.19136219657957554,uniform,0,0.6,TRUE,discrete_uniform,4,normal,NA,0.25,50,cubic,6.030390840486726,6.065640632951485e-4,0.1470643946730676,FALSE,NA
2.8372149216011167,1.9875514134764671,1.765267627313733,uniform,0,0.6,TRUE,discrete_uniform,3,normal,NA,0.25,50,cubic,2809.678164385901,2.9442793750769225e-50,199.22184303586437,TRUE,NA
