type,formula,a,b,c,x_dist,z_discrete,e_dist,e_sigma,x_mu,x_n,x_sigma,z_discrete_dist,z_n,e_df,name,k,n,effect_size,answer,conventional_p_value,ori_difficulty,exp,exp_lineup_id,log_effect_size
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,0.6706067994236946,NA,normal,FALSE,NA,NA,0,11,0.3,NA,NA,NA,heter_hard_98,20,50,4.741906153823014,20,0.11498207452174909,hard,1,1_480,1.5564391970262534
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,1.2429814785718918,NA,normal,FALSE,NA,NA,0,11,0.3,NA,NA,NA,heter_hard_120,20,50,8.78920632387466,3,0.17181669313154252,hard,1,1_502,2.1735244145458656
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-0.5612494703382254,-2.1135565317235887,1.1776465782895684,lognormal,TRUE,normal,2,0,NA,0.6,discrete_uniform,4,NA,high_hard_35,20,300,0.19051860806437312,6,0.11426882723416984,hard,1,1_129,-1.6580054090578316
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.2469263831153512,0.4137652348726988,1.9294198476709425,neglognormal,FALSE,normal,2,0,NA,0.6,discrete_uniform,7,NA,high_hard_96,20,100,0.3957097843065274,15,0.4515491709670919,hard,1,1_190,-0.9270742043194337
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,28.612286642193794,NA,normal,FALSE,NA,NA,0,20,0.3,NA,NA,NA,heter_easy_19,20,50,202.31941909948506,14,0.0036412189943173016,easy,1,1_307,5.309847731160895
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,1.1269151493906975,NA,uniform,FALSE,NA,NA,0,12,0.6,NA,NA,NA,heter_hard_190,20,100,11.269151493906975,17,0.00182636230595119,hard,1,1_572,2.422069036300471
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,30.460985079407692,NA,uniform,FALSE,NA,NA,0,11,0.6,NA,NA,NA,heter_extremely_easy_2,20,300,527.5997380613162,19,3.279076487828318e-16,extremely_easy,1,1_583,6.268337924370929
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,1.8562916070222855,NA,uniform,FALSE,NA,NA,0,11,0.6,NA,NA,NA,heter_hard_108,20,50,13.125963831851319,1,0.46012384920401084,hard,1,1_490,2.5745922405892037
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-0.7741739843040705,1.8359015760943294,1.1339362976141274,uniform,FALSE,normal,2,0,NA,0.6,discrete_uniform,5,NA,high_medium_52,20,300,0.34089887868139,12,8.365885182505065e-10,medium,1,1_86,-1.0761693891326596
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",1,1.0773730352520943,NA,lognormal,FALSE,NA,NA,0,15,0.6,NA,NA,NA,heter_hard_162,20,50,7.618177790942892,6,0.43510882376060883,hard,1,1_544,2.030537206054346
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.5633881478570402,0.359244117513299,1.4901609355583787,uniform,FALSE,normal,2,0,NA,0.6,discrete_uniform,7,NA,high_hard_192,20,300,0.143943038013309,8,1.3596834424245492e-4,hard,1,1_286,-1.938337627016352
