shape,n,x_dist,e_sigma,rep,lineup_id
3,100,normal,0.5,2,239
4,100,normal,0.5,2,275
1,300,normal,0.5,2,530
2,300,normal,0.5,2,345
3,300,normal,0.5,2,470
4,300,normal,0.5,2,543
1,50,lognormal,0.5,2,336
2,50,lognormal,0.5,2,116
3,50,lognormal,0.5,2,288
4,50,lognormal,0.5,2,206
1,100,lognormal,0.5,2,60
2,100,lognormal,0.5,2,155
3,100,lognormal,0.5,2,430
4,100,lognormal,0.5,2,540
1,300,lognormal,0.5,2,147
2,300,lognormal,0.5,2,127
3,300,lognormal,0.5,2,194
4,300,lognormal,0.5,2,150
1,50,even_discrete,0.5,2,74
2,50,even_discrete,0.5,2,317
3,50,even_discrete,0.5,2,326
4,50,even_discrete,0.5,2,62
1,100,even_discrete,0.5,2,452
2,100,even_discrete,0.5,2,246
3,100,even_discrete,0.5,2,508
4,100,even_discrete,0.5,2,553
1,300,even_discrete,0.5,2,72
2,300,even_discrete,0.5,2,255
3,300,even_discrete,0.5,2,32
4,300,even_discrete,0.5,2,500
1,50,uniform,1,2,390
2,50,uniform,1,2,491
3,50,uniform,1,2,535
4,50,uniform,1,2,42
1,100,uniform,1,2,144
2,100,uniform,1,2,256
3,100,uniform,1,2,191
4,100,uniform,1,2,413
1,300,uniform,1,2,329
2,300,uniform,1,2,422
3,300,uniform,1,2,24
4,300,uniform,1,2,355
1,50,normal,1,2,501
2,50,normal,1,2,510
3,50,normal,1,2,439
4,50,normal,1,2,260
1,100,normal,1,2,11
2,100,normal,1,2,461
3,100,normal,1,2,398
4,100,normal,1,2,157
1,300,normal,1,2,380
2,300,normal,1,2,383
3,300,normal,1,2,291
4,300,normal,1,2,319
1,50,lognormal,1,2,488
2,50,lognormal,1,2,203
3,50,lognormal,1,2,34
4,50,lognormal,1,2,95
1,100,lognormal,1,2,531
2,100,lognormal,1,2,437
3,100,lognormal,1,2,65
4,100,lognormal,1,2,235
1,300,lognormal,1,2,170
2,300,lognormal,1,2,238
3,300,lognormal,1,2,534
4,300,lognormal,1,2,219
1,50,even_discrete,1,2,103
2,50,even_discrete,1,2,20
3,50,even_discrete,1,2,358
4,50,even_discrete,1,2,112
1,100,even_discrete,1,2,568
2,100,even_discrete,1,2,92
3,100,even_discrete,1,2,201
4,100,even_discrete,1,2,384
1,300,even_discrete,1,2,539
2,300,even_discrete,1,2,522
3,300,even_discrete,1,2,64
4,300,even_discrete,1,2,374
1,50,uniform,2,2,183
2,50,uniform,2,2,472
3,50,uniform,2,2,441
4,50,uniform,2,2,73
1,100,uniform,2,2,210
2,100,uniform,2,2,236
3,100,uniform,2,2,39
4,100,uniform,2,2,342
1,300,uniform,2,2,276
2,300,uniform,2,2,15
3,300,uniform,2,2,141
4,300,uniform,2,2,263
1,50,normal,2,2,294
2,50,normal,2,2,337
3,50,normal,2,2,16
4,50,normal,2,2,307
1,100,normal,2,2,237
2,100,normal,2,2,38
3,100,normal,2,2,566
4,100,normal,2,2,125
1,300,normal,2,2,117
2,300,normal,2,2,213
3,300,normal,2,2,493
4,300,normal,2,2,18
1,50,lognormal,2,2,477
2,50,lognormal,2,2,187
3,50,lognormal,2,2,259
4,50,lognormal,2,2,362
1,100,lognormal,2,2,109
2,100,lognormal,2,2,146
3,100,lognormal,2,2,462
4,100,lognormal,2,2,482
1,300,lognormal,2,2,526
2,300,lognormal,2,2,415
3,300,lognormal,2,2,17
4,300,lognormal,2,2,503
1,50,even_discrete,2,2,554
2,50,even_discrete,2,2,302
3,50,even_discrete,2,2,96
4,50,even_discrete,2,2,171
1,100,even_discrete,2,2,511
2,100,even_discrete,2,2,475
3,100,even_discrete,2,2,31
4,100,even_discrete,2,2,156
1,300,even_discrete,2,2,532
2,300,even_discrete,2,2,134
3,300,even_discrete,2,2,423
4,300,even_discrete,2,2,234
1,50,uniform,4,2,295
2,50,uniform,4,2,253
3,50,uniform,4,2,450
4,50,uniform,4,2,98
1,100,uniform,4,2,268
2,100,uniform,4,2,361
3,100,uniform,4,2,502
4,100,uniform,4,2,158
1,300,uniform,4,2,231
2,300,uniform,4,2,499
3,300,uniform,4,2,513
4,300,uniform,4,2,528
1,50,normal,4,2,548
2,50,normal,4,2,243
3,50,normal,4,2,550
4,50,normal,4,2,7
1,100,normal,4,2,478
2,100,normal,4,2,89
3,100,normal,4,2,136
4,100,normal,4,2,563
1,300,normal,4,2,458
2,300,normal,4,2,292
3,300,normal,4,2,373
4,300,normal,4,2,267
1,50,lognormal,4,2,56
2,50,lognormal,4,2,8
3,50,lognormal,4,2,66
4,50,lognormal,4,2,416
1,100,lognormal,4,2,58
2,100,lognormal,4,2,487
3,100,lognormal,4,2,504
4,100,lognormal,4,2,560
1,300,lognormal,4,2,69
2,300,lognormal,4,2,369
3,300,lognormal,4,2,138
4,300,lognormal,4,2,363
1,50,even_discrete,4,2,30
2,50,even_discrete,4,2,233
3,50,even_discrete,4,2,33
4,50,even_discrete,4,2,376
1,100,even_discrete,4,2,145
2,100,even_discrete,4,2,467
3,100,even_discrete,4,2,519
4,100,even_discrete,4,2,22
1,300,even_discrete,4,2,175
2,300,even_discrete,4,2,140
3,300,even_discrete,4,2,94
4,300,even_discrete,4,2,228
1,50,uniform,0.5,3,211
2,50,uniform,0.5,3,84
3,50,uniform,0.5,3,322
4,50,uniform,0.5,3,512
1,100,uniform,0.5,3,330
2,100,uniform,0.5,3,387
3,100,uniform,0.5,3,360
4,100,uniform,0.5,3,4
1,300,uniform,0.5,3,350
2,300,uniform,0.5,3,285
3,300,uniform,0.5,3,51
4,300,uniform,0.5,3,537
1,50,normal,0.5,3,257
2,50,normal,0.5,3,229
3,50,normal,0.5,3,331
4,50,normal,0.5,3,445
1,100,normal,0.5,3,172
2,100,normal,0.5,3,454
3,100,normal,0.5,3,126
4,100,normal,0.5,3,105
1,300,normal,0.5,3,180
2,300,normal,0.5,3,545
3,300,normal,0.5,3,67
4,300,normal,0.5,3,226
1,50,lognormal,0.5,3,527
2,50,lognormal,0.5,3,347
3,50,lognormal,0.5,3,442
4,50,lognormal,0.5,3,311
1,100,lognormal,0.5,3,457
2,100,lognormal,0.5,3,299
3,100,lognormal,0.5,3,434
4,100,lognormal,0.5,3,287
1,300,lognormal,0.5,3,128
2,300,lognormal,0.5,3,408
3,300,lognormal,0.5,3,189
4,300,lognormal,0.5,3,124
1,50,even_discrete,0.5,3,99
2,50,even_discrete,0.5,3,61
3,50,even_discrete,0.5,3,54
4,50,even_discrete,0.5,3,471
1,100,even_discrete,0.5,3,489
2,100,even_discrete,0.5,3,485
3,100,even_discrete,0.5,3,378
4,100,even_discrete,0.5,3,524
1,300,even_discrete,0.5,3,433
2,300,even_discrete,0.5,3,414
3,300,even_discrete,0.5,3,305
4,300,even_discrete,0.5,3,389
1,50,uniform,1,3,474
2,50,uniform,1,3,565
3,50,uniform,1,3,318
4,50,uniform,1,3,567
1,100,uniform,1,3,562
2,100,uniform,1,3,395
3,100,uniform,1,3,278
4,100,uniform,1,3,142
1,300,uniform,1,3,300
2,300,uniform,1,3,404
3,300,uniform,1,3,216
4,300,uniform,1,3,556
1,50,normal,1,3,332
2,50,normal,1,3,335
3,50,normal,1,3,324
4,50,normal,1,3,164
1,100,normal,1,3,479
2,100,normal,1,3,325
3,100,normal,1,3,364
4,100,normal,1,3,377
1,300,normal,1,3,533
2,300,normal,1,3,135
3,300,normal,1,3,68
4,300,normal,1,3,165
1,50,lognormal,1,3,118
2,50,lognormal,1,3,55
3,50,lognormal,1,3,382
4,50,lognormal,1,3,214
1,100,lognormal,1,3,241
2,100,lognormal,1,3,50
3,100,lognormal,1,3,403
4,100,lognormal,1,3,313
1,300,lognormal,1,3,107
2,300,lognormal,1,3,393
3,300,lognormal,1,3,220
4,300,lognormal,1,3,35
1,50,even_discrete,1,3,344
2,50,even_discrete,1,3,248
3,50,even_discrete,1,3,21
4,50,even_discrete,1,3,81
1,100,even_discrete,1,3,100
2,100,even_discrete,1,3,102
3,100,even_discrete,1,3,77
4,100,even_discrete,1,3,151
1,300,even_discrete,1,3,13
2,300,even_discrete,1,3,289
3,300,even_discrete,1,3,223
4,300,even_discrete,1,3,401
1,50,uniform,2,3,483
2,50,uniform,2,3,166
3,50,uniform,2,3,113
4,50,uniform,2,3,167
1,100,uniform,2,3,321
2,100,uniform,2,3,163
3,100,uniform,2,3,88
4,100,uniform,2,3,28
1,300,uniform,2,3,341
2,300,uniform,2,3,290
3,300,uniform,2,3,131
4,300,uniform,2,3,392
1,50,normal,2,3,536
2,50,normal,2,3,420
3,50,normal,2,3,443
4,50,normal,2,3,388
1,100,normal,2,3,123
2,100,normal,2,3,320
3,100,normal,2,3,297
4,100,normal,2,3,468
1,300,normal,2,3,306
2,300,normal,2,3,227
3,300,normal,2,3,143
4,300,normal,2,3,521
1,50,lognormal,2,3,498
2,50,lognormal,2,3,148
3,50,lognormal,2,3,426
4,50,lognormal,2,3,334
1,100,lognormal,2,3,173
2,100,lognormal,2,3,431
3,100,lognormal,2,3,551
4,100,lognormal,2,3,104
1,300,lognormal,2,3,262
2,300,lognormal,2,3,87
3,300,lognormal,2,3,407
4,300,lognormal,2,3,162
1,50,even_discrete,2,3,427
