subject,lineup_id,shape,n,x_dist,e_sigma,rep
17,442,3,50,lognormal,0.5,3
18,269,4,50,uniform,1,1
19,348,2,50,normal,1,1
20,15,2,300,uniform,2,2
21,536,1,50,normal,2,3
22,326,3,50,even_discrete,0.5,2
23,222,4,50,even_discrete,1,1
24,231,1,300,uniform,4,2
25,47,4,100,lognormal,2,1
26,187,2,50,lognormal,2,2
27,454,2,100,normal,0.5,3
28,42,4,50,uniform,1,2
29,43,3,50,normal,4,3
30,4,4,100,uniform,0.5,3
31,176,2,100,normal,1,1
32,526,1,300,lognormal,2,2
33,273,3,100,lognormal,2,1
34,486,3,50,normal,4,1
35,502,3,100,uniform,4,2
36,526,1,300,lognormal,2,2
37,410,1,300,even_discrete,2,3
38,448,3,300,even_discrete,2,1
39,478,1,100,normal,4,2
40,458,1,300,normal,4,2
41,32,3,300,even_discrete,0.5,2
42,249,1,300,lognormal,2,1
43,280,2,50,lognormal,4,3
44,74,1,50,even_discrete,0.5,2
45,10,4,300,even_discrete,1,1
46,266,4,300,even_discrete,4,3
47,46,2,100,even_discrete,4,3
48,519,3,100,even_discrete,4,2
49,205,1,100,even_discrete,4,3
50,17,3,300,lognormal,2,2
51,72,1,300,even_discrete,0.5,2
52,264,1,100,normal,2,1
53,545,2,300,normal,0.5,3
54,260,4,50,normal,1,2
55,473,4,300,normal,4,3
56,405,2,50,even_discrete,2,1
57,311,4,50,lognormal,0.5,3
58,443,3,50,normal,2,3
59,519,3,100,even_discrete,4,2
60,161,4,100,uniform,4,3
61,521,4,300,normal,2,3
62,389,4,300,even_discrete,0.5,3
63,18,4,300,normal,2,2
64,143,3,300,normal,2,3
65,178,2,100,even_discrete,0.5,1
66,563,4,100,normal,4,2
67,444,2,100,lognormal,2,1
68,160,3,300,even_discrete,1,1
69,197,4,100,lognormal,4,1
70,131,3,300,uniform,2,3
71,273,3,100,lognormal,2,1
72,246,2,100,even_discrete,0.5,2
73,468,4,100,normal,2,3
74,270,3,50,uniform,0.5,1
75,452,1,100,even_discrete,0.5,2
76,22,4,100,even_discrete,4,2
77,132,4,100,uniform,4,1
78,54,3,50,even_discrete,0.5,3
79,445,4,50,normal,0.5,3
80,199,2,50,uniform,0.5,1
81,251,4,50,uniform,0.5,1
82,59,2,50,even_discrete,4,1
83,303,1,50,even_discrete,4,1
84,84,2,50,uniform,0.5,3
85,305,3,300,even_discrete,0.5,3
86,123,1,100,normal,2,3
87,393,2,300,lognormal,1,3
88,254,1,300,normal,2,1
89,25,2,300,normal,2,1
90,404,2,300,uniform,1,3
91,234,4,300,even_discrete,2,2
92,203,2,50,lognormal,1,2
93,507,3,300,normal,4,3
94,525,2,100,uniform,4,1
95,259,3,50,lognormal,2,2
96,151,4,100,even_discrete,1,3
97,551,3,100,lognormal,2,3
98,540,4,100,lognormal,0.5,2
99,228,4,300,even_discrete,4,2
100,394,3,100,even_discrete,4,1
101,519,3,100,even_discrete,4,2
102,169,2,50,normal,0.5,2
103,102,2,100,even_discrete,1,3
104,575,4,100,even_discrete,0.5,1
105,446,4,50,even_discrete,4,3
106,370,1,50,uniform,0.5,1
107,320,2,100,normal,2,3
108,426,3,50,lognormal,2,3
109,416,4,50,lognormal,4,2
110,465,2,100,uniform,4,3
111,25,2,300,normal,2,1
112,509,2,300,uniform,4,1
113,288,3,50,lognormal,0.5,2
114,311,4,50,lognormal,0.5,3
115,269,4,50,uniform,1,1
116,467,2,100,even_discrete,4,2
117,126,3,100,normal,0.5,3
118,182,2,50,even_discrete,2,3
119,95,4,50,lognormal,1,2
120,205,1,100,even_discrete,4,3
121,37,3,100,normal,0.5,1
122,492,2,300,even_discrete,4,3
123,528,4,300,uniform,4,2
124,422,2,300,uniform,1,2
125,482,4,100,lognormal,2,2
126,83,3,100,uniform,0.5,2
127,221,3,100,uniform,1,1
128,439,3,50,normal,1,2
129,226,4,300,normal,0.5,3
130,331,3,50,normal,0.5,3
131,71,4,100,even_discrete,4,3
132,327,4,300,normal,1,1
133,375,1,50,even_discrete,0.5,1
134,11,1,100,normal,1,2
135,549,1,300,lognormal,0.5,1
136,555,3,50,normal,2,1
137,549,1,300,lognormal,0.5,1
138,321,1,100,uniform,2,3
139,320,2,100,normal,2,3
140,332,1,50,normal,1,3
141,526,1,300,lognormal,2,2
142,556,4,300,uniform,1,3
143,293,3,300,normal,1,1
144,336,1,50,lognormal,0.5,2
145,103,1,50,even_discrete,1,2
146,190,4,300,lognormal,2,1
147,470,3,300,normal,0.5,2
148,397,4,50,normal,0.5,2
149,535,3,50,uniform,1,2
150,88,3,100,uniform,2,3
151,432,2,300,uniform,4,3
152,478,1,100,normal,4,2
153,180,1,300,normal,0.5,3
154,384,4,100,even_discrete,1,2
155,16,3,50,normal,2,2
156,440,4,300,even_discrete,2,1
157,574,1,300,uniform,1,1
158,385,3,100,normal,4,3
159,322,3,50,uniform,0.5,3
160,141,3,300,uniform,2,2
1,64,3,300,even_discrete,1,2
2,521,4,300,normal,2,3
3,371,2,100,uniform,2,1
4,142,4,100,uniform,1,3
5,33,3,50,even_discrete,4,2
6,100,1,100,even_discrete,1,3
7,244,2,50,even_discrete,4,3
8,444,2,100,lognormal,2,1
9,507,3,300,normal,4,3
10,160,3,300,even_discrete,1,1
11,471,4,50,even_discrete,0.5,3
12,56,1,50,lognormal,4,2
13,156,4,100,even_discrete,2,2
14,224,3,300,lognormal,2,1
15,103,1,50,even_discrete,1,2
16,125,4,100,normal,2,2
17,117,1,300,normal,2,2
18,558,1,300,even_discrete,1,1
19,483,1,50,uniform,2,3
20,89,2,100,normal,4,2
21,411,2,300,lognormal,2,1
22,260,4,50,normal,1,2
23,484,1,50,normal,0.5,1
24,9,1,50,even_discrete,1,1
25,77,3,100,even_discrete,1,3
26,387,2,100,uniform,0.5,3
27,138,3,300,lognormal,4,2
28,331,3,50,normal,0.5,3
29,255,2,300,even_discrete,0.5,2
30,438,2,50,lognormal,4,1
31,561,1,100,lognormal,0.5,1
32,226,4,300,normal,0.5,3
33,571,1,300,lognormal,4,3
34,117,1,300,normal,2,2
35,64,3,300,even_discrete,1,2
36,113,3,50,uniform,2,3
37,509,2,300,uniform,4,1
38,349,4,300,normal,4,1
39,163,2,100,uniform,2,3
40,423,3,300,even_discrete,2,2
41,209,1,300,lognormal,1,1
42,244,2,50,even_discrete,4,3
43,484,1,50,normal,0.5,1
44,369,2,300,lognormal,4,2
45,429,3,300,normal,4,1
46,135,2,300,normal,1,3
47,239,3,100,normal,0.5,2
48,28,4,100,uniform,2,3
49,76,2,300,normal,0.5,1
50,337,2,50,normal,2,2
51,264,1,100,normal,2,1
52,23,3,300,normal,0.5,1
53,427,1,50,even_discrete,2,3
54,442,3,50,lognormal,0.5,3
55,417,2,50,lognormal,2,1
56,488,1,50,lognormal,1,2
57,291,3,300,normal,1,2
58,457,1,100,lognormal,0.5,3
59,537,4,300,uniform,0.5,3
60,69,1,300,lognormal,4,2
61,280,2,50,lognormal,4,3
62,407,3,300,lognormal,2,3
63,356,3,50,lognormal,1,1
64,494,2,100,normal,0.5,1
65,184,3,100,lognormal,4,3
66,134,2,300,even_discrete,2,2
67,310,3,100,even_discrete,4,3
68,427,1,50,even_discrete,2,3
69,374,4,300,even_discrete,1,2
70,347,2,50,lognormal,0.5,3
71,456,1,100,even_discrete,1,1
72,94,3,300,even_discrete,4,2
73,450,3,50,uniform,4,2
74,532,1,300,even_discrete,2,2
75,247,1,50,uniform,4,1
76,36,1,100,lognormal,2,1
77,539,1,300,even_discrete,1,2
78,139,2,300,normal,1,1
79,424,3,300,even_discrete,4,1
80,568,1,100,even_discrete,1,2
81,46,2,100,even_discrete,4,3
82,111,1,100,lognormal,1,1
83,113,3,50,uniform,2,3
84,72,1,300,even_discrete,0.5,2
85,323,2,50,normal,0.5,1
86,71,4,100,even_discrete,4,3
87,41,4,100,uniform,0.5,2
88,437,2,100,lognormal,1,2
89,177,2,100,even_discrete,4,1
90,43,3,50,normal,4,3
91,145,1,100,even_discrete,4,2
92,343,3,300,uniform,0.5,2
93,87,2,300,lognormal,2,3
94,126,3,100,normal,0.5,3
95,564,4,50,normal,0.5,1
96,58,1,100,lognormal,4,2
97,22,4,100,even_discrete,4,2
98,568,1,100,even_discrete,1,2
99,149,3,100,even_discrete,2,3
100,296,1,50,normal,0.5,2
101,383,2,300,normal,1,2
102,426,3,50,lognormal,2,3
103,105,4,100,normal,0.5,3
104,347,2,50,lognormal,0.5,3
105,535,3,50,uniform,1,2
106,49,1,300,normal,4,3
107,19,3,300,lognormal,4,3
108,446,4,50,even_discrete,4,3
109,102,2,100,even_discrete,1,3
110,323,2,50,normal,0.5,1
111,83,3,100,uniform,0.5,2
112,512,4,50,uniform,0.5,3
113,295,1,50,uniform,4,2
114,458,1,300,normal,4,2
115,400,3,50,even_discrete,0.5,1
116,390,1,50,uniform,1,2
117,220,3,300,lognormal,1,3
118,209,1,300,lognormal,1,1
119,435,3,100,lognormal,4,1
120,567,4,50,uniform,1,3
121,276,1,300,uniform,2,2
122,553,4,100,even_discrete,0.5,2
123,257,1,50,normal,0.5,3
124,287,4,100,lognormal,0.5,3
125,199,2,50,uniform,0.5,1
126,171,4,50,even_discrete,2,2
127,348,2,50,normal,1,1
128,35,4,300,lognormal,1,3
129,329,1,300,uniform,1,2
130,295,1,50,uniform,4,2
131,507,3,300,normal,4,3
132,30,1,50,even_discrete,4,2
133,478,1,100,normal,4,2
134,573,2,100,uniform,0.5,2
135,326,3,50,even_discrete,0.5,2
136,152,1,100,normal,4,1
137,348,2,50,normal,1,1
138,497,1,50,even_discrete,4,3
139,22,4,100,even_discrete,4,2
140,50,2,100,lognormal,1,3
141,186,2,50,uniform,4,1
142,305,3,300,even_discrete,0.5,3
143,44,1,300,even_discrete,4,1
144,142,4,100,uniform,1,3
145,273,3,100,lognormal,2,1
146,152,1,100,normal,4,1
147,222,4,50,even_discrete,1,1
148,565,2,50,uniform,1,3
149,530,1,300,normal,0.5,2
150,410,1,300,even_discrete,2,3
151,114,1,100,normal,4,3
152,47,4,100,lognormal,2,1
153,103,1,50,even_discrete,1,2
154,459,3,50,lognormal,4,3
155,455,1,50,uniform,1,1
156,110,2,300,uniform,0.5,1
157,414,2,300,even_discrete,0.5,3
158,128,1,300,lognormal,0.5,3
159,53,1,50,lognormal,4,1
160,289,2,300,even_discrete,1,3
1,113,3,50,uniform,2,3
2,347,2,50,lognormal,0.5,3
3,98,4,50,uniform,4,2
4,293,3,300,normal,1,1
5,407,3,300,lognormal,2,3
6,227,2,300,normal,2,3
7,322,3,50,uniform,0.5,3
8,401,4,300,even_discrete,1,3
9,333,4,50,lognormal,0.5,1
10,366,1,100,normal,1,1
11,518,3,50,uniform,4,1
12,397,4,50,normal,0.5,2
13,30,1,50,even_discrete,4,2
14,329,1,300,uniform,1,2
15,397,4,50,normal,0.5,2
16,547,2,50,normal,4,3
17,303,1,50,even_discrete,4,1
18,367,2,50,normal,2,1
19,391,4,50,even_discrete,4,1
20,378,3,100,even_discrete,0.5,3
21,44,1,300,even_discrete,4,1
22,109,1,100,lognormal,2,2
23,417,2,50,lognormal,2,1
24,124,4,300,lognormal,0.5,3
25,134,2,300,even_discrete,2,2
26,81,4,50,even_discrete,1,3
27,569,4,300,normal,2,1
28,568,1,100,even_discrete,1,2
29,281,3,50,even_discrete,2,1
30,265,1,100,normal,0.5,2
31,558,1,300,even_discrete,1,1
32,161,4,100,uniform,4,3
33,389,4,300,even_discrete,0.5,3
34,217,2,300,uniform,1,1
35,267,4,300,normal,4,2
36,317,2,50,even_discrete,0.5,2
37,165,4,300,normal,1,3
38,419,4,100,normal,1,1
39,379,1,300,uniform,0.5,2
40,248,2,50,even_discrete,1,3
41,453,4,300,uniform,2,1
42,374,4,300,even_discrete,1,2
43,365,4,300,uniform,0.5,2
44,423,3,300,even_discrete,2,2
45,451,2,100,normal,2,1
46,502,3,100,uniform,4,2
47,346,4,50,normal,2,1
48,288,3,50,lognormal,0.5,2
49,566,3,100,normal,2,2
50,314,1,300,normal,4,1
51,14,2,300,uniform,2,1
52,464,2,100,lognormal,1,1
53,359,1,300,lognormal,4,1
54,461,2,100,normal,1,2
55,168,2,300,even_discrete,1,1
56,384,4,100,even_discrete,1,2
57,225,2,300,lognormal,4,1
58,214,4,50,lognormal,1,3
59,395,2,100,uniform,1,3
60,172,1,100,normal,0.5,3
61,393,2,300,lognormal,1,3
62,292,2,300,normal,4,2
63,427,1,50,even_discrete,2,3
64,528,4,300,uniform,4,2
65,264,1,100,normal,2,1
66,464,2,100,lognormal,1,1
67,442,3,50,lognormal,0.5,3
68,331,3,50,normal,0.5,3
69,395,2,100,uniform,1,3
70,265,1,100,normal,0.5,2
71,216,3,300,uniform,1,3
72,482,4,100,lognormal,2,2
73,201,3,100,even_discrete,1,2
74,81,4,50,even_discrete,1,3
75,229,2,50,normal,0.5,3
76,239,3,100,normal,0.5,2
77,349,4,300,normal,4,1
78,354,3,300,uniform,4,3
79,113,3,50,uniform,2,3
80,314,1,300,normal,4,1
81,439,3,50,normal,1,2
82,169,2,50,normal,0.5,2
83,173,1,100,lognormal,2,3
84,528,4,300,uniform,4,2
85,14,2,300,uniform,2,1
86,344,1,50,even_discrete,1,3
87,266,4,300,even_discrete,4,3
88,189,3,300,lognormal,0.5,3
89,275,4,100,normal,0.5,2
90,338,3,300,even_discrete,2,3
91,217,2,300,uniform,1,1
92,476,3,50,even_discrete,2,3
93,484,1,50,normal,0.5,1
94,150,4,300,lognormal,0.5,2
95,299,2,100,lognormal,0.5,3
96,371,2,100,uniform,2,1
97,99,1,50,even_discrete,0.5,3
98,89,2,100,normal,4,2
99,313,4,100,lognormal,1,3
100,52,4,100,uniform,0.5,1
101,272,4,100,normal,2,1
102,68,3,300,normal,1,3
103,458,1,300,normal,4,2
104,236,2,100,uniform,2,2
105,85,1,300,uniform,2,1
106,372,2,50,lognormal,1,1
107,161,4,100,uniform,4,3
108,93,2,300,normal,4,1
109,331,3,50,normal,0.5,3
110,27,3,50,even_discrete,4,1
111,478,1,100,normal,4,2
112,101,1,300,even_discrete,0.5,1
113,422,2,300,uniform,1,2
114,82,2,300,lognormal,1,1
115,19,3,300,lognormal,4,3
116,326,3,50,even_discrete,0.5,2
117,134,2,300,even_discrete,2,2
118,484,1,50,normal,0.5,1
119,183,1,50,uniform,2,2
120,120,1,300,uniform,0.5,1
121,531,1,100,lognormal,1,2
122,146,2,100,lognormal,2,2
123,441,3,50,uniform,2,2
124,178,2,100,even_discrete,0.5,1
125,185,1,100,uniform,4,3
126,145,1,100,even_discrete,4,2
127,251,4,50,uniform,0.5,1
128,108,2,50,uniform,4,3
129,58,1,100,lognormal,4,2
130,125,4,100,normal,2,2
131,447,1,100,uniform,0.5,1
132,334,4,50,lognormal,2,3
133,273,3,100,lognormal,2,1
134,538,2,300,even_discrete,2,1
135,522,2,300,even_discrete,1,2
136,409,3,100,lognormal,1,1
137,143,3,300,normal,2,3
138,434,3,100,lognormal,0.5,3
139,101,1,300,even_discrete,0.5,1
140,514,3,100,normal,2,1
141,259,3,50,lognormal,2,2
142,501,1,50,normal,1,2
143,442,3,50,lognormal,0.5,3
144,424,3,300,even_discrete,4,1
145,167,4,50,uniform,2,3
146,236,2,100,uniform,2,2
147,336,1,50,lognormal,0.5,2
148,146,2,100,lognormal,2,2
149,497,1,50,even_discrete,4,3
150,110,2,300,uniform,0.5,1
151,434,3,100,lognormal,0.5,3
152,500,4,300,even_discrete,0.5,2
153,307,4,50,normal,2,2
154,405,2,50,even_discrete,2,1
155,135,2,300,normal,1,3
156,7,4,50,normal,4,2
157,340,3,50,lognormal,2,1
158,509,2,300,uniform,4,1
159,297,3,100,normal,2,3
160,98,4,50,uniform,4,2
1,465,2,100,uniform,4,3
2,553,4,100,even_discrete,0.5,2
3,312,1,50,lognormal,1,1
4,369,2,300,lognormal,4,2
5,420,2,50,normal,2,3
6,350,1,300,uniform,0.5,3
7,362,4,50,lognormal,2,2
8,493,3,300,normal,2,2
9,113,3,50,uniform,2,3
10,280,2,50,lognormal,4,3
11,468,4,100,normal,2,3
12,451,2,100,normal,2,1
13,169,2,50,normal,0.5,2
14,353,1,100,lognormal,4,3
15,441,3,50,uniform,2,2
16,576,1,100,even_discrete,0.5,1
17,472,2,50,uniform,2,2
18,226,4,300,normal,0.5,3
19,172,1,100,normal,0.5,3
20,534,3,300,lognormal,1,2
21,81,4,50,even_discrete,1,3
22,76,2,300,normal,0.5,1
23,144,1,100,uniform,1,2
24,199,2,50,uniform,0.5,1
25,343,3,300,uniform,0.5,2
26,250,3,100,even_discrete,2,1
27,250,3,100,even_discrete,2,1
28,302,2,50,even_discrete,2,2
29,325,2,100,normal,1,3
30,535,3,50,uniform,1,2
31,328,3,300,lognormal,4,1
32,38,2,100,normal,2,2
33,132,4,100,uniform,4,1
34,488,1,50,lognormal,1,2
35,38,2,100,normal,2,2
36,509,2,300,uniform,4,1
37,50,2,100,lognormal,1,3
38,371,2,100,uniform,2,1
39,323,2,50,normal,0.5,1
40,351,3,50,lognormal,4,1
41,90,3,100,normal,1,1
42,345,2,300,normal,0.5,2
43,112,4,50,even_discrete,1,2
44,214,4,50,lognormal,1,3
45,158,4,100,uniform,4,2
46,21,3,50,even_discrete,1,3
47,57,4,50,lognormal,4,1
48,182,2,50,even_discrete,2,3
49,399,4,100,lognormal,0.5,1
50,535,3,50,uniform,1,2
51,559,4,100,even_discrete,1,1
52,363,4,300,lognormal,4,2
53,311,4,50,lognormal,0.5,3
54,528,4,300,uniform,4,2
55,501,1,50,normal,1,2
56,124,4,300,lognormal,0.5,3
57,303,1,50,even_discrete,4,1
58,247,1,50,uniform,4,1
59,291,3,300,normal,1,2
60,192,3,300,normal,2,1
61,449,3,300,even_discrete,0.5,1
62,342,4,100,uniform,2,2
63,571,1,300,lognormal,4,3
64,6,1,100,uniform,1,1
65,432,2,300,uniform,4,3
66,365,4,300,uniform,0.5,2
67,483,1,50,uniform,2,3
68,280,2,50,lognormal,4,3
69,249,1,300,lognormal,2,1
70,92,2,100,even_discrete,1,2
71,572,2,100,normal,4,1
72,107,1,300,lognormal,1,3
73,335,2,50,normal,1,3
74,124,4,300,lognormal,0.5,3
75,468,4,100,normal,2,3
76,344,1,50,even_discrete,1,3
77,469,2,50,uniform,1,1
78,417,2,50,lognormal,2,1
79,20,2,50,even_discrete,1,2
80,189,3,300,lognormal,0.5,3
81,549,1,300,lognormal,0.5,1
82,327,4,300,normal,1,1
83,335,2,50,normal,1,3
84,346,4,50,normal,2,1
85,119,1,50,uniform,4,3
86,280,2,50,lognormal,4,3
87,541,1,100,lognormal,4,1
88,5,1,100,uniform,0.5,2
89,571,1,300,lognormal,4,3
90,137,2,50,lognormal,0.5,1
91,360,3,100,uniform,0.5,3
92,539,1,300,even_discrete,1,2
93,95,4,50,lognormal,1,2
94,44,1,300,even_discrete,4,1
95,130,4,100,even_discrete,4,1
96,200,1,50,uniform,0.5,2
97,14,2,300,uniform,2,1
98,469,2,50,uniform,1,1
99,341,1,300,uniform,2,3
100,319,4,300,normal,1,2
101,258,4,300,lognormal,4,1
102,549,1,300,lognormal,0.5,1
103,338,3,300,even_discrete,2,3
104,318,3,50,uniform,1,3
105,138,3,300,lognormal,4,2
106,556,4,300,uniform,1,3
107,319,4,300,normal,1,2
108,276,1,300,uniform,2,2
109,147,1,300,lognormal,0.5,2
110,100,1,100,even_discrete,1,3
111,147,1,300,lognormal,0.5,2
112,372,2,50,lognormal,1,1
113,190,4,300,lognormal,2,1
114,32,3,300,even_discrete,0.5,2
115,561,1,100,lognormal,0.5,1
116,57,4,50,lognormal,4,1
117,379,1,300,uniform,0.5,2
118,500,4,300,even_discrete,0.5,2
119,207,2,50,normal,4,1
120,59,2,50,even_discrete,4,1
121,383,2,300,normal,1,2
122,191,3,100,uniform,1,2
123,532,1,300,even_discrete,2,2
124,240,3,50,normal,0.5,2
125,554,1,50,even_discrete,2,2
126,146,2,100,lognormal,2,2
127,12,2,100,even_discrete,2,3
128,76,2,300,normal,0.5,1
129,87,2,300,lognormal,2,3
130,396,2,100,uniform,1,1
131,453,4,300,uniform,2,1
132,514,3,100,normal,2,1
133,4,4,100,uniform,0.5,3
134,482,4,100,lognormal,2,2
135,247,1,50,uniform,4,1
136,81,4,50,even_discrete,1,3
137,554,1,50,even_discrete,2,2
138,324,3,50,normal,1,3
139,68,3,300,normal,1,3
140,59,2,50,even_discrete,4,1
141,24,3,300,uniform,1,2
142,93,2,300,normal,4,1
143,547,2,50,normal,4,3
144,576,1,100,even_discrete,0.5,1
145,116,2,50,lognormal,0.5,2
146,574,1,300,uniform,1,1
147,217,2,300,uniform,1,1
148,90,3,100,normal,1,1
149,367,2,50,normal,2,1
150,479,1,100,normal,1,3
151,107,1,300,lognormal,1,3
152,329,1,300,uniform,1,2
153,115,3,300,lognormal,1,1
154,297,3,100,normal,2,3
155,234,4,300,even_discrete,2,2
156,203,2,50,lognormal,1,2
157,313,4,100,lognormal,1,3
158,245,1,100,uniform,2,1
159,171,4,50,even_discrete,2,2
160,99,1,50,even_discrete,0.5,3
1,306,1,300,normal,2,3
2,40,1,50,normal,4,3
3,152,1,100,normal,4,1
4,430,3,100,lognormal,0.5,2
5,543,4,300,normal,0.5,2
6,424,3,300,even_discrete,4,1
7,101,1,300,even_discrete,0.5,1
8,370,1,50,uniform,0.5,1
9,10,4,300,even_discrete,1,1
10,387,2,100,uniform,0.5,3
11,477,1,50,lognormal,2,2
12,65,3,100,lognormal,1,2
13,441,3,50,uniform,2,2
14,381,4,300,normal,0.5,1
15,154,4,300,uniform,4,1
16,333,4,50,lognormal,0.5,1
17,389,4,300,even_discrete,0.5,3
18,224,3,300,lognormal,2,1
19,153,4,100,lognormal,1,1
20,144,1,100,uniform,1,2
21,24,3,300,uniform,1,2
22,191,3,100,uniform,1,2
23,514,3,100,normal,2,1
24,291,3,300,normal,1,2
25,265,1,100,normal,0.5,2
26,119,1,50,uniform,4,3
27,422,2,300,uniform,1,2
28,563,4,100,normal,4,2
29,5,1,100,uniform,0.5,2
30,569,4,300,normal,2,1
31,521,4,300,normal,2,3
32,460,3,300,even_discrete,4,3
33,293,3,300,normal,1,1
34,352,4,300,even_discrete,4,1
35,452,1,100,even_discrete,0.5,2
36,381,4,300,normal,0.5,1
37,88,3,100,uniform,2,3
38,382,3,50,lognormal,1,3
39,378,3,100,even_discrete,0.5,3
40,355,4,300,uniform,1,2
41,197,4,100,lognormal,4,1
42,455,1,50,uniform,1,1
43,94,3,300,even_discrete,4,2
44,166,2,50,uniform,2,3
45,200,1,50,uniform,0.5,2
46,276,1,300,uniform,2,2
47,532,1,300,even_discrete,2,2
48,386,1,100,normal,0.5,1
49,309,3,300,uniform,4,1
50,375,1,50,even_discrete,0.5,1
51,357,3,100,uniform,4,3
52,300,1,300,uniform,1,3
53,131,3,300,uniform,2,3
54,414,2,300,even_discrete,0.5,3
55,368,3,300,lognormal,0.5,1
56,240,3,50,normal,0.5,2
57,485,2,100,even_discrete,0.5,3
58,517,3,100,even_discrete,1,1
59,410,1,300,even_discrete,2,3
60,422,2,300,uniform,1,2
61,502,3,100,uniform,4,2
62,50,2,100,lognormal,1,3
63,404,2,300,uniform,1,3
64,47,4,100,lognormal,2,1
65,80,4,300,even_discrete,2,3
66,489,1,100,even_discrete,0.5,3
67,11,1,100,normal,1,2
68,150,4,300,lognormal,0.5,2
69,339,3,300,uniform,0.5,1
70,319,4,300,normal,1,2
71,98,4,50,uniform,4,2
72,213,2,300,normal,2,2
73,330,1,100,uniform,0.5,3
74,432,2,300,uniform,4,3
75,191,3,100,uniform,1,2
76,420,2,50,normal,2,3
77,264,1,100,normal,2,1
78,269,4,50,uniform,1,1
79,306,1,300,normal,2,3
80,33,3,50,even_discrete,4,2
81,234,4,300,even_discrete,2,2
82,483,1,50,uniform,2,3
83,559,4,100,even_discrete,1,1
84,312,1,50,lognormal,1,1
85,112,4,50,even_discrete,1,2
86,544,2,100,uniform,0.5,1
87,38,2,100,normal,2,2
88,490,4,100,even_discrete,2,1
89,51,3,300,uniform,0.5,3
90,344,1,50,even_discrete,1,3
91,507,3,300,normal,4,3
92,564,4,50,normal,0.5,1
93,476,3,50,even_discrete,2,3
94,383,2,300,normal,1,2
95,9,1,50,even_discrete,1,1
96,27,3,50,even_discrete,4,1
97,286,3,50,uniform,1,1
98,240,3,50,normal,0.5,2
99,139,2,300,normal,1,1
100,297,3,100,normal,2,3
101,433,1,300,even_discrete,0.5,3
102,188,1,100,even_discrete,2,3
103,36,1,100,lognormal,2,1
104,30,1,50,even_discrete,4,2
105,523,2,300,even_discrete,0.5,1
106,538,2,300,even_discrete,2,1
107,174,1,300,even_discrete,2,1
108,565,2,50,uniform,1,3
109,556,4,300,uniform,1,3
110,125,4,100,normal,2,2
111,156,4,100,even_discrete,2,2
112,68,3,300,normal,1,3
113,420,2,50,normal,2,3
114,443,3,50,normal,2,3
115,380,1,300,normal,1,2
116,398,3,100,normal,1,2
117,104,4,100,lognormal,2,3
118,499,2,300,uniform,4,2
119,156,4,100,even_discrete,2,2
120,88,3,100,uniform,2,3
121,459,3,50,lognormal,4,3
122,341,1,300,uniform,2,3
123,214,4,50,lognormal,1,3
124,497,1,50,even_discrete,4,3
125,126,3,100,normal,0.5,3
126,574,1,300,uniform,1,1
127,30,1,50,even_discrete,4,2
128,171,4,50,even_discrete,2,2
129,90,3,100,normal,1,1
130,576,1,100,even_discrete,0.5,1
131,179,2,300,lognormal,0.5,1
132,256,2,100,uniform,1,2
133,318,3,50,uniform,1,3
134,216,3,300,uniform,1,3
135,377,4,100,normal,1,3
136,186,2,50,uniform,4,1
137,499,2,300,uniform,4,2
138,232,4,50,uniform,0.5,2
139,83,3,100,uniform,0.5,2
140,575,4,100,even_discrete,0.5,1
141,130,4,100,even_discrete,4,1
142,137,2,50,lognormal,0.5,1
143,275,4,100,normal,0.5,2
144,411,2,300,lognormal,2,1
145,176,2,100,normal,1,1
146,553,4,100,even_discrete,0.5,2
147,503,4,300,lognormal,2,2
148,130,4,100,even_discrete,4,1
149,528,4,300,uniform,4,2
150,267,4,300,normal,4,2
151,389,4,300,even_discrete,0.5,3
152,544,2,100,uniform,0.5,1
153,14,2,300,uniform,2,1
154,251,4,50,uniform,0.5,1
155,79,1,100,even_discrete,4,1
156,74,1,50,even_discrete,0.5,2
157,480,1,100,even_discrete,2,1
158,524,4,100,even_discrete,0.5,3
159,100,1,100,even_discrete,1,3
160,439,3,50,normal,1,2
1,203,2,50,lognormal,1,2
2,551,3,100,lognormal,2,3
3,381,4,300,normal,0.5,1
4,257,1,50,normal,0.5,3
5,274,2,100,lognormal,4,3
6,42,4,50,uniform,1,2
7,151,4,100,even_discrete,1,3
8,416,4,50,lognormal,4,2
9,544,2,100,uniform,0.5,1
10,267,4,300,normal,4,2
11,329,1,300,uniform,1,2
12,408,2,300,lognormal,0.5,3
13,300,1,300,uniform,1,3
14,199,2,50,uniform,0.5,1
15,394,3,100,even_discrete,4,1
16,407,3,300,lognormal,2,3
17,563,4,100,normal,4,2
18,541,1,100,lognormal,4,1
19,138,3,300,lognormal,4,2
20,397,4,50,normal,0.5,2
21,516,4,100,lognormal,4,3
22,440,4,300,even_discrete,2,1
23,194,3,300,lognormal,0.5,2
24,130,4,100,even_discrete,4,1
25,116,2,50,lognormal,0.5,2
26,19,3,300,lognormal,4,3
27,206,4,50,lognormal,0.5,2
28,115,3,300,lognormal,1,1
29,513,3,300,uniform,4,2
30,92,2,100,even_discrete,1,2
31,54,3,50,even_discrete,0.5,3
32,438,2,50,lognormal,4,1
33,370,1,50,uniform,0.5,1
34,297,3,100,normal,2,3
35,91,4,50,even_discrete,2,1
36,490,4,100,even_discrete,2,1
37,21,3,50,even_discrete,1,3
