a,b,c,x_dist,x_mu,x_n,x_sigma,z_discrete,z_discrete_dist,z_n,e_dist,e_df,e_sigma,n,model,statistics,pvalue,effect_size,answer
0,3.173035129904747,NA,normal,0,20,0.3,FALSE,NA,NA,NA,NA,NA,100,heter,14.5252482463336,7.012654122142122e-4,31.73035129904747,TRUE
-1,27.455947138369083,NA,uniform,0,16,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,28.509024276220842,6.446797609407563e-7,194.14286405440163,TRUE
0,30.08756284415722,NA,uniform,0,17,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,39.520242242562574,2.6199224436252724e-9,521.1318752200186,TRUE
-1,21.886378586292267,NA,neglognormal,0,19,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,0.1255224745426786,0.9391676851605757,154.76006713983307,FALSE
-1,21.680148519575596,NA,lognormal,0,15,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,141.54135905186334,1.839434811705181e-31,375.5111875154411,TRUE
0,2.2170610949397087,NA,lognormal,0,20,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,15.01157375687755,5.49892981127645e-4,38.40062459919862,TRUE
-1,14.127629891037941,NA,discrete_uniform,0,14,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,67.83541300932902,1.86091795513125e-15,244.6977276180648,TRUE
1,8.370951473712921,NA,normal,0,14,0.3,FALSE,NA,NA,NA,NA,NA,100,heter,13.759888966306738,0.0010282011260744615,83.70951473712921,TRUE
1,22.522334821522236,NA,lognormal,0,20,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,7.8002074810112125,0.02023981164859546,159.25695680452284,TRUE
1,19.013139829039574,NA,uniform,0,11,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,16.183902586206486,3.0599209395218213e-4,134.44320104761917,TRUE
-1,4.905316092073917,NA,uniform,0,12,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,17.446122042021155,1.6278812960789942e-4,49.053160920739174,TRUE
0,27.82738073915243,NA,uniform,0,14,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,19.542733963064016,5.7062295606889366e-5,278.2738073915243,TRUE
-1,30.408432826399803,NA,normal,0,10,0.3,FALSE,NA,NA,NA,NA,NA,300,heter,21.517091873434808,2.1262918099808618e-5,526.6895063386975,TRUE
1,11.143929041922092,NA,discrete_uniform,0,15,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,13.909158699796864,9.542552640778696e-4,78.79947794604817,FALSE
-1,11.522441916167736,NA,lognormal,0,20,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,22.087234314668716,1.598887872112299e-5,199.57454826063812,FALSE
0,31.838253885507584,NA,discrete_uniform,0,19,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,11.782536244391316,0.002763470056244985,318.38253885507584,FALSE
-1,17.14240115135908,NA,neglognormal,0,10,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,0.7903885832542761,0.6735491615725017,121.21508099946087,FALSE
0,16.52795299142599,NA,normal,0,15,0.3,FALSE,NA,NA,NA,NA,NA,100,heter,33.198079741735086,6.181993999598532e-8,165.2795299142599,TRUE
1,20.60927005112171,NA,normal,0,19,0.3,FALSE,NA,NA,NA,NA,NA,50,heter,22.873121900248638,1.079355943723913e-5,145.7295460845299,TRUE
-1,6.591778255999088,NA,neglognormal,0,15,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,7.974826753264669,0.018547627853333692,114.17294851618188,TRUE
0,30.890546716749668,NA,neglognormal,0,17,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,10.07062384941059,0.006504168989327123,308.9054671674967,TRUE
0,19.760188847780228,NA,normal,0,18,0.3,FALSE,NA,NA,NA,NA,NA,300,heter,66.95375834952,2.8918522684236522e-15,342.2565105151127,TRUE
1,29.681474670767784,NA,uniform,0,13,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,17.156236372636386,1.881787617923686e-4,296.81474670767784,TRUE
-1,2.841724418103695,NA,neglognormal,0,12,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,0.7732583246182138,0.679342974200463,20.094026063045185,FALSE
1,20.368559546768665,NA,normal,0,10,0.3,FALSE,NA,NA,NA,NA,NA,300,heter,48.11120677025319,3.570953467300653e-11,352.79380011995437,TRUE
1,28.988147921860218,NA,uniform,0,18,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,69.15519402270095,9.619232468873608e-16,502.0894501798407,TRUE
0,27.022975862026215,NA,uniform,0,16,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,56.05643435329561,6.722022202613619e-13,468.05167164736787,TRUE
0,6.573258265852928,NA,uniform,0,12,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,3.6100635936751346,0.16446922689271928,46.47995494275131,FALSE
0,20.307848624885082,NA,discrete_uniform,0,16,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,5.033526854447117,0.08072044200078167,143.59817473966146,TRUE
0,4.202732972800732,NA,neglognormal,0,19,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,13.152242981925221,0.0013932425329691083,42.02732972800732,FALSE
-1,31.21211963146925,NA,neglognormal,0,10,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,1.3828957091221468,0.5008503853357523,220.7030144661767,FALSE
