a,b,c,x_dist,x_mu,x_sigma,z_discrete,z_discrete_dist,z_n,e_dist,e_df,e_sigma,n,model,statistics,pvalue,effect_size,answer
1.5723707238212228,-1.261594373267144,1.3921107412315905,neglognormal,0,0.6,FALSE,discrete_uniform,4,normal,NA,0.5,50,higher order,38.146361304254015,1.2752670087114728e-13,6.417942108358319,TRUE
0.7358294930309057,1.2148080035112798,1.5059247803874314,lognormal,0,0.6,TRUE,discrete_uniform,10,normal,NA,0.25,50,higher order,53.31090451052052,4.0720341392960594e-16,2.7989964469825055,TRUE
-1.8261347841471434,1.4203204452060163,1.6637149616144598,uniform,0,0.6,FALSE,discrete_uniform,10,normal,NA,2,300,higher order,63.42560015754072,1.4267257186396544e-38,0.6495974291578502,TRUE
0.026489599607884884,-0.25506799668073654,0.9095509611070156,lognormal,0,0.6,TRUE,discrete_uniform,8,normal,NA,0.5,100,higher order,0.5471778248826492,0.7015114276304624,0.0807215361411324,FALSE
2.7780067487619817,-2.7705075410194695,0.6379157081246376,neglognormal,0,0.6,TRUE,discrete_uniform,7,normal,NA,0.5,300,higher order,73.37610800840369,5.1930914977190276e-43,12.458548825845243,TRUE
-0.6557843615300953,-0.3950731633231044,0.8955794884823263,neglognormal,0,0.6,FALSE,discrete_uniform,5,normal,NA,1,300,higher order,2.999366385393468,0.0189161569999795,0.4980767614094805,FALSE
-2.030406500212848,-2.9940955191850662,0.5958404405973852,neglognormal,0,0.6,TRUE,discrete_uniform,3,normal,NA,0.5,300,higher order,590.8460769611144,4.077647096151083e-124,66.57647456107249,TRUE
-1.5191277698613703,-0.47878270503133535,0.9925039908848703,uniform,0,0.6,FALSE,discrete_uniform,9,normal,NA,1,50,higher order,12.540398449971272,7.595108464087829e-7,0.9955301875081161,FALSE
0.6159627288579941,-0.550223910715431,0.6805592821910977,lognormal,0,0.6,TRUE,discrete_uniform,10,normal,NA,1,100,higher order,2.475822043408559,0.04953238384156483,0.3020529250774286,FALSE
-2.4030946511775255,0.19155532121658325,0.6456624465063214,neglognormal,0,0.6,TRUE,discrete_uniform,5,normal,NA,0.25,50,higher order,46.218593273453266,4.953919908577935e-15,39.008624774267645,TRUE
-0.6377376280725002,-2.1562072578817606,1.2594807422719896,neglognormal,0,0.6,FALSE,discrete_uniform,7,normal,NA,0.25,300,higher order,695.3479471536442,3.67271248801787e-148,34.863620227043604,TRUE
-1.9450268056243658,1.8258196832612157,0.678116989787668,lognormal,0,0.6,FALSE,discrete_uniform,7,normal,NA,2,300,higher order,15.955754769222555,7.877517330814085e-12,1.4272002431490416,FALSE
0.4429069678299129,2.0034771161153913,1.6107967025600374,neglognormal,0,0.6,FALSE,discrete_uniform,5,normal,NA,0.5,300,higher order,466.7085104024041,1.0220206180951139e-125,8.385287023249377,TRUE
-0.6716222008690238,-2.529080516193062,0.17838373919948936,normal,0,0.3,TRUE,discrete_uniform,3,normal,NA,0.5,50,higher order,71.60812718145093,5.784478274903127e-17,7.515801018664388,TRUE
-2.000369223766029,-2.7286588456481695,0.630064096301794,lognormal,0,0.6,FALSE,discrete_uniform,10,normal,NA,0.5,300,higher order,69.19442154676445,3.496095534540159e-41,6.687477768995027,TRUE
-1.8421544702723622,2.4622425343841314,0.746370202396065,uniform,0,0.6,FALSE,discrete_uniform,10,normal,NA,0.5,100,higher order,183.35938194245867,3.2373914892063977e-43,16.705735103881008,TRUE
2.2082249438390136,1.634226294234395,0.967113277874887,lognormal,0,0.6,TRUE,discrete_uniform,5,normal,NA,2,300,higher order,0.14409941918436547,0.9654991234521746,0.3035478294204098,FALSE
-0.06318037770688534,1.5125056025572121,0.7951089492999017,uniform,0,0.6,TRUE,discrete_uniform,8,normal,NA,2,50,higher order,1.3700594758115434,0.2601784488851138,0.11507086462897997,FALSE
-1.226181625854224,-1.4228493589907885,0.9908935399726033,lognormal,0,0.6,TRUE,discrete_uniform,3,normal,NA,0.5,300,higher order,6.4927915881992835,2.8780340828064827e-4,0.4570605074471854,FALSE
-2.9067071238532662,-2.6458000168204308,0.8003629357554018,lognormal,0,0.6,TRUE,discrete_uniform,8,normal,NA,0.5,100,higher order,45.408873914064365,4.305920937135501e-21,8.884524873082013,TRUE
0.996506713796407,1.1547982986085117,1.218856768682599,uniform,0,0.6,FALSE,discrete_uniform,7,normal,NA,2,50,higher order,0.7462016871466328,0.5659332463014375,0.20774090584196045,FALSE
2.8635978559032083,-1.472947689704597,0.6818593954667449,normal,0,0.3,TRUE,discrete_uniform,6,normal,NA,0.25,50,higher order,167.7971681107266,1.2275585517117895e-25,38.43618279820414,TRUE
-1.9325509937480092,-0.5122876768000424,1.9644618760794401,normal,0,0.3,TRUE,discrete_uniform,10,normal,NA,2,50,higher order,6.907707964363914,2.186860808042292e-4,0.24000260773365345,TRUE
1.5050387671217322,2.721946546342224,0.590252379886806,uniform,0,0.6,TRUE,discrete_uniform,10,normal,NA,2,100,higher order,27.794320627392356,3.4625492763799993e-15,0.9723224845781484,TRUE
0.28120999597012997,0.3397084129974246,1.8833680744282901,lognormal,0,0.6,TRUE,discrete_uniform,4,normal,NA,1,50,higher order,5.518158622133525,0.0011225548089891617,0.041926859395035036,FALSE
-0.1344553311355412,-0.08406739309430122,1.2247577323578298,uniform,0,0.6,FALSE,discrete_uniform,4,normal,NA,2,300,higher order,0.26799864530684464,0.898424897927216,0.003064031247466744,FALSE
